Essential,@TPP,1.5534363912248572,365.27093753743065
Essential,ALP FP,1.6134195121877737,367.4594047058732
Essential,GRN FP,1.0212791278987354,383.2687654312118
Essential,LNP FP,1.8277116614841709,358.19749395740183
Essential,OTH FP,1.708849297466579,355.9286874865882
Freshwater,@TPP,2.0575412633383503,2.7127704778440194
Freshwater,ALP FP,2.76591883312371,2.2594595091803544
Freshwater,GRN FP,2.060404652074776,2.588280507973572
Freshwater,LNP FP,2.045874405059058,2.7845087176788326
Freshwater,OTH FP,2.61039152124933,2.495528842705326
Morgan multi-mode,@TPP,1.6306795003796968,134.3425628313831
Morgan multi-mode,ALP FP,1.8060048286538868,136.9277878208502
Morgan multi-mode,GRN FP,1.1260345526429076,140.08502265901893
Morgan multi-mode,LNP FP,1.7760306497032374,135.52974086537375
Morgan multi-mode,OTH FP,1.7812250034766846,138.7857512479823
Newspoll2,@TPP,1.1384270619134482,141.77494497473842
Newspoll2,ALP FP,1.4433098284755652,139.42136908879039
Newspoll2,GRN FP,0.893470821430932,147.60269351372767
Newspoll2,LNP FP,1.387038800298899,133.95626396842633
Newspoll2,OTH FP,1.7468207576596397,136.91384199647072
ResolvePM,@TPP,2.5679103418431364,15.300699854400584
ResolvePM,ALP FP,2.810856669724091,14.443596777368317
ResolvePM,GRN FP,1.489651461188038,17.413041574975107
ResolvePM,LNP FP,2.077671896570235,16.77998580521697
ResolvePM,OTH FP,2.2317198208806506,16.100226889728468
SMS Morgan,@TPP,2.0998474831608456,60.33841871610818
SMS Morgan,ALP FP,2.245459178968951,58.47651083594542
SMS Morgan,GRN FP,1.5592920211733226,60.62089465032801
SMS Morgan,LNP FP,2.682955015643827,60.94482571810906
SMS Morgan,OTH FP,2.880538269984621,59.219084009849865
ResolvePM2,@TPP,2.5613626834650676,22.561152740452712
ResolvePM2,ALP FP,2.760596062877472,22.531055811332166
ResolvePM2,GRN FP,1.7005832068385096,23.0
ResolvePM2,LNP FP,2.159298958569759,22.7578226022232
ResolvePM2,OTH FP,2.232210107188992,22.978872607029142
