### FILE: Adelaide.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Adelaide: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"HOOD, Lucy (ALP)",Percentage,"SANDERSON, Rachel (LIB)",Percentage,Total
Booleroo Centre,87,0.278,226,0.722,313
Crystal Brook,432,0.555,347,0.445,779
Far North Mobile,15,0.319,32,0.681,47
Georgetown,66,0.524,60,0.476,126
Gladstone,266,0.603,175,0.397,441
Laura,229,0.498,231,0.502,460
Leigh Creek,45,0.484,48,0.516,93
Melrose,57,0.277,149,0.723,206
Napperby,300,0.758,96,0.242,396
Orroroo,107,0.289,263,0.711,370
Peterborough,443,0.564,343,0.436,786
Port Augusta,406,0.636,232,0.364,638
Port Augusta Central,373,0.642,208,0.358,581
Port Germein,162,0.672,79,0.328,241
Port Pirie,1025,0.856,173,0.144,1198
Port Pirie South,682,0.83,140,0.17,822
Risdon Park,1158,0.806,279,0.194,1437
Risdon Park South,729,0.808,173,0.192,902
Solomontown,766,0.867,117,0.133,883
Stirling North,274,0.602,181,0.398,455
Willsden,155,0.742,54,0.258,209
Wilmington,99,0.336,196,0.664,295
Wirrabara,108,0.399,163,0.601,271
Polling Place Totals,7984,0.668,3965,0.332,11949
Declaration Ballot Papers,6419,0.676,3083,0.324,9502
District Total,14403,0.671,7048,0.329,21451

### FILE: Taylor.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Taylor: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"CHAMPION, Nick (ALP)",Percentage,"LOCK, Shawn (LIB)",Percentage,Total Votes
Andrews Farm,1505,0.729,560,0.271,2065
Angle Vale,1324,0.581,953,0.419,2277
Davoren Park,1308,0.766,400,0.234,1708
Elizabeth North,1124,0.755,364,0.245,1488
Munno Para,693,0.74,243,0.26,936
Smithfield,878,0.772,260,0.228,1138
Smithfield Plains,1472,0.783,409,0.217,1881
Virginia,890,0.557,709,0.443,1599
Polling Place Totals,9194,0.702,3898,0.298,13092
Declaration Ballot Papers,6125,0.688,2775,0.312,8900
District Total,15319,0.697,6673,0.303,21992

### FILE: Torrens.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Torrens: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"WORTLEY, Dana (ALP)",Percentage,"HENDERSON, Ursula (LIB)",Percentage,Total Votes
