### FILE: Adelaide.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Adelaide: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"HOOD, Lucy (ALP)",Percentage,"SANDERSON, Rachel (LIB)",Percentage,Total
Brooklyn Park North,885,0.701,377,0.299,1262
Brooklyn Park West,516,0.687,235,0.313,751
Cowandilla,1311,0.734,474,0.266,1785
Flinders Park,1292,0.641,724,0.359,2016
Lockleys North,625,0.594,428,0.406,1053
Mile End,1450,0.757,466,0.243,1916
Richmond,1094,0.699,470,0.301,1564
Torrensville,1064,0.762,332,0.238,1396
West Hindmarsh,604,0.745,207,0.255,811
Polling Place Totals,10076,0.698,4357,0.302,14433
Declaration Ballot Papers,5578,0.669,2757,0.331,8335
District Total,15654,0.688,7114,0.312,22768

### FILE: Wright.csv ###
"Electoral Commission SA, 2022 State Election, House of Assembly",,,,,
Wright: Two Candidate Preferred by Polling Place,,,,,
Polling Location,"BOYER, Blair (ALP)",Percentage,"REYNOLDS, Graham (LIB)",Percentage,Total Votes
Golden Grove Central,328,0.657,171,0.343,499
Gulfview Heights,627,0.592,433,0.408,1060
Modbury Heights,1147,0.605,750,0.395,1897
Modbury North,698,0.604,458,0.396,1156
Para Hills East,388,0.605,253,0.395,641
Redwood Park,997,0.599,667,0.401,1664
Ridgehaven,411,0.612,261,0.388,672
Salisbury East,862,0.643,479,0.357,1341
Salisbury East South,1007,0.71,411,0.29,1418
Surrey Downs,796,0.605,519,0.395,1315
Wynn Vale,1294,0.62,792,0.38,2086
Wynn Vale West,607,0.613,383,0.387,990
Polling Place Totals,9162,0.622,5577,0.378,14739
Declaration Ballot Papers,5386,0.613,3394,0.387,8780
District Total,14548,0.619,8971,0.381,23519
