Division;Polling Place;Informal Vote
Mitchell;Samuel Gilbert;43
Mitchell;Special Hospital Team 1;0
Mitchell;Sydney (Mitchell);3
Mitchell;Thompsons Corner (Mitchell);33
Mitchell;Wirreanda;8
Mitchell;Wisemans Ferry;4
Mitchell;ABSENT;150
Mitchell;POSTAL;13
Mitchell;PRE POLL;61
Mitchell;PROVISIONAL;8
Newcastle;Adamstown;52
Newcastle;Adamstown Heights;70
Newcastle;Adamstown North;51
Newcastle;Adamstown West;36
Newcastle;Beaumont Park;51
Newcastle;Birmingham Gardens;25
Newcastle;Birmingham Gardens North;27
Newcastle;Carrington;38
Newcastle;Cooks Hill;20
Newcastle;Cooks Hill South;45
Newcastle;Garden Suburb (Newcastle);9
Newcastle;Georgetown;45
Newcastle;Hamilton;68
Newcastle;Hamilton Central;45
Newcastle;Hamilton North;25
Newcastle;Hamilton South;70
Newcastle;Islington;23
Newcastle;Jesmond;32
Newcastle;Jesmond North;38
Newcastle;Kotara;13
Newcastle;Kotara East;20
Newcastle;Kotara South;42
Newcastle;Lambton;65
Newcastle;Lambton East;33
Newcastle;Maryville Wickham;26
Newcastle;Mayfield;84
Newcastle;Mayfield East;55
Newcastle;Mayfield South;89
Newcastle;Mayfield West;77
Newcastle;Merewether;23
Newcastle;Merewether Heights;27
Newcastle;Merewether South;61
Newcastle;Merewether West;15
Newcastle;New Lambton;70
Newcastle;New Lambton Central;24
Newcastle;New Lambton South;37
Newcastle;Newcastle;29
Newcastle;Shortland;46
Newcastle;Special Hospital Team 1;1
Newcastle;Special Hospital Team 2;3
Newcastle;Special Hospital Team 3;1
Newcastle;Special Hospital Team 4;1
Newcastle;Stockton;36
Newcastle;Stockton North;7
Newcastle;Stockton South;40
Newcastle;Sydney (Newcastle);0
Newcastle;The Junction;67
Newcastle;Tighes Hill;46
Newcastle;Waratah;104
Newcastle;Waratah Mater Hospital;19
Newcastle;Waratah South;14
Newcastle;Waratah West;46
Newcastle;ABSENT;132
Newcastle;POSTAL;27
Newcastle;PRE POLL;41
Newcastle;PROVISIONAL;24
New England;Arding;1
New England;Armidale;63
New England;Armidale East;38
New England;Armidale Hospital;13
New England;Armidale South;18
New England;Armidale University;18
New England;Armidale West;96
New England;Attunga;6
New England;Ben Lomond;2
New England;Ben Venue;60
New England;Bendemeer;4
New England;Black Mountain;0
New England;Bundarra;6
New England;Calala;14
New England;Dangarsleigh;2
New England;Deepwater;4
New England;Dundee;1
New England;Dungowan;4
New England;Duri;2
New England;Ebor;1
New England;Elsmore;5
New England;Emmaville;11
New England;Gilgai;5
New England;Glen Innes;36
New England;Glen Innes Hospital;17
New England;Glen Innes West;32
New England;Glencoe;1
New England;Gum Flat;4
New England;Guyra;43
New England;Hallsville;5
New England;Hillgrove;8
New England;Hillvue;52
New England;Inverell;62
New England;Inverell East;41
New England;Inverell Hospital;1
New England;Jennings;2
New England;Kentucky;3
New England;Kingstown;7
New England;Kootingal;25
New England;Llangothlin;1
New England;Loomberah;1
New England;Martins Gully;7
New England;Mole Crossing;0
New England;Moonbi;10
New England;Moor Creek;4
New England;Nazareth House;3
New England;Nemingha;11
New England;Niangala;3
New England;Nowendoc;1
New England;Nullamanna;2
New England;Nundle;16
New England;Oxley Vale;26
New England;Peel High;45
New England;Red Range;0
New England;Rocky River;3
New England;Ross Hill;57
New England;Somerton;5
New England;Special Hospital Team 1;1
New England;Special Hospital Team 2;0
New England;Special Hospital Team 3;0
New England;Special Hospital Team 4;1
New England;Special Hospital Team 5;10
New England;Special Hospital Team 6;0
New England;Sunnyside;3
New England;Sydney (New England);0
New England;Tamworth;73
New England;Tamworth High;101
New England;Tamworth Hospital;6
New England;Tamworth Primary;41
New England;Tamworth West;40
New England;Tenterden;0
New England;Tenterfield;33
New England;Tenterfield West;27
New England;Timbumburi;5
New England;Tingha;11
New England;Torrington;0
New England;Uralla;31
New England;Walcha;54
New England;Westdale;11
New England;Wollomombi;5
New England;Wongwibinda;1
New England;Woolbrook;7
New England;Woolomin;4
New England;Yarrowitch;1
New England;Yarrowyck;3
New England;ABSENT;71
New England;POSTAL;19
New England;PRE POLL;51
New England;PROVISIONAL;20
North Sydney;ABSENT;116
North Sydney;POSTAL;24
North Sydney;PRE POLL;65
North Sydney;PROVISIONAL;17
Page;Afterlee;2
Page;Baryulgil;4
Page;Bentley;1
Page;Bexhill;9
Page;Bonalbo;8
Page;Broadwater;7
Page;Brooms Head;3
Page;Caniaba;5
Page;Casino;94
Page;Casino High;23
Page;Casino Hospital;9
Page;Casino South;27
Page;Casino West;16
Page;Cawongla;3
Page;Chatsworth Island;8
Page;Clovass;3
Page;Clunes;3
Page;Copmanhurst;16
Page;Coraki;23
Page;Corindi;20
Page;Corndale;2
Page;Coutts Crossing;17
Page;Cowper;3
Page;Doubtful Creek;0
Page;Drake;1
Page;Dungarubba;0
Page;Dunoon;4
Page;Eltham;1
Page;Ettrick;3
Page;Evans Head;43
Page;Fairy Hill;2
Page;Glenreagh;5
Page;Goolmangar;7
Page;Goonellabah;42
Page;Goonellabah South;49
Page;Grafton;26
Page;Grafton East;35
Page;Grafton Hospital;5
Page;Grafton North;53
Page;Grafton South;31
Page;Grevillia;4
Page;Gulmarrad;1
Page;Gundurimba South;5
Page;Harwood Island;3
Page;Hernani;2
Page;Horseshoe Creek;1
Page;Ilarwill;2
Page;Iluka;24
Page;Jiggi;4
Page;Junction Hill;21
Page;Kyogle;76
Page;Kyogle Hospital;11
Page;Lawrence;9
Page;Leeville;4
Page;Legume;5
Page;Lismore;53
Page;Lismore Central;28
Page;Lismore East;25
Page;Lismore Heights;21
Page;Lismore Hospital;10
Page;Lismore North;10
Page;Lismore South;38
Page;Lismore St Vincents Hospital;19
Page;Liston;0
Page;Lynchs Creek;2
Page;Maclean;33
Page;Maclean Hospital;11
Page;Mallanganee;1
Page;Modanville;8
Page;Mummulgum;1
Page;Nimbin;26
Page;Nymboida;4
Page;Old Bonalbo;3
Page;Palmers Island;8
Page;Pound Hill;40
Page;Rappville;4
Page;Red Rock;3
Page;Roberts Creek;2
Page;Rosebank;2
Page;Seelands;1
Page;Southgate;2
Page;Special Hospital Team 1;1
Page;Special Hospital Team 2;1
Page;Special Hospital Team 3;8
Page;Special Hospital Team 4;2
Page;Special Hospital Team 5;1
Page;Sydney (Page);1
Page;Tabulam;3
Page;Tatham;1
Page;The Channon;1
Page;Tregeagle;6
Page;Tucabia;4
Page;Tyndale;0
Page;Tyringham;0
Page;Ulmarra;17
Page;Urbenville;5
Page;Vere Street;71
Page;Westlawn;20
Page;Whiporie;2
Page;Wiangaree;9
Page;Wombah;4
Page;Woodburn;28
Page;Woodenbong;6
Page;Wooli;11
Page;Wyrallah;2
Page;Yamba;38
Page;Yorklea;2
Page;ABSENT;81
Page;POSTAL;31
Page;PRE POLL;27
Page;PROVISIONAL;22
Parkes;Albert;1
Parkes;Alectown;2
Parkes;Alma;52
Parkes;Ballimore;4
Parkes;Bedgerebong;3
Parkes;Bobadah;0
Parkes;Bogan Gate;4
Parkes;Bourke;42
Parkes;Brewarrina;21
Parkes;Broken Hill;20
Parkes;Broken Hill Central;54
Parkes;Broken Hill East;8
Parkes;Broken Hill Hospital;10
Parkes;Broken Hill North;57
Parkes;Broken Hill Railwaytown;27
Parkes;Broken Hill South;12
Parkes;Broken Hill West;22
Parkes;Burcher;0
Parkes;Churchill Gardens;35
Parkes;Cobar;97
Parkes;Collie;0
Parkes;Condobolin;67
Parkes;Cookamidgera;1
Parkes;Coolabah;0
Parkes;Dubbo;64
Parkes;Dubbo Grove;59
Parkes;Dubbo Hospital;2
Parkes;Dubbo North;63
Parkes;Dubbo South;40
Parkes;Dubbo West;71
Parkes;Emmagool;0
Parkes;Enngonia;2
Parkes;Euabalong;4
Parkes;Eumungerie;6
Parkes;Excelsior;44
Parkes;Fifield;0
Parkes;Forbes;75
Parkes;Forbes Hospital;1
Parkes;Forbes North;26
Parkes;Forbes South;15
Parkes;Garema;1
Parkes;Girilambone;1
Parkes;Goodooga;1
Parkes;Gunningbland;1
Parkes;Hermidale;3
Parkes;Hillside;13
Parkes;Ivanhoe;5
Parkes;Lake Cargelligo;25
Parkes;Lourdes Hospital;10
Parkes;Louth;4
Parkes;Menindee;13
Parkes;Morgan Street;29
Parkes;Mulyandry;1
Parkes;Murrin Bridge;4
Parkes;Narromine;65
Parkes;Nevertire;2
Parkes;Nymagee;0
Parkes;Nyngan;57
Parkes;Ootha;1
Parkes;Orana Heights;56
Parkes;Oxide Street;28
Parkes;Parkes;50
Parkes;Parkes East;14
Parkes;Parkes High;12
Parkes;Parkes Hospital;6
Parkes;Peak Hill;36
Parkes;Railway Gates;57
Parkes;Rees Avenue;1
Parkes;Remote Mobile Team 1;1
Parkes;Remote Mobile Team 2;3
Parkes;Remote Mobile Team 3;0
Parkes;Remote Mobile Team 4;0
Parkes;Special Hospital Team 1;9
Parkes;Special Hospital Team 10;0
Parkes;Special Hospital Team 11;2
Parkes;Special Hospital Team 2;0
Parkes;Special Hospital Team 3;1
Parkes;Special Hospital Team 4;7
Parkes;Special Hospital Team 5;2
Parkes;Special Hospital Team 6;0
Parkes;Special Hospital Team 7;0
Parkes;Special Hospital Team 8;0
Parkes;Special Hospital Team 9;3
Parkes;Sydney (Parkes);1
Parkes;Tibooburra;3
Parkes;Tilpa;0
Parkes;Tomingley;0
Parkes;Tottenham;17
Parkes;Trangie;18
Parkes;Trundle;16
Parkes;Tullamore;5
Parkes;Tullibigeal;4
Parkes;Wanaaring;0
Parkes;Warren;51
Parkes;Warroo;0
Parkes;Weilmoringle;4
Parkes;White Cliffs;2
Parkes;Wilcannia;10
Parkes;Wirrinya;0
Parkes;Wongarbon;11
Parkes;Yantabulla;0
Parkes;ABSENT;112
Parkes;POSTAL;16
Parkes;PRE POLL;79
Parkes;PROVISIONAL;20
Parramatta;Ballandella Road;26
Parramatta;Baulkham Hills (Parramatta);21
Parramatta;Carlingford;39
Parramatta;Carlingford North;41
Parramatta;Carlingford West;59
Parramatta;Darcy Road;74
Parramatta;Dundas;65
Parramatta;Dundas Valley;12
Parramatta;Ermington (Parramatta);14
Parramatta;Ermington Central;100
Parramatta;Ermington West;114
Parramatta;Girraween;92
Parramatta;Harris Park;36
Parramatta;Lake Parramatta;23
Parramatta;Macarthur High;51
Parramatta;Melrose;16
Parramatta;North Rocks Road;72
Parramatta;Northmead;104
Parramatta;Northmead High;40
Parramatta;Oatlands;27
Parramatta;Old Toongabbie;134
Parramatta;Parramatta;71
Parramatta;Parramatta East;43
Parramatta;Parramatta High;8
Parramatta;Parramatta North;72
Parramatta;Pendle Hill (Parramatta);43
Parramatta;Pendle Hill Central (Parramatta);11
Parramatta;Pendle Hill North;15
Parramatta;Rydalmere;60
Parramatta;Rydalmere North;55
Parramatta;Special Hospital Team 1;6
Parramatta;Special Hospital Team 2;6
Parramatta;Sydney (Parramatta);2
Parramatta;Telopea;95
Parramatta;Toongabbie East;33
Parramatta;Wentworthville Central;25
Parramatta;Westmead (Parramatta);16
Parramatta;Westmead Hospital;9
Parramatta;Westmead North;11
Parramatta;Winston Heights;34
Parramatta;Winston Hills;89
Parramatta;Woodberry Village;8
Parramatta;ABSENT;207
Parramatta;POSTAL;24
Parramatta;PRE POLL;57
Parramatta;PROVISIONAL;17
Paterson;Anna Bay;40
Paterson;Ashtonfield;26
Paterson;Bandon Grove;1
Paterson;Barrington;13
Paterson;Bobs Farm;4
Paterson;Bolwarra;21
Paterson;Booral;13
Paterson;Bulahdelah;42
Paterson;Bungwahl;7
Paterson;Bunyah;1
Paterson;Clarence Town;24
Paterson;Coolongolook;5
Paterson;Coomba Park;3
Paterson;Corlette;15
Paterson;Dungog;30
Paterson;East Maitland;24
Paterson;East Maitland Heights;58
Paterson;East Maitland South;28
Paterson;Eastville;12
Paterson;Fern Bay;25
Paterson;Gillieston Heights;18
Paterson;Glen William;3
Paterson;Gloucester;39
Paterson;Gloucester Hospital;12
Paterson;Gresford;19
Paterson;Hawks Nest;18
Paterson;Hinton;11
Paterson;Karuah;23
Paterson;Largs;13
Paterson;Lemon Tree Passage;30
Paterson;Lorn;12
Paterson;Maitland;38
Paterson;Maitland Grossmann High;5
Paterson;Maitland High;37
Paterson;Maitland Hospital;16
Paterson;Maitland West;29
Paterson;Mallabula;9
Paterson;Markwell;1
Paterson;Martins Creek;5
Paterson;Medowie;26
Paterson;Metford;34
Paterson;Millers Forest;5
Paterson;Morpeth;29
Paterson;Mount Kanwary;2
Paterson;Mulwee;3
Paterson;Nelson Bay;17
Paterson;Nelson Bay Central;37
Paterson;Nelson Bay East;8
Paterson;Nelson Bay West;16
Paterson;Pacific Palms;27
Paterson;Paterson;3
Paterson;Raymond Terrace;58
Paterson;Raymond Terrace Central;32
Paterson;Raymond Terrace East;38
Paterson;Raymond Terrace North;35
Paterson;Rookhurst;1
Paterson;Rutherford;35
Paterson;Rutherford North;28
Paterson;Rutherford West;25
Paterson;Salamander Bay;17
Paterson;Salisbury;0
Paterson;Salt Ash;12
Paterson;Seaham;13
Paterson;Seal Rocks;2
Paterson;Shoal Bay;18
Paterson;Soldiers Point;22
Paterson;Special Hospital Team 1;0
Paterson;Special Hospital Team 2;3
Paterson;Stratford;6
Paterson;Stroud;18
Paterson;Stroud Road;3
Paterson;Sydney (Paterson);1
Paterson;Tanilba Bay;33
Paterson;Tea Gardens;13
Paterson;Telarah;52
Paterson;Tenambit;69
Paterson;Tomago;6
Paterson;Vacy;3
Paterson;Wallarobba;1
Paterson;Wards River;2
Paterson;Williamtown;15
Paterson;Woodville;7
Paterson;Wootton;1
Paterson;ABSENT;127
Paterson;POSTAL;17
Paterson;PRE POLL;25
Paterson;PROVISIONAL;13
Prospect;Bossley Park;233
Prospect;Bossley Park High;101
Prospect;Carramar;39
Prospect;Fairfield;107
Prospect;Fairfield East;56
Prospect;Fairfield Heights;211
Prospect;Fairfield North;170
Prospect;Fairfield South;150
Prospect;Fairfield West;198
Prospect;Fairvale High;88
Prospect;Governor Phillip King;105
Prospect;Greystanes;123
Prospect;Greystanes North;115
Prospect;Guildford (Prospect);17
Prospect;Guildford West;114
Prospect;Holroyd;50
Prospect;Horsley Park;99
Prospect;Old Guildford (Prospect);69
Prospect;Pendle Hill South;88
Prospect;Prairievale;195
Prospect;Ringrose;110
Prospect;Sherwood Grange (Prospect);55
Prospect;Smithfield;132
Prospect;Smithfield East;119
Prospect;Smithfield West;276
Prospect;Special Hospital Team 1;3
Prospect;St Johns Park High;129
Prospect;Sydney (Prospect);1
Prospect;Villawood;92
Prospect;Villawood North;136
Prospect;Widemere;63
Prospect;William Stimson;185
Prospect;Yennora;64
Prospect;ABSENT;213
Prospect;POSTAL;17
Prospect;PRE POLL;53
Prospect;PROVISIONAL;39
Reid;Auburn;291
Reid;Auburn East;26
Reid;Auburn Hospital;17
Reid;Auburn North;64
Reid;Auburn West;164
Reid;Berala;170
Reid;Blaxcell;236
Reid;Cardinal Gilroy Village;19
Reid;Fowler Road;144
Reid;Granville;245
Reid;Granville North;21
Reid;Granville South;102
Reid;Guildford (Reid);70
Reid;Guildford East;105
Reid;Hilltop Road;176
Reid;Hyde Park;92
Reid;Lidcombe;236
Reid;Lidcombe Hospital;3
Reid;Lidcombe South;101
Reid;Merrylands;65
Reid;Merrylands East;87
Reid;Merrylands North;96
Reid;Merrylands West;23
Reid;Monterey Street;8
Reid;Noller Park;29
Reid;Parramatta (Reid);39
Reid;Pendle Hill (Reid);37
Reid;Pendle Hill Central (Reid);14
Reid;Pitt Row;49
Reid;Rawson;36
Reid;Regents Park;53
Reid;Rosehill;65
Reid;Sherwood Grange (Reid);47
Reid;Silverwater;43
Reid;Special Hospital Team 1;7
Reid;Special Hospital Team 2;0
Reid;St Johns Auburn;45
Reid;Sydney (Reid);4
Reid;Wentworthville;114
Reid;Wentworthville South;30
Reid;Westmead (Reid);86
Reid;ABSENT;231
Reid;POSTAL;25
Reid;PRE POLL;68
Reid;PROVISIONAL;36
Richmond;Alstonville;69
Richmond;Ballina;100
Richmond;Ballina East;64
Richmond;Ballina Hospital;70
Richmond;Ballina West;50
Richmond;Bangalow;17
Richmond;Banora Point;122
Richmond;Bilambil;38
Richmond;Billinudgel;19
Richmond;Bogangar;41
Richmond;Bray Park;38
Richmond;Brunswick Heads;57
Richmond;Burringbar;23
Richmond;Byron Bay;65
Richmond;Byron Bay South;53
Richmond;Carool;4
Richmond;Chillingham;10
Richmond;Chinderah;28
Richmond;Condong;17
Richmond;Coorabell;3
Richmond;Crabbes Creek;3
Richmond;Crystal Creek;9
Richmond;Cudgen;7
Richmond;Doon Doon;1
Richmond;Dungay;3
Richmond;Duranbah;2
Richmond;Durrumbul;3
Richmond;Empire Vale;3
Richmond;Eureka;4
Richmond;Ewingsdale;9
Richmond;Federal;6
Richmond;Fernleigh;6
Richmond;Fingal Head;9
Richmond;Goonengerry;1
Richmond;Greenbank;128
Richmond;Hastings Point;10
Richmond;Kingscliff;89
Richmond;Kunghur;2
Richmond;Lennox Head;46
Richmond;Main Arm Upper;1
Richmond;Mcleans Ridges;2
Richmond;Meerschaum Vale;4
Richmond;Mooball;4
Richmond;Mullumbimby;57
Richmond;Murwillumbah;102
Richmond;Murwillumbah Hospital;6
Richmond;Murwillumbah South;34
Richmond;Newrybar;21
Richmond;Ocean Shores;18
Richmond;Piggabeen;14
Richmond;Pimlico;0
Richmond;Pottsville Beach;50
Richmond;Rous Mill;6
Richmond;Special Hospital Team 1;4
Richmond;Special Hospital Team 2;0
Richmond;Special Hospital Team 3;4
Richmond;Stokers Siding;8
Richmond;Sydney (Richmond);2
Richmond;Terranora;24
Richmond;Tintenbar;6
Richmond;Tumbulgum;14
Richmond;Tweed Heads;148
Richmond;Tweed Heads South;165
Richmond;Tyalgum;15
Richmond;Uki;13
Richmond;Wardell;18
Richmond;Wilsons Creek;0
Richmond;Wollongbar;28
Richmond;ABSENT;66
Richmond;POSTAL;27
Richmond;PRE POLL;72
Richmond;PROVISIONAL;14
Riverina;Ardlethan;15
Riverina;Ashmont;76
Riverina;Ballingal;9
Riverina;Barellan;7
Riverina;Beckom;1
Riverina;Beelbangera;9
Riverina;Bethungra;3
Riverina;Bilbul;4
Riverina;Binya;1
Riverina;Book Book;0
Riverina;Booligal;0
Riverina;Carrathool;1
Riverina;Charles Sturt University;0
Riverina;Coleambally;10
Riverina;Collingullie;4
Riverina;Coolamon;25
Riverina;Currawarna;5
Riverina;Darlington Point;20
Riverina;Downside;0
Riverina;Driver;29
Riverina;Euberta;1
Riverina;Forest Hill;17
Riverina;Galore;3
Riverina;Ganmain;16
Riverina;Goolgowi;4
Riverina;Gralee;29
Riverina;Griffith;66
Riverina;Griffith East;29
Riverina;Griffith Hospital;5
Riverina;Griffith North;46
Riverina;Griffith West;45
Riverina;Grong Grong;7
Riverina;Gumly Gumly;6
Riverina;Gunbar;0
Riverina;Hanwood;25
Riverina;Hay;35
Riverina;Hay Hospital;15
Riverina;Hillston;19
Riverina;Illabo;0
Riverina;Junee;36
Riverina;Junee North;22
Riverina;Junee Reefs;0
Riverina;Kamarah;1
Riverina;Kapooka;1
Riverina;Kikoira;0
Riverina;Kildary;2
Riverina;Kooringal;48
Riverina;Ladysmith;3
Riverina;Lake Albert;53
Riverina;Lake Wyangan;9
Riverina;Leeton;52
Riverina;Leeton Hospital;13
Riverina;Mangoplah;2
Riverina;Marrar;4
Riverina;Matong;2
Riverina;Maude;1
Riverina;Merriwagga;1
Riverina;Milbrulong;4
Riverina;Mirrool;1
Riverina;Mount Austin;54
Riverina;Murrami;2
Riverina;Naradhan;0
Riverina;Narrandera;44
Riverina;Narrandera East;25
Riverina;Narrandera West;11
Riverina;Old Junee;0
Riverina;Parkview;27
Riverina;Pleasant Hills;0
Riverina;Rankins Springs;4
Riverina;Rannock;1
Riverina;San Isidore;7
Riverina;Special Hospital Team 1;0
Riverina;Special Hospital Team 2;0
Riverina;Special Hospital Team 3;1
Riverina;Special Hospital Team 4;1
Riverina;Special Hospital Team 5;0
Riverina;Special Hospital Team 6;3
Riverina;Special Hospital Team 7;2
Riverina;Stanbridge;2
Riverina;Sturt;43
Riverina;Sydney (Riverina);0
Riverina;Tallimba;4
Riverina;Tatton;6
Riverina;The Rock;15
Riverina;Tolland;41
Riverina;Turvey Park;64
Riverina;Ungarie;9
Riverina;Uranquinty;7
Riverina;Wagga Wagga;29
Riverina;Wagga Wagga High;9
Riverina;Wagga Wagga Hospital;3
Riverina;Wagga Wagga North;35
Riverina;Wagga Wagga South;40
Riverina;Wagga Wagga West;73
Riverina;Wamoon;4
Riverina;Wantabadgery;3
Riverina;Weethalle;4
Riverina;West Wyalong;55
Riverina;West Wyalong Hospital;2
Riverina;Whitton;10
Riverina;Willimbong;8
Riverina;Wyalong;8
Riverina;Yanco;22
Riverina;Yenda;38
Riverina;Yerong Creek;2
Riverina;Yoogali;25
Riverina;ABSENT;101
Riverina;POSTAL;12
Riverina;PRE POLL;30
Riverina;PROVISIONAL;27
Robertson;Avoca Beach;34
Robertson;Booker Bay;24
Robertson;Copacabana;19
Robertson;Davistown;30
Robertson;Empire Bay;55
Robertson;Erina;76
Robertson;Erina Heights;11
Robertson;Ettalong;83
Robertson;Ettalong South;12
Robertson;Ettalong West;71
Robertson;Gosford;19
Robertson;Gosford East;57
Robertson;Gosford Hospital;9
Robertson;Gosford North;27
Robertson;Gosford West;26
Robertson;Green Point;19
Robertson;Hardys Bay;11
Robertson;Henry Kendall;14
Robertson;Kariong;47
Robertson;Kincumber;66
Robertson;Macmasters Beach;10
Robertson;Mangrove Mountain;15
Robertson;Mooney Mooney;11
Robertson;Mount White;0
Robertson;Narara South;28
Robertson;Ocean Beach;105
Robertson;Patonga;3
Robertson;Pearl Beach;5
Robertson;Peats Ridge;5
Robertson;Phegans Bay;2
Robertson;Point Clare;54
Robertson;Pretty Beach;7
Robertson;Saratoga;35
Robertson;Somersby;14
Robertson;Special Hospital Team 1;21
Robertson;Special Hospital Team 2;1
Robertson;Spencer;9
Robertson;Springfield;37
Robertson;Sydney (Robertson);1
Robertson;Terrigal;35
Robertson;Terrigal Central;17
Robertson;Umina Central;48
Robertson;Umina Mall;59
Robertson;Woy Woy;104
Robertson;Woy Woy Bay;5
Robertson;Woy Woy South;27
Robertson;ABSENT;110
Robertson;POSTAL;20
Robertson;PRE POLL;42
Robertson;PROVISIONAL;20
Shortland;Belmont;28
Shortland;Belmont Central;33
Shortland;Belmont North;53
Shortland;Belmont West;54
Shortland;Blacksmiths;24
Shortland;Budgewoi;43
Shortland;Budgewoi Central;24
Shortland;Buff Point;37
Shortland;Catherine Hill Bay;3
Shortland;Caves Beach;66
Shortland;Chain Valley Bay;12
Shortland;Charlestown;74
Shortland;Charlestown East;23
Shortland;Charlestown South;28
Shortland;Dudley;36
Shortland;Eleebana;64
Shortland;Floraville;17
Shortland;Gateshead;53
Shortland;Gateshead West;42
Shortland;Gwandalan;33
Shortland;Hillsborough (Shortland);23
Shortland;Jewells;34
Shortland;Kahibah;58
Shortland;Lake Munmorah;39
Shortland;Mannering Park;30
Shortland;Marks Point;40
Shortland;Mount Hutton (Shortland);28
Shortland;Norah Head;15
Shortland;Nords Wharf;10
Shortland;Pelican;26
Shortland;Redhead;64
Shortland;San Remo;47
Shortland;Special Hospital Team 1;11
Shortland;Special Hospital Team 2;3
Shortland;Special Hospital Team 3;8
Shortland;Summerland Point;15
Shortland;Swansea;79
Shortland;Sydney (Shortland);0
Shortland;Tingira Heights;15
Shortland;Toukley;56
Shortland;Toukley East;98
Shortland;Valentine;50
Shortland;Warners Bay Central (Shortland);12
Shortland;Whitebridge;34
Shortland;Windale;75
Shortland;ABSENT;151
Shortland;POSTAL;14
Shortland;PRE POLL;31
Shortland;PROVISIONAL;11
Sydney;Academy;47
Sydney;Alexandria;44
Sydney;Annandale North (Sydney);18
Sydney;Bald Rock;11
Sydney;Balmain;65
Sydney;Balmain East;18
Sydney;Balmain Hospital;5
Sydney;Barcom;16
Sydney;Beaconsfield;15
Sydney;Birchgrove;40
Sydney;Blackfriars;8
Sydney;Camperdown (Sydney);9
Sydney;Centennial Park;14
Sydney;Chippendale;30
Sydney;Darlinghurst;35
Sydney;Darlington;31
Sydney;East Sydney;106
Sydney;Erskineville;25
Sydney;Flinders;39
Sydney;Forest Lodge;22
Sydney;Gardeners Road;21
Sydney;Gladstone Park;19
Sydney;Glebe;26
Sydney;Glebe East;66
Sydney;Glebe North;17
Sydney;Glenmore;65
Sydney;Holdsworth;29
Sydney;Hyde Park;22
Sydney;Kings Cross;32
Sydney;Lilyfield;51
Sydney;Lilyfield North;19
Sydney;Lord Howe Island;2
Sydney;Millers Point;30
Sydney;Newtown East;35
Sydney;Newtown North (Sydney);43
Sydney;Paddington;30
Sydney;Paddington South;52
Sydney;Plunkett Street;36
Sydney;Potts Point;97
Sydney;Prince Alfred Hospital;14
Sydney;Pyrmont;14
Sydney;Rachel Forster Hospital;55
Sydney;Redfern;128
Sydney;Redfern East;110
Sydney;Rosebery;52
Sydney;Roslyn Gardens;31
Sydney;Royal Hospital;9
Sydney;Rozelle;69
Sydney;South Sydney Hospital;2
Sydney;Special Hospital Team 1;1
Sydney;Special Hospital Team 2;3
Sydney;Special Hospital Team 3;0
Sydney;Special Hospital Team 4;1
Sydney;St Lukes Hospital;0
Sydney;St Margarets Hospital;3
Sydney;St Vincents Hospital;4
Sydney;Surry Hills;22
Sydney;Surry Hills North;50
Sydney;Sydney (Sydney);60
Sydney;Toxteth;37
Sydney;Ultimo;26
Sydney;Waterloo;67
Sydney;Zetland;8
Sydney;ABSENT;203
Sydney;POSTAL;22
Sydney;PRE POLL;46
Sydney;PROVISIONAL;53
Throsby;Albion Park;137
Throsby;Albion Park Rail;124
Throsby;Barrack Heights;62
Throsby;Berkeley;98
Throsby;Berkeley South;15
Throsby;Berkeley West;84
Throsby;Brownsville;37
Throsby;Cringila;96
Throsby;Dapto;102
Throsby;Farmborough Road;89
Throsby;Figtree (Throsby);34
Throsby;Hayes Park;91
Throsby;Kemblawarra;56
Throsby;Koonawarra;112
Throsby;Lake Heights;68
Throsby;Lake Illawarra High;108
Throsby;Lakelands;33
Throsby;Marshall Mount;2
Throsby;Mount Brown;67
Throsby;Mount Warrigal;111
Throsby;Oak Flats;173
Throsby;Port Kembla;120
Throsby;Port Kembla Central;76
Throsby;Port Kembla Hospital;6
Throsby;Primbee;55
Throsby;Shellharbour;59
Throsby;Special Hospital Team 1;4
Throsby;Sydney (Throsby);0
Throsby;Unanderra Central (Throsby);47
Throsby;Warilla;105
Throsby;Warilla East;37
Throsby;Warilla High;85
Throsby;Warilla North;91
Throsby;Warrawong;172
Throsby;Warrawong Central;114
Throsby;Windang;82
Throsby;Wongawilli;0
Throsby;ABSENT;135
Throsby;POSTAL;13
Throsby;PRE POLL;34
Throsby;PROVISIONAL;29
Warringah;Allambie;25
Warringah;Allambie Heights;114
Warringah;Balgowlah;45
Warringah;Balgowlah Heights;44
Warringah;Beacon Hill (Warringah);33
Warringah;Beauty Point;22
Warringah;Brookvale;77
Warringah;Cremorne South (Warringah);7
Warringah;Curl Curl;49
Warringah;Dee Why Central (Warringah);15
Warringah;Fairlight;36
Warringah;Forestville;98
Warringah;Forestville East;21
Warringah;Frenchs Forest (Warringah);56
Warringah;Freshwater;27
Warringah;Harbord;99
Warringah;Killarney Heights;38
Warringah;Manly;120
Warringah;Manly Central;19
Warringah;Manly Hospital;7
Warringah;Manly Vale;79
Warringah;Manly West;41
Warringah;Middle Harbour;26
Warringah;Mosman;85
Warringah;Mosman Bay;59
Warringah;Mosman West;16
Warringah;North Balgowlah;43
Warringah;North Manly;34
Warringah;Queenscliff;27
Warringah;Seaforth;63
Warringah;Seaforth East;34
