Division;Polling Place;Informal Vote
Bradfield;Chatswood (Bradfield);11
Bradfield;Chatswood North;8
Bradfield;Chatswood West (Bradfield);28
Bradfield;Davidson Park;44
Bradfield;Frenchs Forest (Bradfield);28
Bradfield;Gordon;72
Bradfield;Gordon East;52
Bradfield;Gordon West;41
Bradfield;Kambora;24
Bradfield;Killara;44
Bradfield;Killara East;67
Bradfield;Kissing Point;20
Bradfield;Lady Davidson Hospital;2
Bradfield;Lindfield;45
Bradfield;Lindfield East;38
Bradfield;Lindfield North;73
Bradfield;Lindfield West;52
Bradfield;Mimosa;80
Bradfield;Pymble;27
Bradfield;Pymble North;42
Bradfield;Pymble West;64
Bradfield;Roseville;44
Bradfield;Roseville Chase;30
Bradfield;Roseville East;27
Bradfield;Roseville South (Bradfield);22
Bradfield;Special Hospital Team 1;5
Bradfield;Special Hospital Team 2;3
Bradfield;Special Hospital Team 3;1
Bradfield;Special Hospital Team 4;1
Bradfield;Special Hospital Team 5;2
Bradfield;St Ives;33
Bradfield;St Ives Chase;21
Bradfield;St Ives North;59
Bradfield;St Ives South;91
Bradfield;Sydney (Bradfield);2
Bradfield;Turramurra;11
Bradfield;Turramurra Central;52
Bradfield;Turramurra North;72
Bradfield;Turramurra South (Bradfield);52
Bradfield;Wahroonga;81
Bradfield;Wahroonga East;39
Bradfield;Warrawee (Bradfield);38
Bradfield;ABSENT;139
Bradfield;POSTAL;27
Bradfield;PRE POLL;94
Bradfield;PROVISIONAL;5
Calare;Barry;0
Calare;Bathurst;40
Calare;Bathurst Central;14
Calare;Bathurst City;34
Calare;Bathurst High;19
Calare;Bathurst Hospital;15
Calare;Bathurst South;20
Calare;Bathurst St Vincents;10
Calare;Bathurst West;34
Calare;Black Springs;9
Calare;Blayney;47
Calare;Bletchington;43
Calare;Bloomfield Hospital;2
Calare;Borenore;5
Calare;Bowen;43
Calare;Bowenfels South;4
Calare;Burraga;3
Calare;Bylong;4
Calare;Calare School;16
Calare;Canobolas;4
Calare;Canowindra;32
Calare;Capertee;1
Calare;Carcoar;2
Calare;Cargo;11
Calare;Cooerwull;35
Calare;Cudal;10
Calare;Cullen Bullen;4
Calare;Cumnock;7
Calare;Curra Creek;1
Calare;Eglinton;15
Calare;Errowanbang;0
Calare;Euchareena;3
Calare;Eugowra;13
Calare;Forest Reefs;6
Calare;Georges Plains;1
Calare;Glen Alice;0
Calare;Glenroi;73
Calare;Hampton;1
Calare;Hartley;4
Calare;Hermitage;11
Calare;Hill End;1
Calare;Ilford;5
Calare;Jenolan Caves;1
Calare;Kandos;31
Calare;Kelso;49
Calare;Kirkconnell;4
Calare;Lithgow;42
Calare;Lithgow Hospital;0
Calare;Littleton;8
Calare;Lucknow;4
Calare;Lyndhurst;2
Calare;Mandurama;1
Calare;Manildra;16
Calare;March;0
Calare;Meadow Flat;7
Calare;Millthorpe;10
Calare;Mitchell Campus;0
Calare;Molong;22
Calare;Morts Estate;7
Calare;Mullion Creek;1
Calare;Mumbil;9
Calare;Nashdale;7
Calare;Neurea;1
Calare;Neville;1
Calare;Newbridge;1
Calare;O'Connell;1
Calare;Oakey Park;6
Calare;Oberon;48
Calare;Orange;42
Calare;Orange East;25
Calare;Orange Hospital;2
Calare;Orange North;29
Calare;Orange South;20
Calare;Orange West;62
Calare;Peel;3
Calare;Perthville;6
Calare;Portland;18
Calare;Raglan;7
Calare;Rockley;2
Calare;Rydal;0
Calare;Rylstone;26
Calare;Sofala;2
Calare;Special Hospital Team 1;3
Calare;Special Hospital Team 10;0
Calare;Special Hospital Team 2;3
Calare;Special Hospital Team 3;0
Calare;Special Hospital Team 4;2
Calare;Special Hospital Team 5;2
Calare;Special Hospital Team 6;0
Calare;Special Hospital Team 7;0
Calare;Special Hospital Team 8;1
Calare;Special Hospital Team 9;0
Calare;Spring Hill;1
Calare;Spring Terrace;3
Calare;Stuart Town;2
Calare;Summer Hill Creek;5
Calare;Sunny Corner;4
Calare;Sydney (Calare);1
Calare;Tarana;1
Calare;The Lagoon;0
Calare;Trunkey Creek;2
Calare;Tweed Mills;3
Calare;Vale Of Clwydd;7
Calare;Wallerawang;19
Calare;Wattle Flat;3
Calare;Yeoval;9
