Division;Polling Place;ALP TPP Vote;ALP TPP Pc;ALP Swing;Coalition TPP Vote;Coalition Party;TPP Exhausted;Informal Vote
Banks;Beverly Hills North;1544;62.21;11.14;938;LP;0;131
Banks;East Hills;593;56.86;6.56;450;LP;0;51
Banks;Hannans Road;1653;69.69;5.70;719;LP;0;125
Banks;Lugarno;1011;34.98;5.15;1879;LP;0;101
Banks;Milperra;1195;51.35;7.17;1132;LP;0;75
Banks;Mortdale Central;1122;59.68;5.84;758;LP;0;105
Banks;Mortdale Heights;433;47.95;0.56;470;LP;0;24
Banks;Mortdale West;1049;56.19;5.71;818;LP;0;75
Banks;Narwee;1576;60.87;6.47;1013;LP;0;128
Banks;Oatley (Banks);202;39.45;4.36;310;LP;0;12
Banks;Oatley West;976;43.28;2.49;1279;LP;0;52
Banks;Padstow;2086;64.42;8.47;1152;LP;0;147
Banks;Padstow East;838;61.12;5.71;533;LP;0;52
Banks;Padstow North;351;58.70;6.88;247;LP;0;18
Banks;Padstow South;1425;52.03;6.07;1314;LP;0;119
Banks;Panania;953;59.79;6.06;641;LP;0;93
Banks;Panania Central;921;61.90;7.01;567;LP;0;70
Banks;Panania North;1096;62.38;5.69;661;LP;0;65
Banks;Panania South;1461;53.36;6.40;1277;LP;0;81
Banks;Peakhurst;350;61.62;6.96;218;LP;0;28
Banks;Peakhurst East;923;59.40;4.70;631;LP;0;67
Banks;Peakhurst South;684;42.33;5.08;932;LP;0;59
Banks;Peakhurst West;1304;51.60;6.05;1223;LP;0;88
Banks;Penshurst Central;1461;64.47;7.30;805;LP;0;97
Banks;Picnic Point North;949;48.97;4.31;989;LP;0;63
Banks;Punchbowl (Banks);1732;77.11;7.46;514;LP;0;146
Banks;Revesby;1136;70.47;9.83;476;LP;0;89
Banks;Revesby North;1829;64.11;6.41;1024;LP;0;123
Banks;Revesby South;1309;57.44;5.27;970;LP;0;82
Banks;Riverwood North;1122;77.86;8.51;319;LP;0;94
Banks;Riverwood South;825;60.75;6.95;533;LP;0;77
Banks;Special Hospital Team 1;60;48.00;4.55;65;LP;0;1
Banks;Sydney (Banks);60;63.16;0.49;35;LP;0;2
Banks;ABSENT;3179;53.07;;2811;LP;0;261
Banks;POSTAL;1464;54.34;;1230;LP;0;42
Banks;PRE POLL;2679;53.30;;2347;LP;0;140
Banks;PROVISIONAL;267;67.25;;130;LP;0;23
Barton;Allawah;960;65.62;9.16;503;LP;0;62
Barton;Allawah South;496;60.78;3.39;320;LP;0;43
Barton;Arncliffe;676;67.94;7.55;319;LP;0;63
Barton;Arncliffe East;799;74.95;3.72;267;LP;0;71
Barton;Athelstane;2228;76.02;6.15;703;LP;0;134
Barton;Bald Face;311;24.47;3.52;960;LP;0;35
Barton;Banksia;1315;77.95;3.10;372;LP;0;110
Barton;Bell Park;463;56.88;6.83;351;LP;0;37
Barton;Bexley;1466;66.79;2.79;729;LP;0;110
Barton;Bexley Central;528;67.01;2.16;260;LP;0;42
Barton;Bexley East;394;73.92;8.78;139;LP;0;36
Barton;Blakehurst;377;44.67;6.96;467;LP;0;46
Barton;Bona Park;366;55.45;6.08;294;LP;0;28
Barton;Brighton North;623;55.23;-1.96;505;LP;0;78
Barton;Brighton-Le-Sands;1670;64.08;6.57;936;LP;0;134
Barton;Carlton;1307;69.60;3.13;571;LP;0;118
Barton;Carlton North;751;67.29;4.72;365;LP;0;48
Barton;Carss Park;319;38.39;5.96;512;LP;0;31
Barton;Clareville Park;951;46.96;3.98;1074;LP;0;77
Barton;Connells Point;931;34.93;5.81;1734;LP;0;109
Barton;Hurstville Central;676;62.25;10.11;410;LP;0;63
Barton;Hurstville Grove;1180;52.77;6.80;1056;LP;0;72
Barton;Hurstville South;373;55.10;8.36;304;LP;0;18
Barton;Jubilee;1768;61.54;4.97;1105;LP;0;123
Barton;Kogarah;771;68.78;1.35;350;LP;0;52
Barton;Kogarah Bay;412;43.55;6.63;534;LP;0;43
Barton;Kogarah Central;1100;74.27;7.26;381;LP;0;71
Barton;Kyeemagh;539;64.94;3.19;291;LP;0;47
Barton;Monterey;1095;53.99;4.18;933;LP;0;98
Barton;Moorefield;518;64.03;13.04;291;LP;0;42
Barton;Mortdale East;531;54.46;7.37;444;LP;0;45
Barton;Oatley (Barton);938;44.54;5.79;1168;LP;0;61
Barton;Ramsgate North;1106;56.83;6.24;840;LP;0;69
Barton;Rockdale;1549;81.87;5.87;343;LP;0;102
Barton;Rockdale Central;937;76.30;6.82;291;LP;0;64
Barton;Rockdale Park;589;74.46;6.24;202;LP;0;38
Barton;Rockdale West;1332;77.35;3.25;390;LP;0;125
Barton;Sans Souci;1083;49.68;7.81;1097;LP;0;95
Barton;Sans Souci North;1126;56.02;6.66;884;LP;0;87
Barton;South Haven;387;69.60;6.88;169;LP;0;47
Barton;Special Hospital Team 1;69;47.26;14.09;77;LP;0;2
Barton;Special Hospital Team 2;47;37.01;-11.24;80;LP;0;4
Barton;Special Hospital Team 3;80;44.94;-2.35;98;LP;0;4
Barton;St Cuthbert's;993;58.10;3.51;716;LP;0;79
Barton;St George Hospital;95;61.29;0.25;60;LP;0;10
Barton;Sydney (Barton);87;59.18;-7.23;60;LP;0;7
Barton;The Mall;323;46.01;5.35;379;LP;0;18
Barton;Turrella;689;78.83;3.78;185;LP;0;69
Barton;ABSENT;2624;53.49;;2282;LP;0;206
Barton;POSTAL;1844;55.46;;1481;LP;0;37
Barton;PRE POLL;2579;58.65;;1818;LP;0;96
Barton;PROVISIONAL;658;75.29;;216;LP;0;58
Bennelong;Balaclava;908;42.95;1.74;1206;LP;0;104
Bennelong;Boronia Park;922;42.63;0.68;1241;LP;0;129
Bennelong;Denistone;404;42.30;2.06;551;LP;0;50
Bennelong;Denistone East;867;44.42;7.11;1085;LP;0;121
Bennelong;Eastview;456;47.85;5.93;497;LP;0;81
Bennelong;Eastwood;1923;48.11;8.74;2074;LP;0;145
Bennelong;Eastwood Heights;799;41.99;7.52;1104;LP;0;129
Bennelong;Eastwood West;211;39.07;5.12;329;LP;0;21
Bennelong;Epping (Bennelong);704;42.95;5.60;935;LP;0;84
Bennelong;Epping East;995;42.07;7.28;1370;LP;0;104
Bennelong;Epping North;747;35.88;5.76;1335;LP;0;81
Bennelong;Epping West (Bennelong);388;38.15;9.23;629;LP;0;45
Bennelong;Ermington (Bennelong);447;42.21;-0.51;612;LP;0;65
Bennelong;Gladesville;1336;47.77;3.06;1461;LP;0;223
Bennelong;Gladesville Central;298;42.45;1.82;404;LP;0;48
Bennelong;Gladesville East;173;46.63;5.51;198;LP;0;20
Bennelong;Gladesville North;638;46.30;2.74;740;LP;0;127
Bennelong;Gladesville West;243;36.65;-0.61;420;LP;0;40
Bennelong;Hunters Hill;334;24.72;6.57;1017;LP;0;60
Bennelong;Hunters Hill West;362;35.98;7.03;644;LP;0;44
Bennelong;Kent Road;916;45.57;2.80;1094;LP;0;127
Bennelong;Kittys Creek;132;41.12;2.45;189;LP;0;19
Bennelong;Lyon Park;590;52.12;3.58;542;LP;0;101
Bennelong;Marsfield;790;43.62;4.47;1021;LP;0;128
Bennelong;Meadowbank;498;59.78;10.00;335;LP;0;56
Bennelong;Parkes Street;583;49.20;3.23;602;LP;0;71
Bennelong;Putney;1069;42.59;3.12;1441;LP;0;179
Bennelong;Royal Ryde Homes;40;51.28;10.92;38;LP;0;3
Bennelong;Ryde;1565;58.46;5.05;1112;LP;0;280
Bennelong;Ryde Central;525;45.97;2.63;617;LP;0;122
Bennelong;Ryde East;1149;40.08;2.85;1718;LP;0;163
Bennelong;Ryde Heights;317;51.88;4.44;294;LP;0;57
Bennelong;Ryde Hospital;250;41.74;4.12;349;LP;0;35
Bennelong;Ryde North;1351;47.35;5.18;1502;LP;0;258
Bennelong;Ryde South;259;43.31;-0.19;339;LP;0;43
Bennelong;Special Hospital Team 1;79;40.51;5.90;116;LP;0;4
Bennelong;Special Hospital Team 2;37;17.21;12.15;178;LP;0;8
Bennelong;Special Hospital Team 3;15;40.54;-8.18;22;LP;0;4
Bennelong;Special Hospital Team 4;18;47.37;16.33;20;LP;0;0
Bennelong;Special Hospital Team 5;40;33.61;6.88;79;LP;0;10
Bennelong;Sydney (Bennelong);75;60.00;8.19;50;LP;0;12
Bennelong;Truscott;544;39.53;0.53;832;LP;0;85
Bennelong;Water Tanks;377;41.84;-0.39;524;LP;0;53
Bennelong;West Ryde;1783;55.41;5.96;1435;LP;0;230
Bennelong;Wicks;180;37.82;1.24;296;LP;0;8
Bennelong;Woolwich;159;27.89;4.85;411;LP;0;27
Bennelong;ABSENT;2560;41.08;;3672;LP;0;373
Bennelong;POSTAL;1481;36.05;;2627;LP;0;125
Bennelong;PRE POLL;2206;46.48;;2540;LP;0;172
Bennelong;PROVISIONAL;270;54.22;;228;LP;0;39
Berowra;Arcadia;220;29.29;9.18;531;LP;0;51
Berowra;Asquith;791;42.73;3.28;1060;LP;0;56
Berowra;Beecroft;913;29.94;5.46;2136;LP;0;66
Berowra;Beecroft West;922;37.76;9.14;1520;LP;0;55
Berowra;Berowra;1183;39.99;2.57;1775;LP;0;105
Berowra;Berowra North;623;40.27;2.78;924;LP;0;45
Berowra;Berowra Waters;19;29.69;19.02;45;LP;0;2
Berowra;Bowden Brae;99;25.92;3.39;283;LP;0;10
Berowra;Brooklyn;176;47.31;-1.41;196;LP;0;11
Berowra;Cheltenham;329;31.39;7.41;719;LP;0;19
Berowra;Cherrybrook (Berowra);459;30.93;4.14;1025;LP;0;55
Berowra;Cherrybrook South;241;28.42;7.16;607;LP;0;26
Berowra;Cowan;134;50.57;4.82;131;LP;0;14
Berowra;Dangar Island;81;69.83;15.36;35;LP;0;1
Berowra;Dural (Berowra);283;22.71;2.51;963;LP;0;52
Berowra;Epping (Berowra);162;47.51;6.51;179;LP;0;10
Berowra;Epping Heights;561;39.59;9.11;856;LP;0;23
Berowra;Epping West (Berowra);759;40.74;8.53;1104;LP;0;70
Berowra;Galston;395;27.32;7.39;1051;LP;0;64
Berowra;Glenorie (Berowra);177;24.08;3.12;558;LP;0;49
Berowra;Hornsby;787;47.81;6.31;859;LP;0;68
Berowra;Hornsby Heights;963;37.53;4.33;1603;LP;0;88
Berowra;Hornsby Hospital;163;43.24;1.17;214;LP;0;13
Berowra;Hornsby North;624;41.00;3.44;898;LP;0;49
Berowra;Hornsby South;1571;52.21;7.84;1438;LP;0;132
Berowra;Hornsby West;361;43.92;3.69;461;LP;0;37
Berowra;John Purchase;1381;37.79;6.43;2273;LP;0;88
Berowra;Middle Dural (Berowra);74;23.57;3.57;240;LP;0;18
Berowra;Mount Colah;1084;42.39;4.61;1473;LP;0;100
Berowra;Mount Kuring-Gai;412;43.23;2.56;541;LP;0;27
Berowra;Normanhurst;774;37.07;4.23;1314;LP;0;77
Berowra;Normanhurst North;567;42.03;6.61;782;LP;0;46
Berowra;Normanhurst West;754;39.92;6.00;1135;LP;0;55
Berowra;Pennant Hills;1287;38.68;5.53;2040;LP;0;117
Berowra;Special Hospital Team 1;30;12.88;1.58;203;LP;0;4
Berowra;Special Hospital Team 2;18;26.47;10.50;50;LP;0;5
Berowra;Special Hospital Team 3;24;17.02;1.73;117;LP;0;7
Berowra;Special Hospital Team 4;25;15.43;-6.79;137;LP;0;1
Berowra;Special Hospital Team 5;20;20.62;1.78;77;LP;0;4
Berowra;Sydney (Berowra);53;49.07;7.01;55;LP;0;7
Berowra;Thompsons Corner (Berowra);478;31.12;7.02;1058;LP;0;54
Berowra;Thornleigh;450;36.59;3.95;780;LP;0;36
Berowra;Turramurra South (Berowra);131;27.18;0.69;351;LP;0;17
Berowra;Waitara;644;35.50;4.07;1170;LP;0;57
Berowra;Waitara South;103;25.25;2.40;305;LP;0;11
Berowra;Warrawee (Berowra);410;25.75;3.19;1182;LP;0;41
Berowra;Westleigh;913;30.75;4.45;2056;LP;0;80
Berowra;ABSENT;2471;35.66;;4458;LP;0;217
Berowra;POSTAL;980;30.04;;2282;LP;0;28
Berowra;PRE POLL;2704;35.14;;4992;LP;0;198
Berowra;PROVISIONAL;200;48.19;;215;LP;0;26
Blaxland;Bankstown;1349;78.75;9.07;364;LP;0;74
Blaxland;Bankstown Central;1573;85.26;12.88;272;LP;0;99
Blaxland;Bankstown North;1067;76.65;9.92;325;LP;0;75
Blaxland;Bankstown South;1228;77.09;10.14;365;LP;0;111
Blaxland;Bankstown West;2371;84.41;9.34;438;LP;0;175
Blaxland;Bass Hill;1590;69.65;10.88;693;LP;0;122
Blaxland;Bass Hill Central;873;65.34;9.19;463;LP;0;62
Blaxland;Bass Hill West;1613;59.37;7.98;1104;LP;0;176
Blaxland;Birrong;1922;69.69;11.38;836;LP;0;137
Blaxland;Chester Hill;2266;71.30;9.67;912;LP;0;209
Blaxland;Chester Hill North;1465;67.29;10.54;712;LP;0;103
Blaxland;Chullora;1399;67.95;9.92;660;LP;0;131
Blaxland;Condell Park;3104;67.38;9.49;1503;LP;0;343
Blaxland;Condell Park South;1350;78.53;5.83;369;LP;0;91
Blaxland;Georges Hall;1676;56.22;6.04;1305;LP;0;143
Blaxland;Gosling Park;899;66.20;7.24;459;LP;0;93
Blaxland;Greenacre;3692;74.18;9.65;1285;LP;0;357
Blaxland;Mount Lewis;730;70.87;9.34;300;LP;0;70
Blaxland;Parry Park;256;73.35;4.48;93;LP;0;24
Blaxland;Punchbowl (Blaxland);2144;81.52;8.49;486;LP;0;141
Blaxland;Punchbowl Central;1447;78.98;8.65;385;LP;0;126
Blaxland;Sefton;1499;68.95;10.57;675;LP;0;100
Blaxland;Special Hospital Team 1;83;50.61;5.65;81;LP;0;14
Blaxland;Special Hospital Team 2;92;59.35;3.33;63;LP;0;11
Blaxland;Sydney (Blaxland);58;81.69;23.72;13;LP;0;5
Blaxland;Villawood Central;449;91.63;12.83;41;LP;0;25
Blaxland;Villawood East;1000;84.46;10.43;184;LP;0;84
Blaxland;Wattawa Heights;1008;72.47;11.33;383;LP;0;72
Blaxland;Wiley Park West;2481;82.81;8.23;515;LP;0;220
Blaxland;Yagoona;2018;75.02;7.95;672;LP;0;167
Blaxland;Yagoona West;1008;72.26;9.17;387;LP;0;73
Blaxland;ABSENT;3001;65.44;;1585;LP;0;330
Blaxland;POSTAL;1861;65.97;;960;LP;0;45
Blaxland;PRE POLL;2327;69.52;;1020;LP;0;141
Blaxland;PROVISIONAL;839;84.83;;150;LP;0;62
Bradfield;Belrose (Bradfield);284;27.41;0.62;752;LP;0;34
Bradfield;Belrose North (Bradfield);276;23.67;0.36;890;LP;0;56
Bradfield;Castle Cove;373;27.37;5.94;990;LP;0;44
Bradfield;Chatswood (Bradfield);166;44.62;6.60;206;LP;0;12
Bradfield;Chatswood North;350;38.00;3.46;571;LP;0;27
Bradfield;Chatswood West (Bradfield);252;40.45;6.98;371;LP;0;24
Bradfield;Frenchs Forest (Bradfield);99;26.54;0.95;274;LP;0;21
Bradfield;Gordon;748;31.17;4.67;1652;LP;0;78
Bradfield;Gordon East;447;25.46;2.52;1309;LP;0;59
Bradfield;Gordon West;400;29.92;1.83;937;LP;0;41
Bradfield;Kambora;163;22.54;-1.64;560;LP;0;29
Bradfield;Killara;261;17.90;2.96;1197;LP;0;47
Bradfield;Killara East;662;34.46;8.08;1259;LP;0;60
Bradfield;Kissing Point;294;30.47;1.56;671;LP;0;25
Bradfield;Lady Davidson Hospital;12;21.82;-0.91;43;LP;0;1
Bradfield;Lindfield;542;27.67;1.27;1417;LP;0;54
Bradfield;Lindfield East;514;28.70;5.51;1277;LP;0;33
Bradfield;Lindfield North;815;33.24;4.12;1637;LP;0;83
Bradfield;Lindfield West;647;30.08;3.68;1504;LP;0;71
