2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [12246 8/11/2005 11:09:18 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8769,Farrer,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1442,0.14
ACT,101,Canberra,8771,Gilmore,15166,BARNIER,Belinda,2,,LP,Liberal,905,-0.4
ACT,101,Canberra,8771,Gilmore,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1272,0.4
ACT,101,Canberra,12072,Gordon,15166,BARNIER,Belinda,2,,LP,Liberal,1804,0.81
ACT,101,Canberra,12072,Gordon,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),2281,-0.81
ACT,101,Canberra,8772,Gowrie,15166,BARNIER,Belinda,2,,LP,Liberal,782,-1.68
ACT,101,Canberra,8772,Gowrie,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1165,1.68
ACT,101,Canberra,8773,Holder,15166,BARNIER,Belinda,2,,LP,Liberal,538,0.09
ACT,101,Canberra,8773,Holder,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),954,-0.09
ACT,101,Canberra,8774,Hughes,15166,BARNIER,Belinda,2,,LP,Liberal,1169,-2.9
ACT,101,Canberra,8774,Hughes,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1902,2.9
ACT,101,Canberra,8884,Isabella Plains,15166,BARNIER,Belinda,2,,LP,Liberal,1044,1.74
ACT,101,Canberra,8884,Isabella Plains,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1389,-1.74
ACT,101,Canberra,8775,Kambah East,15166,BARNIER,Belinda,2,,LP,Liberal,691,-1.11
ACT,101,Canberra,8775,Kambah East,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1189,1.11
ACT,101,Canberra,8776,Kambah North,15166,BARNIER,Belinda,2,,LP,Liberal,603,2.46
ACT,101,Canberra,8776,Kambah North,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),951,-2.46
ACT,101,Canberra,8777,Kambah South,15166,BARNIER,Belinda,2,,LP,Liberal,632,0.76
ACT,101,Canberra,8777,Kambah South,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1101,-0.76
ACT,101,Canberra,8778,Kambah West,15166,BARNIER,Belinda,2,,LP,Liberal,1266,-0.34
ACT,101,Canberra,8778,Kambah West,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),2051,0.34
ACT,101,Canberra,8779,Lyons,15166,BARNIER,Belinda,2,,LP,Liberal,435,-0.34
ACT,101,Canberra,8779,Lyons,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),938,0.34
ACT,101,Canberra,8780,Mawson,15166,BARNIER,Belinda,2,,LP,Liberal,1143,-1.36
