2004 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [12246 8/11/2005 11:09:18 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,146,Robertson,2586,Avoca Beach,14324,MORAN,Trish,4,,ALP,Australian Labor Party,885,1.65
NSW,146,Robertson,2586,Avoca Beach,14802,LLOYD,Jim,6,#,LP,Liberal,1189,-1.65
NSW,146,Robertson,2588,Booker Bay,14324,MORAN,Trish,4,,ALP,Australian Labor Party,309,4.43
NSW,146,Robertson,2588,Booker Bay,14802,LLOYD,Jim,6,#,LP,Liberal,333,-4.43
NSW,146,Robertson,2589,Copacabana,14324,MORAN,Trish,4,,ALP,Australian Labor Party,621,2.73
NSW,146,Robertson,2589,Copacabana,14802,LLOYD,Jim,6,#,LP,Liberal,676,-2.73
NSW,146,Robertson,2590,Davistown,14324,MORAN,Trish,4,,ALP,Australian Labor Party,622,-1.2
NSW,146,Robertson,2590,Davistown,14802,LLOYD,Jim,6,#,LP,Liberal,823,1.2
NSW,146,Robertson,2591,Empire Bay,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1032,0.95
NSW,146,Robertson,2591,Empire Bay,14802,LLOYD,Jim,6,#,LP,Liberal,1614,-0.95
NSW,146,Robertson,2592,Erina,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1509,1.19
NSW,146,Robertson,2592,Erina,14802,LLOYD,Jim,6,#,LP,Liberal,2344,-1.19
NSW,146,Robertson,2593,Erina Heights (Robertson),14324,MORAN,Trish,4,,ALP,Australian Labor Party,222,0.46
NSW,146,Robertson,2593,Erina Heights (Robertson),14802,LLOYD,Jim,6,#,LP,Liberal,495,-0.46
NSW,146,Robertson,33075,Erina South,14324,MORAN,Trish,4,,ALP,Australian Labor Party,421,-1.76
NSW,146,Robertson,33075,Erina South,14802,LLOYD,Jim,6,#,LP,Liberal,625,1.76
NSW,146,Robertson,2594,Ettalong,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1528,-0.71
NSW,146,Robertson,2594,Ettalong,14802,LLOYD,Jim,6,#,LP,Liberal,1600,0.71
NSW,146,Robertson,2595,Ettalong South,14324,MORAN,Trish,4,,ALP,Australian Labor Party,0,-55.42
NSW,146,Robertson,2595,Ettalong South,14802,LLOYD,Jim,6,#,LP,Liberal,0,-44.58
NSW,146,Robertson,2596,Ettalong West,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1293,-3.89
NSW,146,Robertson,2596,Ettalong West,14802,LLOYD,Jim,6,#,LP,Liberal,1094,3.89
NSW,146,Robertson,2597,Gosford,14324,MORAN,Trish,4,,ALP,Australian Labor Party,666,1.71
NSW,146,Robertson,2597,Gosford,14802,LLOYD,Jim,6,#,LP,Liberal,718,-1.71
NSW,146,Robertson,2598,Gosford East,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1035,2.47
NSW,146,Robertson,2598,Gosford East,14802,LLOYD,Jim,6,#,LP,Liberal,1501,-2.47
NSW,146,Robertson,2601,Gosford West,14324,MORAN,Trish,4,,ALP,Australian Labor Party,522,5.37
NSW,146,Robertson,2601,Gosford West,14802,LLOYD,Jim,6,#,LP,Liberal,661,-5.37
NSW,146,Robertson,2602,Green Point,14324,MORAN,Trish,4,,ALP,Australian Labor Party,283,-0.3
NSW,146,Robertson,2602,Green Point,14802,LLOYD,Jim,6,#,LP,Liberal,658,0.3
NSW,146,Robertson,2603,Hardys Bay,14324,MORAN,Trish,4,,ALP,Australian Labor Party,182,2.79
NSW,146,Robertson,2603,Hardys Bay,14802,LLOYD,Jim,6,#,LP,Liberal,181,-2.79
NSW,146,Robertson,2604,Henry Kendall,14324,MORAN,Trish,4,,ALP,Australian Labor Party,248,2.27
NSW,146,Robertson,2604,Henry Kendall,14802,LLOYD,Jim,6,#,LP,Liberal,271,-2.27
NSW,146,Robertson,2605,Kariong,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1039,0.22
NSW,146,Robertson,2605,Kariong,14802,LLOYD,Jim,6,#,LP,Liberal,1822,-0.22
NSW,146,Robertson,2606,Kincumber,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1101,-1.02
NSW,146,Robertson,2606,Kincumber,14802,LLOYD,Jim,6,#,LP,Liberal,1476,1.02
NSW,146,Robertson,31699,Kincumber Central,14324,MORAN,Trish,4,,ALP,Australian Labor Party,578,0.06
NSW,146,Robertson,31699,Kincumber Central,14802,LLOYD,Jim,6,#,LP,Liberal,731,-0.06
NSW,146,Robertson,2609,Macmasters Beach,14324,MORAN,Trish,4,,ALP,Australian Labor Party,223,-5.47
NSW,146,Robertson,2609,Macmasters Beach,14802,LLOYD,Jim,6,#,LP,Liberal,313,5.47
NSW,146,Robertson,2610,Mangrove Mountain,14324,MORAN,Trish,4,,ALP,Australian Labor Party,144,1.55
NSW,146,Robertson,2610,Mangrove Mountain,14802,LLOYD,Jim,6,#,LP,Liberal,323,-1.55
NSW,146,Robertson,2611,Mooney Mooney,14324,MORAN,Trish,4,,ALP,Australian Labor Party,119,9.03
NSW,146,Robertson,2611,Mooney Mooney,14802,LLOYD,Jim,6,#,LP,Liberal,153,-9.03
NSW,146,Robertson,2612,Mount White,14324,MORAN,Trish,4,,ALP,Australian Labor Party,50,6.55
NSW,146,Robertson,2612,Mount White,14802,LLOYD,Jim,6,#,LP,Liberal,67,-6.55
NSW,146,Robertson,11919,Narara South,14324,MORAN,Trish,4,,ALP,Australian Labor Party,592,0.86
NSW,146,Robertson,11919,Narara South,14802,LLOYD,Jim,6,#,LP,Liberal,858,-0.86
NSW,146,Robertson,32594,Niagara Park (Robertson),14324,MORAN,Trish,4,,ALP,Australian Labor Party,127,2.46
NSW,146,Robertson,32594,Niagara Park (Robertson),14802,LLOYD,Jim,6,#,LP,Liberal,169,-2.46
NSW,146,Robertson,2615,Ocean Beach,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1211,-1.08
NSW,146,Robertson,2615,Ocean Beach,14802,LLOYD,Jim,6,#,LP,Liberal,1249,1.08
NSW,146,Robertson,2616,Patonga,14324,MORAN,Trish,4,,ALP,Australian Labor Party,85,-1.78
NSW,146,Robertson,2616,Patonga,14802,LLOYD,Jim,6,#,LP,Liberal,105,1.78
NSW,146,Robertson,2617,Pearl Beach,14324,MORAN,Trish,4,,ALP,Australian Labor Party,180,7.84
NSW,146,Robertson,2617,Pearl Beach,14802,LLOYD,Jim,6,#,LP,Liberal,176,-7.84
NSW,146,Robertson,2618,Peats Ridge,14324,MORAN,Trish,4,,ALP,Australian Labor Party,82,3.5
NSW,146,Robertson,2618,Peats Ridge,14802,LLOYD,Jim,6,#,LP,Liberal,153,-3.5
NSW,146,Robertson,2620,Point Clare,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1006,1.21
NSW,146,Robertson,2620,Point Clare,14802,LLOYD,Jim,6,#,LP,Liberal,1381,-1.21
NSW,146,Robertson,2621,Pretty Beach,14324,MORAN,Trish,4,,ALP,Australian Labor Party,309,3.53
NSW,146,Robertson,2621,Pretty Beach,14802,LLOYD,Jim,6,#,LP,Liberal,304,-3.53
NSW,146,Robertson,2622,Saratoga,14324,MORAN,Trish,4,,ALP,Australian Labor Party,707,0.21
NSW,146,Robertson,2622,Saratoga,14802,LLOYD,Jim,6,#,LP,Liberal,1019,-0.21
NSW,146,Robertson,33076,Scaysbrook,14324,MORAN,Trish,4,,ALP,Australian Labor Party,222,-0.84
NSW,146,Robertson,33076,Scaysbrook,14802,LLOYD,Jim,6,#,LP,Liberal,535,0.84
NSW,146,Robertson,2623,Somersby,14324,MORAN,Trish,4,,ALP,Australian Labor Party,141,-0.93
NSW,146,Robertson,2623,Somersby,14802,LLOYD,Jim,6,#,LP,Liberal,382,0.93
NSW,146,Robertson,13755,Special Hospital Team 1,14324,MORAN,Trish,4,,ALP,Australian Labor Party,24,-19.23
NSW,146,Robertson,13755,Special Hospital Team 1,14802,LLOYD,Jim,6,#,LP,Liberal,59,19.23
NSW,146,Robertson,13803,Special Hospital Team 2,14324,MORAN,Trish,4,,ALP,Australian Labor Party,104,-0.15
NSW,146,Robertson,13803,Special Hospital Team 2,14802,LLOYD,Jim,6,#,LP,Liberal,115,0.15
NSW,146,Robertson,31496,Special Hospital Team 3,14324,MORAN,Trish,4,,ALP,Australian Labor Party,46,-5.94
NSW,146,Robertson,31496,Special Hospital Team 3,14802,LLOYD,Jim,6,#,LP,Liberal,64,5.94
NSW,146,Robertson,2624,Spencer,14324,MORAN,Trish,4,,ALP,Australian Labor Party,100,2.13
NSW,146,Robertson,2624,Spencer,14802,LLOYD,Jim,6,#,LP,Liberal,86,-2.13
NSW,146,Robertson,2625,Springfield,14324,MORAN,Trish,4,,ALP,Australian Labor Party,780,-2.87
NSW,146,Robertson,2625,Springfield,14802,LLOYD,Jim,6,#,LP,Liberal,954,2.87
NSW,146,Robertson,14154,Sydney (Robertson),14324,MORAN,Trish,4,,ALP,Australian Labor Party,47,10.83
NSW,146,Robertson,14154,Sydney (Robertson),14802,LLOYD,Jim,6,#,LP,Liberal,37,-10.83
NSW,146,Robertson,2626,Terrigal (Robertson),14324,MORAN,Trish,4,,ALP,Australian Labor Party,919,4.62
NSW,146,Robertson,2626,Terrigal (Robertson),14802,LLOYD,Jim,6,#,LP,Liberal,1322,-4.62
NSW,146,Robertson,2627,Terrigal Central,14324,MORAN,Trish,4,,ALP,Australian Labor Party,221,3.2
NSW,146,Robertson,2627,Terrigal Central,14802,LLOYD,Jim,6,#,LP,Liberal,383,-3.2
NSW,146,Robertson,33077,Terrigal West,14324,MORAN,Trish,4,,ALP,Australian Labor Party,471,4.87
NSW,146,Robertson,33077,Terrigal West,14802,LLOYD,Jim,6,#,LP,Liberal,811,-4.87
NSW,146,Robertson,31701,Umina Bullion St.,14324,MORAN,Trish,4,,ALP,Australian Labor Party,785,-2.07
NSW,146,Robertson,31701,Umina Bullion St.,14802,LLOYD,Jim,6,#,LP,Liberal,822,2.07
NSW,146,Robertson,2628,Umina Central,14324,MORAN,Trish,4,,ALP,Australian Labor Party,973,-1.23
NSW,146,Robertson,2628,Umina Central,14802,LLOYD,Jim,6,#,LP,Liberal,998,1.23
NSW,146,Robertson,2629,Umina Mall,14324,MORAN,Trish,4,,ALP,Australian Labor Party,996,-0.54
NSW,146,Robertson,2629,Umina Mall,14802,LLOYD,Jim,6,#,LP,Liberal,1000,0.54
NSW,146,Robertson,2631,Woy Woy,14324,MORAN,Trish,4,,ALP,Australian Labor Party,1228,1.73
NSW,146,Robertson,2631,Woy Woy,14802,LLOYD,Jim,6,#,LP,Liberal,1229,-1.73
NSW,146,Robertson,2632,Woy Woy Bay,14324,MORAN,Trish,4,,ALP,Australian Labor Party,129,0.82
NSW,146,Robertson,2632,Woy Woy Bay,14802,LLOYD,Jim,6,#,LP,Liberal,179,-0.82
NSW,146,Robertson,2633,Woy Woy South,14324,MORAN,Trish,4,,ALP,Australian Labor Party,521,-2.09
NSW,146,Robertson,2633,Woy Woy South,14802,LLOYD,Jim,6,#,LP,Liberal,535,2.09
NSW,146,Robertson,31960,Wyoming (Robertson),14324,MORAN,Trish,4,,ALP,Australian Labor Party,545,-0.52
NSW,146,Robertson,31960,Wyoming (Robertson),14802,LLOYD,Jim,6,#,LP,Liberal,627,0.52
NSW,148,Shortland,2683,Belmont,14348,HALL,Jill,2,#,ALP,Australian Labor Party,721,3.2
NSW,148,Shortland,2683,Belmont,14843,TSCHANTER,Dell,4,,LP,Liberal,425,-3.2
NSW,148,Shortland,2684,Belmont Central,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1053,-0.31
NSW,148,Shortland,2684,Belmont Central,14843,TSCHANTER,Dell,4,,LP,Liberal,609,0.31
NSW,148,Shortland,2685,Belmont North,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1064,-2.14
NSW,148,Shortland,2685,Belmont North,14843,TSCHANTER,Dell,4,,LP,Liberal,577,2.14
NSW,148,Shortland,2687,Belmont West,14348,HALL,Jill,2,#,ALP,Australian Labor Party,803,1.89
NSW,148,Shortland,2687,Belmont West,14843,TSCHANTER,Dell,4,,LP,Liberal,600,-1.89
NSW,148,Shortland,2688,Blacksmiths,14348,HALL,Jill,2,#,ALP,Australian Labor Party,724,-0.96
NSW,148,Shortland,2688,Blacksmiths,14843,TSCHANTER,Dell,4,,LP,Liberal,310,0.96
NSW,148,Shortland,581,Budgewoi,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1062,-0.65
NSW,148,Shortland,581,Budgewoi,14843,TSCHANTER,Dell,4,,LP,Liberal,678,0.65
NSW,148,Shortland,12051,Budgewoi Central,14348,HALL,Jill,2,#,ALP,Australian Labor Party,882,-0.47
NSW,148,Shortland,12051,Budgewoi Central,14843,TSCHANTER,Dell,4,,LP,Liberal,644,0.47
NSW,148,Shortland,582,Buff Point,14348,HALL,Jill,2,#,ALP,Australian Labor Party,833,-2.38
NSW,148,Shortland,582,Buff Point,14843,TSCHANTER,Dell,4,,LP,Liberal,673,2.38
NSW,148,Shortland,2689,Catherine Hill Bay,14348,HALL,Jill,2,#,ALP,Australian Labor Party,115,0.45
NSW,148,Shortland,2689,Catherine Hill Bay,14843,TSCHANTER,Dell,4,,LP,Liberal,36,-0.45
NSW,148,Shortland,2690,Caves Beach,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1776,-1.01
NSW,148,Shortland,2690,Caves Beach,14843,TSCHANTER,Dell,4,,LP,Liberal,1234,1.01
NSW,148,Shortland,12050,Chain Valley Bay,14348,HALL,Jill,2,#,ALP,Australian Labor Party,495,0.47
NSW,148,Shortland,12050,Chain Valley Bay,14843,TSCHANTER,Dell,4,,LP,Liberal,358,-0.47
NSW,148,Shortland,2691,Charlestown,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1217,-0.16
NSW,148,Shortland,2691,Charlestown,14843,TSCHANTER,Dell,4,,LP,Liberal,899,0.16
NSW,148,Shortland,2692,Charlestown East,14348,HALL,Jill,2,#,ALP,Australian Labor Party,787,4.39
NSW,148,Shortland,2692,Charlestown East,14843,TSCHANTER,Dell,4,,LP,Liberal,467,-4.39
NSW,148,Shortland,583,Charmhaven,14348,HALL,Jill,2,#,ALP,Australian Labor Party,587,1.42
NSW,148,Shortland,583,Charmhaven,14843,TSCHANTER,Dell,4,,LP,Liberal,455,-1.42
NSW,148,Shortland,34363,Croudace Bay,14348,HALL,Jill,2,#,ALP,Australian Labor Party,202,5.65
NSW,148,Shortland,34363,Croudace Bay,14843,TSCHANTER,Dell,4,,LP,Liberal,193,-5.65
NSW,148,Shortland,2694,Dudley,14348,HALL,Jill,2,#,ALP,Australian Labor Party,844,4.97
NSW,148,Shortland,2694,Dudley,14843,TSCHANTER,Dell,4,,LP,Liberal,536,-4.97
NSW,148,Shortland,344,Eleebana,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1600,2.41
NSW,148,Shortland,344,Eleebana,14843,TSCHANTER,Dell,4,,LP,Liberal,1892,-2.41
NSW,148,Shortland,2695,Floraville,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1261,-2.67
NSW,148,Shortland,2695,Floraville,14843,TSCHANTER,Dell,4,,LP,Liberal,1035,2.67
NSW,148,Shortland,2696,Gateshead,14348,HALL,Jill,2,#,ALP,Australian Labor Party,839,-0.57
NSW,148,Shortland,2696,Gateshead,14843,TSCHANTER,Dell,4,,LP,Liberal,399,0.57
NSW,148,Shortland,2697,Gateshead West,14348,HALL,Jill,2,#,ALP,Australian Labor Party,869,0.36
NSW,148,Shortland,2697,Gateshead West,14843,TSCHANTER,Dell,4,,LP,Liberal,270,-0.36
NSW,148,Shortland,589,Gorokan,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1246,-0.44
NSW,148,Shortland,589,Gorokan,14843,TSCHANTER,Dell,4,,LP,Liberal,965,0.44
NSW,148,Shortland,590,Gwandalan,14348,HALL,Jill,2,#,ALP,Australian Labor Party,874,2.25
NSW,148,Shortland,590,Gwandalan,14843,TSCHANTER,Dell,4,,LP,Liberal,636,-2.25
NSW,148,Shortland,2700,Jewells,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1168,0.72
NSW,148,Shortland,2700,Jewells,14843,TSCHANTER,Dell,4,,LP,Liberal,850,-0.72
NSW,148,Shortland,2701,Kahibah,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1175,1.27
NSW,148,Shortland,2701,Kahibah,14843,TSCHANTER,Dell,4,,LP,Liberal,795,-1.27
NSW,148,Shortland,31417,Lake Haven,14348,HALL,Jill,2,#,ALP,Australian Labor Party,837,1.12
NSW,148,Shortland,31417,Lake Haven,14843,TSCHANTER,Dell,4,,LP,Liberal,694,-1.12
NSW,148,Shortland,597,Lake Munmorah,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1570,0.35
NSW,148,Shortland,597,Lake Munmorah,14843,TSCHANTER,Dell,4,,LP,Liberal,1183,-0.35
NSW,148,Shortland,600,Mannering Park,14348,HALL,Jill,2,#,ALP,Australian Labor Party,791,3.09
NSW,148,Shortland,600,Mannering Park,14843,TSCHANTER,Dell,4,,LP,Liberal,440,-3.09
NSW,148,Shortland,2706,Marks Point,14348,HALL,Jill,2,#,ALP,Australian Labor Party,871,-4.14
NSW,148,Shortland,2706,Marks Point,14843,TSCHANTER,Dell,4,,LP,Liberal,453,4.14
NSW,148,Shortland,11982,Mount Hutton (Shortland),14348,HALL,Jill,2,#,ALP,Australian Labor Party,887,0.8
NSW,148,Shortland,11982,Mount Hutton (Shortland),14843,TSCHANTER,Dell,4,,LP,Liberal,606,-0.8
NSW,148,Shortland,605,Norah Head,14348,HALL,Jill,2,#,ALP,Australian Labor Party,454,0.71
NSW,148,Shortland,605,Norah Head,14843,TSCHANTER,Dell,4,,LP,Liberal,416,-0.71
NSW,148,Shortland,2715,Nords Wharf,14348,HALL,Jill,2,#,ALP,Australian Labor Party,268,1.82
NSW,148,Shortland,2715,Nords Wharf,14843,TSCHANTER,Dell,4,,LP,Liberal,209,-1.82
NSW,148,Shortland,2716,Pelican,14348,HALL,Jill,2,#,ALP,Australian Labor Party,607,3.53
NSW,148,Shortland,2716,Pelican,14843,TSCHANTER,Dell,4,,LP,Liberal,213,-3.53
NSW,148,Shortland,2717,Redhead,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1235,-0.26
NSW,148,Shortland,2717,Redhead,14843,TSCHANTER,Dell,4,,LP,Liberal,742,0.26
NSW,148,Shortland,608,San Remo,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1111,-2.03
NSW,148,Shortland,608,San Remo,14843,TSCHANTER,Dell,4,,LP,Liberal,715,2.03
NSW,148,Shortland,33617,Special Hospital Team 1,14348,HALL,Jill,2,#,ALP,Australian Labor Party,14,0
NSW,148,Shortland,33617,Special Hospital Team 1,14843,TSCHANTER,Dell,4,,LP,Liberal,10,0
NSW,148,Shortland,11636,Summerland Point,14348,HALL,Jill,2,#,ALP,Australian Labor Party,617,2.32
NSW,148,Shortland,11636,Summerland Point,14843,TSCHANTER,Dell,4,,LP,Liberal,525,-2.32
NSW,148,Shortland,2718,Swansea,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1585,-1.17
NSW,148,Shortland,2718,Swansea,14843,TSCHANTER,Dell,4,,LP,Liberal,651,1.17
NSW,148,Shortland,31659,Swansea Central,14348,HALL,Jill,2,#,ALP,Australian Labor Party,262,3.4
NSW,148,Shortland,31659,Swansea Central,14843,TSCHANTER,Dell,4,,LP,Liberal,96,-3.4
NSW,148,Shortland,14156,Sydney (Shortland),14348,HALL,Jill,2,#,ALP,Australian Labor Party,21,13.64
NSW,148,Shortland,14156,Sydney (Shortland),14843,TSCHANTER,Dell,4,,LP,Liberal,12,-13.64
NSW,148,Shortland,613,Toukley,14348,HALL,Jill,2,#,ALP,Australian Labor Party,778,2.9
NSW,148,Shortland,613,Toukley,14843,TSCHANTER,Dell,4,,LP,Liberal,604,-2.9
NSW,148,Shortland,614,Toukley East,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1101,-2.42
NSW,148,Shortland,614,Toukley East,14843,TSCHANTER,Dell,4,,LP,Liberal,850,2.42
NSW,148,Shortland,374,Valentine,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1407,4.07
NSW,148,Shortland,374,Valentine,14843,TSCHANTER,Dell,4,,LP,Liberal,1473,-4.07
NSW,148,Shortland,2722,Whitebridge,14348,HALL,Jill,2,#,ALP,Australian Labor Party,695,2.93
NSW,148,Shortland,2722,Whitebridge,14843,TSCHANTER,Dell,4,,LP,Liberal,459,-2.93
NSW,148,Shortland,2723,Windale,14348,HALL,Jill,2,#,ALP,Australian Labor Party,1779,0.63
NSW,148,Shortland,2723,Windale,14843,TSCHANTER,Dell,4,,LP,Liberal,421,-0.63
NSW,149,Sydney,1433,Alexandria,14886,SHEVERS,Michael,3,,LP,Liberal,472,1.79
NSW,149,Sydney,1433,Alexandria,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,907,-1.79
NSW,149,Sydney,2728,Annandale North (Sydney),14886,SHEVERS,Michael,3,,LP,Liberal,366,-3.85
NSW,149,Sydney,2728,Annandale North (Sydney),14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,852,3.85
NSW,149,Sydney,2729,Bald Rock,14886,SHEVERS,Michael,3,,LP,Liberal,208,5.61
NSW,149,Sydney,2729,Bald Rock,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,317,-5.61
NSW,149,Sydney,2730,Balmain,14886,SHEVERS,Michael,3,,LP,Liberal,635,-4.14
NSW,149,Sydney,2730,Balmain,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1201,4.14
NSW,149,Sydney,2731,Balmain East,14886,SHEVERS,Michael,3,,LP,Liberal,309,-4.58
NSW,149,Sydney,2731,Balmain East,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,592,4.58
NSW,149,Sydney,2732,Balmain Hospital,14886,SHEVERS,Michael,3,,LP,Liberal,153,-7.4
NSW,149,Sydney,2732,Balmain Hospital,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,291,7.4
NSW,149,Sydney,2853,Barcom,14886,SHEVERS,Michael,3,,LP,Liberal,223,-9.28
NSW,149,Sydney,2853,Barcom,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,599,9.28
NSW,149,Sydney,1435,Beaconsfield,14886,SHEVERS,Michael,3,,LP,Liberal,197,2.68
NSW,149,Sydney,1435,Beaconsfield,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,362,-2.68
NSW,149,Sydney,2733,Birchgrove,14886,SHEVERS,Michael,3,,LP,Liberal,715,-3.68
NSW,149,Sydney,2733,Birchgrove,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1304,3.68
NSW,149,Sydney,2856,Blackfriars,14886,SHEVERS,Michael,3,,LP,Liberal,172,-6.42
NSW,149,Sydney,2856,Blackfriars,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,529,6.42
NSW,149,Sydney,1440,Chippendale,14886,SHEVERS,Michael,3,,LP,Liberal,185,-3.89
NSW,149,Sydney,1440,Chippendale,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,832,3.89
NSW,149,Sydney,2859,Darlinghurst,14886,SHEVERS,Michael,3,,LP,Liberal,112,-3.4
NSW,149,Sydney,2859,Darlinghurst,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,179,3.4
NSW,149,Sydney,1441,Darlington,14886,SHEVERS,Michael,3,,LP,Liberal,278,-4.45
NSW,149,Sydney,1441,Darlington,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,897,4.45
NSW,149,Sydney,2864,East Sydney,14886,SHEVERS,Michael,3,,LP,Liberal,418,-0.51
NSW,149,Sydney,2864,East Sydney,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,984,0.51
NSW,149,Sydney,1444,Erskineville,14886,SHEVERS,Michael,3,,LP,Liberal,776,-0.3
NSW,149,Sydney,1444,Erskineville,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,2151,0.3
NSW,149,Sydney,2866,Flinders,14886,SHEVERS,Michael,3,,LP,Liberal,289,-1.29
NSW,149,Sydney,2866,Flinders,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,630,1.29
NSW,149,Sydney,2740,Forest Lodge,14886,SHEVERS,Michael,3,,LP,Liberal,402,-2.17
NSW,149,Sydney,2740,Forest Lodge,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1160,2.17
NSW,149,Sydney,1446,Gardeners Road,14886,SHEVERS,Michael,3,,LP,Liberal,215,3.55
NSW,149,Sydney,1446,Gardeners Road,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,411,-3.55
NSW,149,Sydney,2741,Gladstone Park,14886,SHEVERS,Michael,3,,LP,Liberal,411,-0.38
NSW,149,Sydney,2741,Gladstone Park,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,838,0.38
NSW,149,Sydney,2742,Glebe,14886,SHEVERS,Michael,3,,LP,Liberal,346,-3.71
NSW,149,Sydney,2742,Glebe,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1082,3.71
NSW,149,Sydney,2743,Glebe East,14886,SHEVERS,Michael,3,,LP,Liberal,363,-1.12
NSW,149,Sydney,2743,Glebe East,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1305,1.12
NSW,149,Sydney,2744,Glebe North,14886,SHEVERS,Michael,3,,LP,Liberal,246,-5.72
NSW,149,Sydney,2744,Glebe North,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,664,5.72
NSW,149,Sydney,2869,Hyde Park,14886,SHEVERS,Michael,3,,LP,Liberal,216,-2.76
NSW,149,Sydney,2869,Hyde Park,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,422,2.76
NSW,149,Sydney,2871,Kings Cross,14886,SHEVERS,Michael,3,,LP,Liberal,666,0.37
NSW,149,Sydney,2871,Kings Cross,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1502,-0.37
NSW,149,Sydney,2755,Lord Howe Island,14886,SHEVERS,Michael,3,,LP,Liberal,98,-3.86
NSW,149,Sydney,2755,Lord Howe Island,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,107,3.86
NSW,149,Sydney,2756,Millers Point,14886,SHEVERS,Michael,3,,LP,Liberal,532,10.18
NSW,149,Sydney,2756,Millers Point,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,575,-10.18
NSW,149,Sydney,8881,Newtown East,14886,SHEVERS,Michael,3,,LP,Liberal,117,-3.76
NSW,149,Sydney,8881,Newtown East,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,623,3.76
NSW,149,Sydney,8882,Newtown North (Sydney),14886,SHEVERS,Michael,3,,LP,Liberal,324,-2.67
NSW,149,Sydney,8882,Newtown North (Sydney),14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1398,2.67
NSW,149,Sydney,2874,Paddington South (Sydney),14886,SHEVERS,Michael,3,,LP,Liberal,677,-5.21
NSW,149,Sydney,2874,Paddington South (Sydney),14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,955,5.21
NSW,149,Sydney,2877,Potts Point,14886,SHEVERS,Michael,3,,LP,Liberal,1005,-3.69
NSW,149,Sydney,2877,Potts Point,14305,PLIBERSEK,Tanya,4,#,ALP,Australian Labor Party,1650,3.69
NSW,149,Sydney,2761,Prince Alfred Hospital,14886,SHEVERS,Michael,3,,LP,Liberal,138,-10.51
