Date,Party,50%
1983-03-16,@TPP,58.83
1983-03-17,@TPP,58.83
1983-03-18,@TPP,58.857
1983-03-19,@TPP,58.857
1983-03-20,@TPP,58.889
1983-03-21,@TPP,58.889
1983-03-22,@TPP,58.936
1983-03-23,@TPP,58.936
1983-03-24,@TPP,58.965
1983-03-25,@TPP,58.965
1983-03-26,@TPP,58.99
1983-03-27,@TPP,58.99
1983-03-28,@TPP,59.047
1983-03-29,@TPP,59.047
1983-03-30,@TPP,59.095
1983-03-31,@TPP,59.095
1983-04-01,@TPP,59.053
1983-04-02,@TPP,59.053
1983-04-03,@TPP,59.065
1983-04-04,@TPP,59.065
1983-04-05,@TPP,59.048
1983-04-06,@TPP,59.048
1983-04-07,@TPP,59.047
1983-04-08,@TPP,59.047
1983-04-09,@TPP,59.037
1983-04-10,@TPP,59.037
1983-04-11,@TPP,59.021
1983-04-12,@TPP,59.021
1983-04-13,@TPP,59.032
1983-04-14,@TPP,59.032
1983-04-15,@TPP,58.962
1983-04-16,@TPP,58.962
1983-04-17,@TPP,58.919
1983-04-18,@TPP,58.919
1983-04-19,@TPP,58.826
1983-04-20,@TPP,58.826
1983-04-21,@TPP,58.794
1983-04-22,@TPP,58.794
1983-04-23,@TPP,58.743
1983-04-24,@TPP,58.743
1983-04-25,@TPP,58.699
1983-04-26,@TPP,58.699
1983-04-27,@TPP,58.615
1983-04-28,@TPP,58.615
1983-04-29,@TPP,58.527
1983-04-30,@TPP,58.527
1983-05-01,@TPP,58.409
1983-05-02,@TPP,58.409
1983-05-03,@TPP,58.29
1983-05-04,@TPP,58.29
1983-05-05,@TPP,58.189
1983-05-06,@TPP,58.189
1983-05-07,@TPP,58.111
1983-05-08,@TPP,58.111
1983-05-09,@TPP,58.02
1983-05-10,@TPP,58.02
1983-05-11,@TPP,57.929
1983-05-12,@TPP,57.929
1983-05-13,@TPP,57.766
1983-05-14,@TPP,57.766
1983-05-15,@TPP,57.642
1983-05-16,@TPP,57.642
1983-05-17,@TPP,57.471
1983-05-18,@TPP,57.471
1983-05-19,@TPP,57.319
1983-05-20,@TPP,57.319
1983-05-21,@TPP,57.174
1983-05-22,@TPP,57.174
1983-05-23,@TPP,57.116
1983-05-24,@TPP,57.116
1983-05-25,@TPP,57.072
1983-05-26,@TPP,57.072
1983-05-27,@TPP,57.008
1983-05-28,@TPP,57.008
1983-05-29,@TPP,56.93
1983-05-30,@TPP,56.93
1983-05-31,@TPP,56.886
1983-06-01,@TPP,56.886
1983-06-02,@TPP,56.821
1983-06-03,@TPP,56.821
1983-06-04,@TPP,56.721
1983-06-05,@TPP,56.721
1983-06-06,@TPP,56.65
1983-06-07,@TPP,56.65
1983-06-08,@TPP,56.537
1983-06-09,@TPP,56.537
1983-06-10,@TPP,56.474
1983-06-11,@TPP,56.474
1983-06-12,@TPP,56.363
1983-06-13,@TPP,56.363
1983-06-14,@TPP,56.288
1983-06-15,@TPP,56.288
1983-06-16,@TPP,56.171
1983-06-17,@TPP,56.171
1983-06-18,@TPP,56.097
1983-06-19,@TPP,56.097
1983-06-20,@TPP,55.998
1983-06-21,@TPP,55.998
1983-06-22,@TPP,55.874
1983-06-23,@TPP,55.874
1983-06-24,@TPP,55.779
