Date,Party,50%
2004-10-13,@TPP,47.035
2004-10-14,@TPP,47.035
2004-10-15,@TPP,47.083
2004-10-16,@TPP,47.083
2004-10-17,@TPP,47.152
2004-10-18,@TPP,47.152
2004-10-19,@TPP,47.2
2004-10-20,@TPP,47.2
2004-10-21,@TPP,47.233
2004-10-22,@TPP,47.233
2004-10-23,@TPP,47.272
2004-10-24,@TPP,47.272
2004-10-25,@TPP,47.338
2004-10-26,@TPP,47.338
2004-10-27,@TPP,47.368
2004-10-28,@TPP,47.368
2004-10-29,@TPP,47.413
2004-10-30,@TPP,47.413
2004-10-31,@TPP,47.445
2004-11-01,@TPP,47.445
2004-11-02,@TPP,47.503
2004-11-03,@TPP,47.503
2004-11-04,@TPP,47.536
2004-11-05,@TPP,47.536
2004-11-06,@TPP,47.53
2004-11-07,@TPP,47.53
2004-11-08,@TPP,47.558
2004-11-09,@TPP,47.558
2004-11-10,@TPP,47.551
2004-11-11,@TPP,47.551
2004-11-12,@TPP,47.543
2004-11-13,@TPP,47.543
2004-11-14,@TPP,47.544
2004-11-15,@TPP,47.544
2004-11-16,@TPP,47.544
2004-11-17,@TPP,47.544
2004-11-18,@TPP,47.49
2004-11-19,@TPP,47.49
2004-11-20,@TPP,47.438
2004-11-21,@TPP,47.438
2004-11-22,@TPP,47.348
2004-11-23,@TPP,47.348
2004-11-24,@TPP,47.26
2004-11-25,@TPP,47.26
2004-11-26,@TPP,47.183
2004-11-27,@TPP,47.183
2004-11-28,@TPP,47.088
2004-11-29,@TPP,47.088
2004-11-30,@TPP,46.997
2004-12-01,@TPP,46.997
2004-12-02,@TPP,46.958
2004-12-03,@TPP,46.958
2004-12-04,@TPP,46.918
2004-12-05,@TPP,46.918
2004-12-06,@TPP,46.95
2004-12-07,@TPP,46.95
2004-12-08,@TPP,46.973
2004-12-09,@TPP,46.973
2004-12-10,@TPP,46.978
2004-12-11,@TPP,46.978
2004-12-12,@TPP,46.995
2004-12-13,@TPP,46.995
2004-12-14,@TPP,47.002
2004-12-15,@TPP,47.002
2004-12-16,@TPP,47.037
2004-12-17,@TPP,47.037
2004-12-18,@TPP,47.067
2004-12-19,@TPP,47.067
2004-12-20,@TPP,47.004
2004-12-21,@TPP,47.004
2004-12-22,@TPP,46.94
2004-12-23,@TPP,46.94
2004-12-24,@TPP,46.873
2004-12-25,@TPP,46.873
2004-12-26,@TPP,46.811
2004-12-27,@TPP,46.811
2004-12-28,@TPP,46.759
2004-12-29,@TPP,46.759
2004-12-30,@TPP,46.718
2004-12-31,@TPP,46.718
2005-01-01,@TPP,46.663
2005-01-02,@TPP,46.663
2005-01-03,@TPP,46.597
2005-01-04,@TPP,46.597
2005-01-05,@TPP,46.54
2005-01-06,@TPP,46.54
2005-01-07,@TPP,46.459
2005-01-08,@TPP,46.459
2005-01-09,@TPP,46.403
2005-01-10,@TPP,46.403
2005-01-11,@TPP,46.355
2005-01-12,@TPP,46.355
2005-01-13,@TPP,46.331
2005-01-14,@TPP,46.331
2005-01-15,@TPP,46.305
2005-01-16,@TPP,46.305
2005-01-17,@TPP,46.292
2005-01-18,@TPP,46.292
2005-01-19,@TPP,46.269
2005-01-20,@TPP,46.269
2005-01-21,@TPP,46.231
2005-01-22,@TPP,46.231
2005-01-23,@TPP,46.286
2005-01-24,@TPP,46.286
2005-01-25,@TPP,46.333
2005-01-26,@TPP,46.333
2005-01-27,@TPP,46.328
2005-01-28,@TPP,46.328
2005-01-29,@TPP,47.442
2005-01-30,@TPP,47.442
2005-01-31,@TPP,47.437
2005-02-01,@TPP,47.437
2005-02-02,@TPP,47.432
2005-02-03,@TPP,47.432
2005-02-04,@TPP,47.425
2005-02-05,@TPP,47.425
2005-02-06,@TPP,47.458
2005-02-07,@TPP,47.458
2005-02-08,@TPP,47.477
2005-02-09,@TPP,47.477
2005-02-10,@TPP,47.535
2005-02-11,@TPP,47.535
2005-02-12,@TPP,47.564
2005-02-13,@TPP,47.564
2005-02-14,@TPP,47.637
2005-02-15,@TPP,47.637
2005-02-16,@TPP,47.718
2005-02-17,@TPP,47.718
2005-02-18,@TPP,47.792
2005-02-19,@TPP,47.792
2005-02-20,@TPP,47.867
2005-02-21,@TPP,47.867
2005-02-22,@TPP,47.95
2005-02-23,@TPP,47.95
2005-02-24,@TPP,48.071
2005-02-25,@TPP,48.071
2005-02-26,@TPP,48.178
2005-02-27,@TPP,48.178
2005-02-28,@TPP,48.279
2005-03-01,@TPP,48.279
2005-03-02,@TPP,48.411
2005-03-03,@TPP,48.411
2005-03-04,@TPP,48.531
2005-03-05,@TPP,48.531
2005-03-06,@TPP,48.675
