Date,Party,50%
2010-08-23,@TPP,50.927
2010-08-24,@TPP,50.927
2010-08-25,@TPP,50.935
2010-08-26,@TPP,50.935
2010-08-27,@TPP,50.903
2010-08-28,@TPP,50.903
2010-08-29,@TPP,50.893
2010-08-30,@TPP,50.893
2010-08-31,@TPP,50.886
2010-09-01,@TPP,50.886
2010-09-02,@TPP,50.815
2010-09-03,@TPP,50.815
2010-09-04,@TPP,50.728
2010-09-05,@TPP,50.728
2010-09-06,@TPP,50.713
2010-09-07,@TPP,50.713
2010-09-08,@TPP,50.676
2010-09-09,@TPP,50.676
2010-09-10,@TPP,50.66
2010-09-11,@TPP,50.66
2010-09-12,@TPP,50.683
2010-09-13,@TPP,50.683
2010-09-14,@TPP,50.727
2010-09-15,@TPP,50.727
2010-09-16,@TPP,50.762
2010-09-17,@TPP,50.762
2010-09-18,@TPP,50.8
2010-09-19,@TPP,50.8
2010-09-20,@TPP,50.804
2010-09-21,@TPP,50.804
2010-09-22,@TPP,50.806
2010-09-23,@TPP,50.806
2010-09-24,@TPP,50.812
2010-09-25,@TPP,50.812
2010-09-26,@TPP,50.816
2010-09-27,@TPP,50.816
2010-09-28,@TPP,50.815
2010-09-29,@TPP,50.815
2010-09-30,@TPP,50.83
2010-10-01,@TPP,50.83
2010-10-02,@TPP,50.826
2010-10-03,@TPP,50.826
2010-10-04,@TPP,50.74
2010-10-05,@TPP,50.74
2010-10-06,@TPP,50.645
2010-10-07,@TPP,50.645
2010-10-08,@TPP,50.554
2010-10-09,@TPP,50.554
2010-10-10,@TPP,50.494
2010-10-11,@TPP,50.494
2010-10-12,@TPP,50.44
2010-10-13,@TPP,50.44
2010-10-14,@TPP,50.34
2010-10-15,@TPP,50.34
2010-10-16,@TPP,50.234
2010-10-17,@TPP,50.234
2010-10-18,@TPP,50.128
2010-10-19,@TPP,50.128
2010-10-20,@TPP,50.037
2010-10-21,@TPP,50.037
2010-10-22,@TPP,49.93
2010-10-23,@TPP,49.93
2010-10-24,@TPP,49.928
2010-10-25,@TPP,49.928
2010-10-26,@TPP,49.889
2010-10-27,@TPP,49.889
2010-10-28,@TPP,49.812
2010-10-29,@TPP,49.812
2010-10-30,@TPP,49.727
2010-10-31,@TPP,49.727
2010-11-01,@TPP,49.726
2010-11-02,@TPP,49.726
2010-11-03,@TPP,49.739
2010-11-04,@TPP,49.739
2010-11-05,@TPP,49.724
2010-11-06,@TPP,49.724
2010-11-07,@TPP,49.78
2010-11-08,@TPP,49.78
2010-11-09,@TPP,49.843
2010-11-10,@TPP,49.843
2010-11-11,@TPP,49.833
2010-11-12,@TPP,49.833
2010-11-13,@TPP,49.838
2010-11-14,@TPP,49.838
2010-11-15,@TPP,49.89
2010-11-16,@TPP,49.89
2010-11-17,@TPP,49.938
2010-11-18,@TPP,49.938
2010-11-19,@TPP,49.989
2010-11-20,@TPP,49.989
2010-11-21,@TPP,49.937
2010-11-22,@TPP,49.937
2010-11-23,@TPP,49.896
2010-11-24,@TPP,49.896
2010-11-25,@TPP,49.865
2010-11-26,@TPP,49.865
2010-11-27,@TPP,49.807
2010-11-28,@TPP,49.807
2010-11-29,@TPP,49.712
2010-11-30,@TPP,49.712
2010-12-01,@TPP,49.631
2010-12-02,@TPP,49.631
2010-12-03,@TPP,49.552
2010-12-04,@TPP,49.552
2010-12-05,@TPP,49.46
2010-12-06,@TPP,49.46
2010-12-07,@TPP,49.303
2010-12-08,@TPP,49.303
2010-12-09,@TPP,49.128
2010-12-10,@TPP,49.128
2010-12-11,@TPP,49.106
2010-12-12,@TPP,49.106
2010-12-13,@TPP,49.148
2010-12-14,@TPP,49.148
2010-12-15,@TPP,49.191
2010-12-16,@TPP,49.191
2010-12-17,@TPP,49.232
2010-12-18,@TPP,49.232
2010-12-19,@TPP,49.264
2010-12-20,@TPP,49.264
2010-12-21,@TPP,49.31
2010-12-22,@TPP,49.31
2010-12-23,@TPP,49.343
2010-12-24,@TPP,49.343
2010-12-25,@TPP,49.397
2010-12-26,@TPP,49.397
2010-12-27,@TPP,49.455
2010-12-28,@TPP,49.455
2010-12-29,@TPP,49.491
2010-12-30,@TPP,49.491
2010-12-31,@TPP,49.541
2011-01-01,@TPP,49.541
2011-01-02,@TPP,49.582
2011-01-03,@TPP,49.582
2011-01-04,@TPP,49.628
2011-01-05,@TPP,49.628
2011-01-06,@TPP,49.676
2011-01-07,@TPP,49.676
2011-01-08,@TPP,49.718
2011-01-09,@TPP,49.718
2011-01-10,@TPP,49.822
2011-01-11,@TPP,49.822
2011-01-12,@TPP,49.946
2011-01-13,@TPP,49.946
2011-01-14,@TPP,50.054
2011-01-15,@TPP,50.054
2011-01-16,@TPP,50.18
2011-01-17,@TPP,50.18
2011-01-18,@TPP,50.309
2011-01-19,@TPP,50.309
2011-01-20,@TPP,50.134
2011-01-21,@TPP,50.134
2011-01-22,@TPP,49.946
2011-01-23,@TPP,49.946
2011-01-24,@TPP,49.78
2011-01-25,@TPP,49.78
2011-01-26,@TPP,49.613
2011-01-27,@TPP,49.613
2011-01-28,@TPP,49.436
2011-01-29,@TPP,49.436
2011-01-30,@TPP,49.269
2011-01-31,@TPP,49.269
2011-02-01,@TPP,49.106
2011-02-02,@TPP,49.106
2011-02-03,@TPP,48.96
2011-02-04,@TPP,48.96
2011-02-05,@TPP,48.814
2011-02-06,@TPP,48.814
2011-02-07,@TPP,48.766
2011-02-08,@TPP,48.766
2011-02-09,@TPP,48.702
2011-02-10,@TPP,48.702
2011-02-11,@TPP,48.636
2011-02-12,@TPP,48.636
2011-02-13,@TPP,48.676
2011-02-14,@TPP,48.676
2011-02-15,@TPP,48.698
2011-02-16,@TPP,48.698
2011-02-17,@TPP,48.65
2011-02-18,@TPP,48.65
2011-02-19,@TPP,48.561
2011-02-20,@TPP,48.561
2011-02-21,@TPP,48.39
2011-02-22,@TPP,48.39
2011-02-23,@TPP,48.252
2011-02-24,@TPP,48.252
2011-02-25,@TPP,48.126
2011-02-26,@TPP,48.126
2011-02-27,@TPP,47.989
2011-02-28,@TPP,47.989
2011-03-01,@TPP,47.736
2011-03-02,@TPP,47.736
2011-03-03,@TPP,47.525
2011-03-04,@TPP,47.525
2011-03-05,@TPP,47.325
2011-03-06,@TPP,47.325
2011-03-07,@TPP,47.282
2011-03-08,@TPP,47.282
2011-03-09,@TPP,47.254
2011-03-10,@TPP,47.254
2011-03-11,@TPP,47.365
2011-03-12,@TPP,47.365
2011-03-13,@TPP,47.443
2011-03-14,@TPP,47.443
2011-03-15,@TPP,47.539
2011-03-16,@TPP,47.539
2011-03-17,@TPP,47.657
2011-03-18,@TPP,47.657
