index,id,name,population,analysis_code,previous_election_tpp
0,nsw,NSW,4537336,nsw,48.2200012
1,vic,VIC,3695032,vic,53.1399994
2,qld,QLD,2829018,qld,41.5600014
3,wa,WA,1401874,wa,44.4500008
4,sa,SA,1072648,sa,50.7099991
5,tas,TAS,347992,tas,55.9599991
6,act,ACT,265975,act,61.6100006
7,nt,NT,103518,nt,54.2000008
