tcp,Ryan,Ashgrove West (Ryan),GRN,LNP,487,326
tcp,Ryan,Auchenflower,GRN,LNP,552,320
tcp,Ryan,Bardon,GRN,LNP,524,361
tcp,Ryan,Bellbowrie,GRN,LNP,300,441
tcp,Ryan,Enoggera (Ryan),GRN,LNP,329,160
tcp,Ryan,Ferny Grove,GRN,LNP,1261,850
tcp,Ryan,Ferny Grove South,GRN,LNP,495,529
tcp,Ryan,Grovely (Ryan),GRN,LNP,382,145
tcp,Ryan,Indooroopilly,GRN,LNP,598,340
tcp,Ryan,Indooroopilly West,GRN,LNP,430,264
tcp,Ryan,Ironside,GRN,LNP,954,645
tcp,Ryan,Kenmore,GRN,LNP,710,593
tcp,Ryan,Mitchelton,GRN,LNP,924,559
tcp,Ryan,Mitchelton East,GRN,LNP,618,387
tcp,Ryan,Oxford Park,GRN,LNP,605,288
tcp,Ryan,Pullenvale,GRN,LNP,308,371
tcp,Ryan,Rainworth,GRN,LNP,897,661
tcp,Ryan,Taringa,GRN,LNP,550,262
tcp,Ryan,The Gap,GRN,LNP,805,465
tcp,Ryan,The Gap East,GRN,LNP,934,532
tcp,Ryan,The Gap West,GRN,LNP,729,526
tcp,Ryan,Toowong,GRN,LNP,1258,691
tcp,Ryan,Toowong West,GRN,LNP,435,236
tcp,Ryan,Upper Brookfield,GRN,LNP,259,225
