seat,prediction
Albert Park,0.0
Altona,0.0
Ballarat East,0.0
Ballarat West,0.0
Bass,0.0
Bayswater,0.0
Bellarine,0.0
Benalla,0.5038022813688213
Benambra,0.23908918406072105
Bendigo East,0.243360433604336
Bendigo West,0.3099730458221024
Bentleigh,0.0
Box Hill,0.0
Brighton,0.0
Broadmeadows,0.0
Brunswick,0.0
Bulleen,0.0
Bundoora,0.0
Burwood,0.0
Carrum,0.0
Caulfield,0.0
Clayton,0.0
Cranbourne,0.0
Dandenong,0.0
Derrimut,0.0
Doncaster,0.0
Eltham,0.0
Essendon,0.0
Evelyn,0.0
Ferntree Gully,0.0
Footscray,0.0
Forest Hill,0.0
Frankston,0.0
Geelong,0.0
Gembrook,0.0
Gippsland East,0.6530054644808744
Gippsland South,0.6471571906354515
Hastings,0.0
Hawthorn,0.0
Ivanhoe,0.0
Keilor,0.0
Kew,0.0
Kilsyth,0.0
Kororoit,0.0
Lara,0.0
Lowan,0.595900439238653
Lyndhurst,0.0
Macedon,0.0
Malvern,0.0
Melbourne,0.0
Melton,0.0
Mildura,0.5892539632426261
Mill Park,0.0
Mitcham,0.0
Monbulk,0.0
Mordialloc,0.0
Mornington,0.0
Morwell,0.38924050632911394
Mount Waverley,0.0
Mulgrave,0.0
Murray Valley,0.6776729559748428
Narracan,0.19856459330143544
Narre Warren North,0.0
Narre Warren South,0.0
Nepean,0.0
Niddrie,0.0
Northcote,0.0
Oakleigh,0.0
Pascoe Vale,0.0
Polwarth,0.18941345014714395
Prahran,0.0
Preston,0.0
Richmond,0.0
Ripon,0.18705035971223022
Rodney,0.531782945736434
Sandringham,0.0
Scoresby,0.0
Seymour,0.0
Shepparton,0.489795918367347
South Barwon,0.0
South-West Coast,0.222007722007722
Swan Hill,0.567479674796748
Tarneit,0.0
Thomastown,0.0
Warrandyte,0.0
Williamstown,0.0
Yan Yean,0.0
Yuroke,0.0
