seat,prediction
Albury,0.0
Auburn,0.0
Ballina,1.0
Balmain,0.0
Bankstown,0.0
Barwon,1.0
Bathurst,1.0
Baulkham Hills,0.0
Bega,0.0
Blacktown,0.0
Blue Mountains,0.0
Burrinjuck,1.0
Cabramatta,0.0
Camden,0.0
Campbelltown,0.0
Canterbury,0.0
Castle Hill,0.0
Cessnock,1.0
Charlestown,0.0
Clarence,1.0
Coffs Harbour,1.0
Coogee,0.0
Cronulla,0.0
Davidson,0.0
Drummoyne,0.0
Dubbo,1.0
East Hills,0.0
Epping,0.0
Fairfield,0.0
Gosford,0.0
Goulburn,0.0
Granville,0.0
Hawkesbury,0.0
Heathcote,0.0
Heffron,0.0
Hornsby,0.0
Keira,0.0
Kiama,0.0
Kogarah,0.0
Ku-ring-gai,0.0
Lake Macquarie,0.0
Lakemba,0.0
Lane Cove,0.0
Lismore,1.0
Liverpool,0.0
Londonderry,0.0
Macquarie Fields,0.0
Maitland,0.0
Manly,0.0
Maroubra,0.0
Marrickville,0.0
Menai,0.0
Miranda,0.0
Monaro,1.0
Mount Druitt,0.0
Mulgoa,0.0
Murray-Darling,1.0
Murrumbidgee,1.0
Myall Lakes,1.0
Newcastle,0.0
North Shore,0.0
Northern Tablelands,1.0
Oatley,0.0
Orange,1.0
Oxley,1.0
Parramatta,0.0
Penrith,0.0
Pittwater,0.0
Port Macquarie,1.0
Port Stephens,0.0
Riverstone,0.0
Rockdale,0.0
Ryde,0.0
Shellharbour,0.0
Smithfield,0.0
South Coast,0.0
Strathfield,0.0
Swansea,0.0
Sydney,0.0
Tamworth,1.0
Terrigal,0.0
The Entrance,0.0
Toongabbie,0.0
Tweed,1.0
Upper Hunter,1.0
Vaucluse,0.0
Wagga Wagga,0.0
Wakehurst,0.0
Wallsend,0.0
Willoughby,0.0
Wollondilly,0.0
Wollongong,0.0
Wyong,0.0
