seat,prediction
Albany,0.12028301886792453
Alfred Cove,0.0
Armadale,0.0
Avon,1.0
Balcatta,0.0
Ballajura,0.0
Bassendean,0.0
Belmont,0.0
Bunbury,0.0
Capel,0.17073170731707316
Carine,0.0
Churchlands,0.0
Cockburn,0.0
Collie-Preston,0.29005987402360983
Cottesloe,0.0
Darling Range,0.0
Dawesville,0.13255360623781676
Fremantle,0.0
Geraldton,0.13020885497285473
Girrawheen,0.0
Greenough,0.35064862707819905
Hillarys,0.0
Joondalup,0.0
Kalgoorlie,0.0
Kenwick,0.0
Kimberley,0.0
Kingsley,0.0
Mandurah,0.0
Maylands,0.0
Merredin,0.6495388669301712
Midland,0.0
Mindarie,0.0
Mitchell,0.0
Moore,0.26879863585581076
Murchison-Eyre,0.0
Murdoch,0.0
Murray-Wellington,0.0929705215419501
Nedlands,0.0
North West Central,0.0
Peel,0.0
Perth,0.0
Pilbara,0.0
Riverton,0.0
Rockingham,0.0
Roe,0.37290888858756716
Serpentine-Jarrahdale,0.0
South Perth,0.0
Southern River,0.0
Stirling,0.45114345114345117
Swan Hills,0.0
Vasse,0.2198811974577733
Victoria Park,0.0
Wagin,1.0
Wanneroo,0.0
Warren-Blackwood,0.0
Willagee,0.0
Yokine,0.0
