seat,prediction
Albany,0.35742015908634733
Armadale,0.0
Balcatta,0.0
Baldivis,0.0
Bassendean,0.0
Bateman,0.0
Belmont,0.0
Bicton,0.0
Bunbury,0.21142237205785092
Burns Beach,0.0
Butler,0.0
Cannington,0.0
Carine,0.0
Central Wheatbelt,0.7685398850236719
Churchlands,0.0
Cockburn,0.0
Collie-Preston,0.35250397529605265
Cottesloe,0.0
Darling Range,0.0
Dawesville,0.037170938411967974
Forrestfield,0.0
Fremantle,0.0
Geraldton,0.5593790088938759
Hillarys,0.0
Jandakot,0.0
Joondalup,0.0
Kalamunda,0.0
Kalgoorlie,0.3039049873006403
Kimberley,0.2507423637843089
Kingsley,0.0
Kwinana,0.0
Landsdale,0.0
Mandurah,0.04835621374253551
Maylands,0.0
Midland,0.0
Mirrabooka,0.0
Moore,0.6101863326926311
Morley,0.0
Mount Lawley,0.0
Murray-Wellington,0.13522808408849613
Nedlands,0.0
North West Central,0.7415429193680987
Perth,0.0
Pilbara,0.6053319420172114
Riverton,0.0
Rockingham,0.0
Roe,0.6485449655111094
Scarborough,0.0
South Perth,0.0
Southern River,0.0
Swan Hills,0.0
Thornlie,0.0
Vasse,0.1196857895508726
Victoria Park,0.0
Wanneroo,0.0
Warnbro,0.0
Warren-Blackwood,0.6765695141153001
West Swan,0.0
Willagee,0.0
