seat,prediction
Algester,0.0
Aspley,0.0
Bancroft,0.0
Barron River,0.0
Bonney,0.0
Broadwater,0.0
Buderim,0.0
Bulimba,0.0
Bundaberg,0.0
Bundamba,0.0
Burdekin,0.0
Burleigh,0.0
Burnett,0.0
Cairns,0.0
Callide,0.0
Caloundra,0.0
Capalaba,0.0
Chatsworth,0.0
Clayfield,0.0
Condamine,0.0
Cook,0.0
Coomera,0.0
Cooper,0.0
Currumbin,0.0
Everton,0.0
Ferny Grove,0.0
Gaven,0.0
Gladstone,0.0
Glass House,0.0
Greenslopes,0.0
Gregory,0.0
Gympie,0.0
Hervey Bay,0.0
Hill,0.0
Hinchinbrook,0.0
Inala,0.0
Ipswich,0.0
Ipswich West,0.0
Jordan,0.0
Kawana,0.0
Keppel,0.0
Kurwongbah,0.0
Lockyer,0.0
Logan,0.0
Lytton,0.0
Macalister,0.0
Mackay,0.0
Maiwar,0.0
Mansfield,0.0
Maroochydore,0.0
Maryborough,0.0
McConnel,0.0
Mermaid Beach,0.0
Miller,0.0
Mirani,0.0
Moggill,0.0
Morayfield,0.0
Mount Ommaney,0.0
Mudgeeraba,0.0
Mulgrave,0.0
Mundingburra,0.0
Murrumba,0.0
Nanango,0.0
Nicklin,0.0
Ninderry,0.0
Noosa,0.0
Nudgee,0.0
Oodgeroo,0.0
Pine Rivers,0.0
Pumicestone,0.0
Redcliffe,0.0
Redlands,0.0
Rockhampton,0.0
Sandgate,0.0
Scenic Rim,0.0
South Brisbane,0.0
Southern Downs,0.0
Southport,0.0
Springwood,0.0
Stafford,0.0
Stretton,0.0
Surfers Paradise,0.0
Theodore,0.0
Thuringowa,0.0
Toohey,0.0
Toowoomba North,0.0
Toowoomba South,0.0
Townsville,0.0
Traeger,0.0
Warrego,0.0
Waterford,0.0
Whitsunday,0.0
Woodridge,0.0
