StartDate,EndDate,Firm,Size,State,Metro,SEQ,Regional
#N/A,#N/A,Election,#N/A,46.2,55.2024142,37.2845072,40.96938894
2023-08-26,2023-09-06,DemosAU,1,43.61757576,51.3785,46.9059,41.0464
