StartDate,EndDate,Firm,Size,State,Metro,SEQ,Regional
#N/A,#N/A,Election,#N/A,8,5.405365854,9.009615385,11.02461538
2023-08-26,2023-09-06,DemosAU,1,21,12,19,29
