Firm,Day,ALP FP,ALP FP adj
AGB McNair,1,50.0,49.6
Newspoll,3,47.0,46.716
F2F Morgan,7,48.0,47.937
Newspoll,17,48.0,47.716
AGB McNair,19,49.0,48.6
F2F Morgan,21,47.0,46.937
AGB McNair,29,50.0,49.6
Newspoll,31,49.0,48.716
F2F Morgan,35,48.0,47.937
AGB McNair,42,47.0,46.6
Newspoll,45,50.0,49.716
F2F Morgan,49,45.5,45.437
AGB McNair,56,48.0,47.6
Newspoll,59,45.0,44.716
F2F Morgan,63,45.5,45.437
AGB McNair,70,46.0,45.6
Newspoll,73,45.0,44.716
F2F Morgan,77,44.5,44.437
AGB McNair,84,47.0,46.6
Newspoll,87,45.0,44.716
F2F Morgan,91,46.0,45.937
AGB McNair,98,47.0,46.6
Newspoll,101,44.0,43.716
F2F Morgan,105,44.5,44.437
AGB McNair,112,46.0,45.6
Newspoll,115,41.0,40.716
F2F Morgan,119,42.5,42.437
AGB McNair,126,45.0,44.6
Newspoll,129,43.0,42.716
F2F Morgan,133,41.0,40.937
AGB McNair,139,41.0,40.6
Newspoll,143,41.0,40.716
F2F Morgan,147,40.0,39.937
AGB McNair,153,39.0,38.6
Newspoll,157,31.0,30.716
F2F Morgan,157,36.5,36.437
AGB McNair,168,36.0,35.6
F2F Morgan,168,34.0,33.937
Newspoll,171,33.0,32.716
AGB McNair,182,36.0,35.6
F2F Morgan,182,34.0,33.937
Newspoll,185,36.0,35.716
Newspoll,192,36.0,35.716
AGB McNair,196,37.0,36.6
F2F Morgan,196,36.0,35.937
Newspoll,206,37.0,36.716
AGB McNair,210,36.0,35.6
F2F Morgan,210,36.0,35.937
Newspoll,220,37.0,36.716
AGB McNair,224,39.0,38.6
F2F Morgan,224,37.0,36.937
Newspoll,234,37.0,36.716
AGB McNair,238,40.0,39.6
F2F Morgan,238,37.0,36.937
Newspoll,248,39.0,38.716
AGB McNair,252,41.0,40.6
F2F Morgan,252,38.5,38.437
Newspoll,262,39.0,38.716
F2F Morgan,266,38.5,38.437
AGB McNair,269,38.0,37.6
Newspoll,276,39.0,38.716
AGB McNair,294,38.0,37.6
F2F Morgan,301,40.0,39.937
Newspoll,304,38.0,37.716
AGB McNair,304,43.0,42.6
F2F Morgan,315,42.0,41.937
Newspoll,318,41.0,40.716
AGB McNair,322,41.0,40.6
F2F Morgan,329,41.0,40.937
Newspoll,332,42.0,41.716
AGB McNair,336,41.0,40.6
F2F Morgan,343,39.5,39.437
Newspoll,346,42.0,41.716
AGB McNair,350,41.0,40.6
F2F Morgan,357,39.0,38.937
Newspoll,360,45.0,44.716
AGB McNair,364,43.0,42.6
F2F Morgan,371,41.0,40.937
Newspoll,374,43.0,42.716
AGB McNair,378,44.0,43.6
F2F Morgan,385,40.5,40.437
AGB McNair,392,45.0,44.6
Newspoll,395,41.0,40.716
F2F Morgan,399,42.5,42.437
AGB McNair,406,43.0,42.6
