Firm,Day,ONP FP,ONP FP adj
Dynata,1,4.0,3.935
Wolf&Smith,703,5.0,5.017
Fox & Hedgehog,1172,13.0,13.456
Fox & Hedgehog,1238,20.0,20.456
YouGov2,1246,22.0,21.88
Newspoll3,1248,24.0,23.543
DemosAU,1242,19.0,18.984
SMS Morgan,1255,28.0,26.881
Fox & Hedgehog,1273,21.0,21.456
YouGov2,1275,22.0,21.88
DemosAU,1277,23.0,22.984
Newspoll3,1277,22.0,21.543
