Firm,Day,ALP FP,ALP FP adj
Newspoll2,1,39.0,39.292
Newspoll2,126,34.0,34.292
ResolvePM,233,37.0,37.087
Newspoll2,287,34.0,34.292
ResolvePM,373,35.0,35.087
Newspoll2,405,33.0,33.292
Freshwater,495,34.0,33.759
ResolvePM,495,32.0,32.087
Redbridge,557,26.0,26.731
YouGov2,606,33.0,33.164
ResolvePM,618,33.0,33.087
uComms,660,34.0,32.943
uComms,669,34.4,33.343
uComms,729,34.2,33.143
Newspoll,748,30.0,30.002
uComms,784,29.889,28.854
YouGov2,782,27.0,27.26
ResolvePM,774,26.0,26.27
Redbridge,770,28.0,28.556
uComms,813,35.714,34.694
YouGov2,872,26.0,26.415
Wolf&Smith,909,24.0,24.737
ResolvePM,880,23.0,23.665
Redbridge,866,29.0,29.115
Newspoll,937,30.0,29.689
Freshwater,950,30.0,29.86
YouGov2,965,31.0,31.415
ResolvePM,969,32.0,31.853
Newspoll,973,33.0,32.689
uComms,976,33.6,32.599
