Firm,Day,ALP FP,ALP FP adj
Newspoll,1,45.0,44.54
Newspoll,91,42.0,41.54
Newspoll,113,45.0,44.54
Newspoll,152,44.0,43.54
Newspoll,214,37.0,36.54
Newspoll,275,41.0,40.54
Newspoll,367,42.0,41.54
Newspoll,426,48.0,47.54
Newspoll,487,45.0,44.54
Newspoll,548,42.0,41.54
Newspoll,609,36.0,35.54
Newspoll,670,38.0,37.54
Newspoll,732,43.0,42.54
Newspoll,791,41.0,40.54
Newspoll,852,38.0,37.54
Newspoll,913,41.0,40.54
Newspoll,974,42.0,41.54
Newspoll,1035,43.0,42.54
Newspoll,1097,37.0,36.54
Newspoll,1135,38.0,37.54
Newspoll,1142,38.0,37.54
Newspoll,1147,39.0,38.54
