Firm,Day,GRN FP,GRN FP adj
Galaxy,43,12.0,9.594
Galaxy,239,13.0,10.594
Morgan Phone,273,9.5,9.055
Galaxy,352,16.0,13.594
Newspoll,423,14.0,13.625
Essential,470,9.0,9.519
Newspoll,515,13.0,12.625
Galaxy,525,16.0,13.594
Newspoll,607,10.0,9.625
Galaxy,610,12.0,9.594
Galaxy,645,10.0,7.594
Morgan Phone,661,7.5,7.055
Newspoll,697,7.0,6.625
Newspoll,788,8.0,7.667
Newspoll,880,10.0,9.857
Galaxy,883,10.0,8.866
Galaxy,951,10.0,8.91
Newspoll,972,9.0,8.873
Galaxy,972,11.0,9.91
Galaxy,1001,9.0,7.91
Morgan Phone,1007,7.5,6.735
Newspoll,1007,6.0,5.873
