Firm,Day,GRN FP,GRN FP adj
Essential,609,10.0,11.470661803170493
Newspoll,610,12.0,10.956538882473447
Ipsos,610,13.0,11.581012770307822
Morgan multi-mode,610,12.5,11.53064109019581
Morgan multi-mode,620,13.0,12.03064109019581
Essential,623,9.0,10.470661803170493
Newspoll,626,13.0,11.956538882473447
Ipsos,636,14.0,12.581012770307822
Morgan multi-mode,634,13.5,12.53064109019581
Essential,637,10.0,11.470661803170493
Newspoll,640,14.0,12.956538882473447
Morgan multi-mode,648,14.0,13.03064109019581
ReachTEL,649,13.1,13.169798712504676
Essential,651,10.0,11.470661803170493
Ipsos,657,16.0,14.581012770307822
Newspoll2,659,13.0,13.57122812470727
Morgan multi-mode,662,13.5,12.53064109019581
Essential,665,11.0,12.470661803170493
Newspoll2,672,12.0,12.57122812470727
Morgan multi-mode,676,15.0,14.03064109019581
Essential,679,12.0,13.470661803170493
ReachTEL,684,12.9,12.969798712504677
ReachTEL,691,12.8,12.869798712504677
Essential,693,10.0,11.470661803170493
Newspoll2,694,13.0,13.57122812470727
Morgan multi-mode,690,15.5,14.53064109019581
Ipsos,699,16.0,14.581012770307822
Newspoll2,707,13.0,13.57122812470727
Essential,707,11.0,12.470661803170493
Morgan multi-mode,704,14.0,13.03064109019581
ReachTEL,712,13.4,13.469798712504677
Newspoll2,721,12.0,12.57122812470727
Essential,721,11.0,12.470661803170493
Morgan multi-mode,722,16.5,15.53064109019581
Morgan multi-mode,729,16.0,15.03064109019581
ReachTEL,731,11.9,11.969798712504677
Galaxy,732,11.0,10.930136311411733
Newspoll2,735,11.0,11.57122812470727
Morgan multi-mode,736,13.0,12.03064109019581
Essential,735,11.0,12.470661803170493
Essential,742,10.0,11.470661803170493
Morgan multi-mode,747,14.0,13.03064109019581
Newspoll2,756,12.0,12.57122812470727
Essential,756,11.0,12.470661803170493
Ipsos,762,14.0,12.581012770307822
Morgan multi-mode,760,15.5,14.53064109019581
ReachTEL,768,11.3,11.369798712504677
Newspoll2,770,11.0,11.57122812470727
Essential,770,10.0,11.470661803170493
Morgan multi-mode,774,14.5,13.53064109019581
Newspoll2,784,10.0,10.55638278984713
Essential,784,10.0,11.448425343338824
Ipsos,790,13.0,11.515701753371333
Morgan multi-mode,788,14.5,13.426555914532482
Newspoll2,798,11.0,11.504424117836633
Essential,798,11.0,12.370597733927985
ReachTEL,803,11.2,11.32128943585386
Morgan multi-mode,802,14.0,12.744406857121657
Newspoll2,812,12.0,12.452465445826139
Essential,812,10.0,11.292770124517146
Morgan multi-mode,816,14.5,13.062257799710835
Morgan multi-mode,844,13.0,11.197959684889188
Essential,855,10.0,11.05372818132671
ReachTEL,859,10.8,11.046658153573615
Morgan multi-mode,858,15.0,13.015810627478364
Essential,859,11.0,12.03149172149504
Newspoll2,868,11.0,11.244630757784158
Morgan multi-mode,872,16.0,13.833661570067541
Essential,874,11.0,11.948104997126284
ReachTEL,880,10.1,10.393671422718523
Ipsos,881,15.0,12.921371499249293
Morgan multi-mode,886,15.0,12.651512512656717
Newspoll2,889,12.0,12.166692749768416
Essential,888,10.0,10.870277387715445
Morgan multi-mode,901,13.0,10.469363455245894
Essential,902,11.0,11.80356800822044
Newspoll2,903,12.0,12.125868078903027
Ipsos,909,14.0,11.797280567069965
Morgan multi-mode,914,14.0,11.469363455245894
Essential,916,9.0,9.80356800822044
Newspoll2,917,12.0,12.125868078903027
ReachTEL,919,10.5,10.838445964761291
Morgan multi-mode,928,13.0,10.469363455245894
Essential,930,11.0,11.80356800822044
Newspoll2,931,11.0,11.125868078903027
ReachTEL,943,9.8,10.138445964761292
