Firm,Day,OTH FP,OTH FP adj
Newspoll,697,8.0,7.377662364401225
F2F Morgan,698,7.0,7.472787025561466
Essential,698,8.0,7.270601436373005
F2F Morgan,705,7.0,7.472787025561466
Morgan Phone,709,8.0,8.087783081023776
Newspoll,711,9.0,8.377662364401225
F2F Morgan,712,9.5,9.972787025561466
F2F Morgan,719,7.5,7.972787025561466
Essential,712,9.0,8.270601436373006
Newspoll,725,10.0,9.377662364401225
Nielsen,725,8.0,8.366466494471542
Essential,727,11.0,10.270601436373006
Morgan Phone,730,5.5,5.587783081023775
Newspoll,732,8.0,7.377662364401225
Morgan Phone,734,7.0,7.087783081023775
F2F Morgan,736,7.5,7.972787025561466
Essential,740,8.0,7.270601436373005
F2F Morgan,755,7.5,7.983399196849193
F2F Morgan,771,7.0,7.511698320283132
Morgan Phone,772,8.5,8.646703981491186
Newspoll,774,10.0,9.367268111636303
Essential,780,8.0,7.310574550762757
F2F Morgan,785,7.5,8.036460053287827
Newspoll,788,7.0,6.361447330087947
Essential,796,8.0,7.3312058356090795
F2F Morgan,799,7.0,7.561221786292523
Morgan Phone,800,6.5,6.718433773364554
Newspoll,802,9.0,8.355626548539592
F2F Morgan,810,8.5,9.080677433653356
Newspoll,816,10.0,9.349805766991235
F2F Morgan,820,8.0,8.598364385799567
Essential,824,8.0,7.367310584090145
Newspoll,830,10.0,9.34398498544288
F2F Morgan,834,7.5,8.123126118804263
Newspoll,844,7.0,6.338164203894524
Essential,846,9.0,8.39567860075384
F2F Morgan,848,7.0,7.647887851808958
F2F Morgan,862,7.5,8.172649584813655
Nielsen,864,7.0,7.393031281137112
Newspoll,865,12.0,11.32943303157199
Essential,866,10.0,9.421467706811743
F2F Morgan,873,7.5,8.185030451316003
Newspoll,879,12.0,11.327769951129603
F2F Morgan,880,7.5,8.185030451316003
Essential,880,10.0,9.425336072720429
Morgan Phone,883,7.0,7.395196474766783
Nielsen,885,8.0,8.394186271861702
F2F Morgan,887,7.5,8.185030451316003
Morgan Phone,891,6.5,6.895196474766783
Newspoll,893,8.0,7.327769951129603
Galaxy,893,8.0,8.278044177815541
F2F Morgan,894,7.5,8.185030451316003
Essential,894,9.0,8.425336072720429
F2F Morgan,901,5.5,6.185030451316003
Morgan Phone,905,7.5,7.895196474766783
Newspoll,907,8.0,7.327769951129603
F2F Morgan,908,8.5,9.185030451316003
Nielsen,913,9.0,9.394186271861702
F2F Morgan,915,7.5,8.185030451316003
Essential,915,10.0,9.425336072720429
F2F Morgan,922,8.0,8.685030451316003
Newspoll,928,10.0,9.327769951129603
F2F Morgan,929,5.5,6.185030451316003
Nielsen,933,3.0,3.3941862718617024
Galaxy,933,6.0,6.278044177815541
F2F Morgan,929,5.5,6.185030451316003
Newspoll,935,8.0,7.327769951129603
Morgan Phone,936,7.0,7.395196474766783
Essential,937,8.0,7.425336072720429
F2F Morgan,939,6.0,6.685030451316003
Galaxy,950,5.0,5.278044177815541
Nielsen,950,6.0,6.394186271861702
F2F Morgan,950,6.5,7.185030451316003
Essential,950,7.0,6.425336072720429
Galaxy,955,6.0,6.278044177815541
Newspoll,956,8.0,7.327769951129603
Galaxy,957,6.0,6.278044177815541
F2F Morgan,957,5.5,6.185030451316003
Nielsen,959,5.0,5.394186271861702
Morgan Phone,960,6.0,6.395196474766783
Newspoll,963,6.0,5.327769951129603
Galaxy,963,6.0,6.278044177815541
F2F Morgan,964,8.0,8.685030451316003
Essential,964,8.0,7.425336072720429
Nielsen,966,7.0,7.394186271861702
Galaxy,966,7.0,7.278044177815541
Morgan Phone,967,5.0,5.395196474766783
Newspoll,970,7.0,6.327769951129603
Morgan Phone,973,6.0,6.395196474766783
Nielsen,974,7.0,7.394186271861702
Newspoll,977,7.0,6.327769951129603
Galaxy,978,7.0,7.278044177815541
F2F Morgan,978,4.5,5.185030451316003
Essential,978,7.0,6.425336072720429
Nielsen,981,7.0,7.394186271861702
Morgan Phone,984,3.0,3.395196474766783
Newspoll,984,7.0,6.327769951129603
F2F Morgan,985,3.5,4.185030451316003
Essential,986,7.0,6.425336072720429
Galaxy,987,7.0,7.278044177815541
Newspoll,988,6.6,5.927769951129602
Nielsen,987,6.5,6.894186271861702
Morgan Phone,989,7.0,7.395196474766783
