Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,23.0,22.345
F2F Morgan,60,19.0,18.345
F2F Morgan,115,14.0,13.345
F2F Morgan,185,12.0,11.345
Newspoll,197,10.0,12.372
F2F Morgan,242,14.5,13.845
Newspoll,286,11.0,13.372
F2F Morgan,301,16.0,15.345
F2F Morgan,364,14.0,13.345
Newspoll,378,10.0,12.372
F2F Morgan,425,15.5,14.845
Newspoll,470,9.0,11.372
F2F Morgan,486,14.5,13.845
F2F Morgan,548,13.5,12.845
Newspoll,562,12.0,14.372
F2F Morgan,608,14.0,13.345
Newspoll,652,11.0,13.372
F2F Morgan,669,16.0,15.345
F2F Morgan,730,15.5,15.28
Newspoll,744,10.0,11.537
F2F Morgan,791,13.5,13.923
Newspoll,836,15.0,15.583
F2F Morgan,852,13.5,14.089
F2F Morgan,906,11.0,11.589
Newspoll,913,11.0,11.583
Newspoll,928,23.0,23.583
