Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,38.5,33.85
F2F Morgan,62,45.0,40.35
Newspoll,76,42.0,42.389
Advertiser,107,43.158,44.869
F2F Morgan,154,49.0,44.35
Newspoll,168,42.0,42.389
F2F Morgan,215,47.0,42.35
Newspoll,260,46.0,46.389
Advertiser,265,43.011,44.722
F2F Morgan,276,46.5,41.85
F2F Morgan,338,49.0,44.35
Advertiser,349,41.489,43.2
Newspoll,352,41.0,41.389
F2F Morgan,397,49.5,44.85
Newspoll,441,45.0,45.389
F2F Morgan,458,52.0,47.35
Advertiser,496,43.478,45.189
F2F Morgan,519,48.0,43.35
Newspoll,533,42.0,42.389
F2F Morgan,580,47.0,42.35
Advertiser,594,38.043,39.754
Newspoll,625,43.0,43.389
F2F Morgan,641,45.0,40.35
F2F Morgan,703,53.0,48.35
Newspoll,717,47.0,47.389
Advertiser,748,46.237,47.947
F2F Morgan,763,49.5,44.85
Newspoll,807,49.0,49.389
F2F Morgan,824,51.0,46.35
F2F Morgan,885,53.0,48.35
Newspoll,899,43.0,43.389
F2F Morgan,946,53.5,48.85
Newspoll,991,42.0,42.389
F2F Morgan,1007,50.5,45.85
Advertiser,1016,35.417,37.128
F2F Morgan,1069,45.0,40.35
Advertiser,1083,39.0,40.711
Newspoll,1083,45.0,45.389
Advertiser,1112,40.0,41.711
F2F Morgan,1128,44.5,39.85
Newspoll,1172,46.0,46.389
F2F Morgan,1189,54.0,49.35
F2F Morgan,1250,53.0,48.442
Newspoll,1264,45.0,45.353
F2F Morgan,1311,50.0,45.917
Advertiser,1315,40.0,41.333
Advertiser,1341,38.0,39.207
Newspoll,1356,46.0,46.223
F2F Morgan,1372,49.0,45.269
Advertiser,1376,41.0,42.129
Advertiser,1413,48.235,49.364
F2F Morgan,1417,50.5,46.769
Newspoll,1434,44.0,44.22
F2F Morgan,1448,50.5,46.769
Advertiser,1449,48.3,49.429
F2F Morgan,1462,50.5,46.769
Advertiser,1469,45.5,46.629
Advertiser,1476,42.0,43.129
Newspoll,1477,46.0,46.22
