Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,33.5,35.543
F2F Morgan,32,32.0,34.043
Newspoll,49,37.0,36.932
F2F Morgan,63,31.0,33.043
F2F Morgan,91,35.0,37.043
Newspoll,108,36.0,35.932
F2F Morgan,122,33.0,35.043
F2F Morgan,152,37.0,39.043
Newspoll,169,39.0,38.932
F2F Morgan,183,38.0,40.043
F2F Morgan,213,38.5,40.543
Newspoll,230,39.0,38.932
F2F Morgan,244,37.0,39.043
F2F Morgan,275,35.0,37.043
Newspoll,291,38.0,37.932
F2F Morgan,305,35.5,37.543
F2F Morgan,336,36.0,38.043
Nielsen,347,41.0,40.873
Newspoll,352,38.0,37.932
F2F Morgan,366,40.0,42.043
F2F Morgan,397,36.5,38.543
Newspoll,414,38.0,37.932
F2F Morgan,428,33.5,35.543
F2F Morgan,457,38.0,40.043
Newspoll,474,37.0,36.932
F2F Morgan,488,34.5,36.543
F2F Morgan,518,37.5,39.543
Newspoll,535,38.0,37.932
F2F Morgan,549,37.0,39.043
Nielsen,550,40.0,39.873
F2F Morgan,579,36.0,38.043
Newspoll,596,38.0,37.932
F2F Morgan,610,37.0,39.043
F2F Morgan,641,35.0,37.043
Newspoll,657,41.0,40.932
F2F Morgan,671,44.5,46.543
F2F Morgan,702,43.0,45.043
Newspoll,718,46.0,45.932
F2F Morgan,732,38.5,40.543
F2F Morgan,763,43.0,45.043
Newspoll,780,46.0,45.932
F2F Morgan,794,38.0,40.043
F2F Morgan,822,39.0,41.043
Newspoll,839,40.0,39.932
F2F Morgan,853,38.5,40.543
F2F Morgan,883,38.5,40.543
Newspoll,900,38.0,37.932
F2F Morgan,914,38.5,40.543
F2F Morgan,944,39.5,41.543
Newspoll,961,41.0,40.932
F2F Morgan,975,38.5,40.543
F2F Morgan,1006,37.5,39.543
Newspoll,1022,41.0,40.932
F2F Morgan,1036,35.0,37.043
F2F Morgan,1067,35.0,37.043
Nielsen,1075,39.0,38.873
Newspoll,1083,40.0,39.932
F2F Morgan,1097,36.5,38.543
F2F Morgan,1128,36.0,38.043
Newspoll,1145,40.0,39.932
F2F Morgan,1159,34.5,36.543
F2F Morgan,1187,37.0,39.043
Newspoll,1204,38.0,37.966
F2F Morgan,1218,33.5,35.332
F2F Morgan,1236,37.0,38.621
F2F Morgan,1250,41.5,42.957
Nielsen,1256,39.0,38.98
Newspoll,1265,36.0,36.49
F2F Morgan,1279,38.0,39.106
F2F Morgan,1309,38.5,39.255
Newspoll,1326,40.0,40.947
F2F Morgan,1340,41.0,41.638
Nielsen,1344,41.0,41.102
Morgan Phone,1346,45.0,44.905
Morgan Phone,1377,44.0,43.905
Newspoll,1387,39.0,39.947
Galaxy,1407,44.0,43.921
Nielsen,1408,40.0,40.102
Morgan Phone,1411,38.0,37.905
Newspoll,1426,40.0,40.947
McNair,1433,46.0,45.013
Nielsen,1435,40.0,40.102
Morgan Phone,1436,38.0,37.905
Morgan Phone,1439,40.5,40.405
Galaxy,1439,39.0,38.921
Newspoll,1440,37.0,37.947
Nielsen,1440,41.0,41.102
