Firm,Day,OTH FP,OTH FP adj
Essential,1,11.0,10.996
Morgan multi-mode,12,16.0,13.875
Essential,15,13.0,12.996
Morgan multi-mode,26,12.0,9.875
ReachTEL,30,10.6,10.428
Essential,29,12.0,11.996
Morgan multi-mode,40,12.0,9.875
Newspoll,46,12.0,10.803
Essential,43,11.0,10.996
Morgan multi-mode,54,13.0,10.875
Newspoll,60,11.0,9.803
Essential,57,12.0,11.996
Morgan multi-mode,68,13.0,10.875
ReachTEL,72,12.3,12.128
Nielsen,73,11.0,11.63
Newspoll,74,12.0,10.803
Essential,71,12.0,11.996
Morgan multi-mode,82,11.5,9.375
Essential,85,12.0,11.996
Newspoll,92,11.0,9.803
ReachTEL,96,14.6,14.428
Morgan multi-mode,92,12.0,9.875
Morgan multi-mode,120,12.5,10.375
Essential,124,10.0,9.996
ReachTEL,135,10.5,10.328
Morgan multi-mode,134,12.0,9.875
Essential,134,13.0,12.996
Morgan multi-mode,148,12.0,9.875
Newspoll,151,12.0,10.803
Essential,148,10.0,9.996
Nielsen,157,11.0,11.63
Newspoll,165,12.0,10.803
Essential,162,11.0,10.996
Morgan multi-mode,162,13.0,10.875
ReachTEL,170,10.0,9.828
Morgan multi-mode,176,11.5,9.375
Newspoll,179,13.0,11.803
Essential,176,12.0,11.996
Nielsen,185,14.0,14.63
Newspoll,193,11.0,9.803
Essential,190,11.0,10.996
Morgan multi-mode,190,17.0,14.875
Galaxy,200,10.0,9.603
Newspoll,207,12.0,10.803
Morgan multi-mode,204,15.0,12.875
Essential,204,11.0,10.996
Nielsen,213,9.0,9.63
Morgan multi-mode,218,14.5,12.375
Essential,218,11.0,10.996
Morgan multi-mode,232,13.5,11.375
Essential,232,13.0,12.996
ReachTEL,235,10.3,10.128
Newspoll,235,14.0,12.803
Galaxy,234,13.0,12.603
ReachTEL,240,11.8,11.628
Galaxy,247,14.0,13.603
Nielsen,248,11.0,11.63
Newspoll,249,15.0,13.803
Morgan multi-mode,250,21.0,18.875
Essential,246,12.0,11.996
Morgan multi-mode,260,16.0,13.875
Newspoll,262,15.0,13.803
Essential,260,13.0,12.996
Morgan Phone,267,13.0,12.635
Morgan multi-mode,271,13.0,10.875
Newspoll,277,17.0,15.803
Morgan multi-mode,278,5.5,3.375
Essential,273,12.0,11.996
Nielsen,283,11.0,11.63
Morgan multi-mode,288,16.5,14.375
ReachTEL,289,11.5,11.328
Newspoll,291,15.0,13.803
Essential,287,13.0,12.996
Morgan multi-mode,302,16.0,13.875
Newspoll,305,16.0,14.803
Essential,302,13.0,12.996
Nielsen,311,9.0,9.63
ReachTEL,314,17.0,16.828
Morgan multi-mode,316,12.5,10.375
Galaxy,318,13.0,12.603
Newspoll,319,16.0,14.803
Essential,316,12.0,11.996
Newspoll,333,13.0,11.803
Morgan multi-mode,330,19.0,16.875
Essential,330,12.0,11.996
Morgan multi-mode,344,18.0,15.875
ReachTEL,345,11.6,11.428
Newspoll,347,15.0,13.803
Essential,344,13.0,12.996
Newspoll,361,12.0,10.803
Morgan multi-mode,358,19.0,16.875
Essential,358,13.0,12.996
ReachTEL,373,15.8,15.628
Morgan multi-mode,372,16.0,13.875
Essential,372,12.0,11.996
Newspoll,375,14.0,12.803
Galaxy,390,14.0,13.603
Morgan multi-mode,390,16.5,14.375
Essential,386,11.0,10.996
Morgan multi-mode,400,16.5,14.375
Essential,400,11.0,10.996
Newspoll,403,14.0,12.803
ReachTEL,408,16.0,15.828
Ipsos,416,13.0,12.77
Morgan multi-mode,414,14.5,12.375
Essential,414,12.0,11.996
Newspoll,420,13.0,11.803
Morgan multi-mode,428,14.0,11.875
Essential,428,12.0,11.996
Newspoll,434,14.0,12.803
