Firm,Day,LNP FP,LNP FP adj
Newspoll2,1,38.0,37.836
Newspoll2,126,38.0,37.836
ResolvePM,233,35.0,35.953
Newspoll2,287,38.0,37.836
ResolvePM,373,33.0,33.953
Newspoll2,405,39.0,38.836
Freshwater,495,40.0,39.711
ResolvePM,495,38.0,38.953
Redbridge,557,41.0,40.563
YouGov2,606,41.0,40.414
ResolvePM,618,37.0,37.953
uComms,660,38.2,39.269
uComms,669,38.0,39.069
uComms,729,37.3,38.369
Newspoll,748,42.0,41.767
uComms,784,39.0,39.968
YouGov2,782,44.0,43.515
ResolvePM,774,43.0,43.578
Redbridge,770,47.0,46.622
uComms,813,40.119,41.024
YouGov2,872,43.0,42.677
Wolf&Smith,909,42.0,41.968
ResolvePM,880,44.0,43.77
Redbridge,866,42.0,41.771
Newspoll,937,42.0,41.743
Freshwater,950,43.0,42.621
YouGov2,965,41.0,40.677
ResolvePM,969,40.0,40.179
Newspoll,973,42.0,41.743
uComms,976,39.3,40.116
