Firm,Day,ALP TPP,ALP TPP adj
Westpoll,1,47.44239999999999,48.115956497116976
Westpoll,120,47.9091,48.582656497116986
Newspoll,100,51.3318,50.81946544051263
Newspoll,465,53.6712,53.15886544051263
Newspoll,555,54.14240000000001,53.63006544051264
Newspoll,647,50.9515,50.43916544051263
Newspoll,738,49.1212,48.60886544051263
Newspoll,830,49.2909,48.77856544051263
Newspoll,919,62.2909,61.77856544051263
Newspoll,1012,49.590900000000005,49.078565440512634
Newspoll,1104,46.5909,46.07856544051263
Westpoll,1169,42.6515,43.32505649711698
Newspoll,1195,53.4606,52.94826544051263
Morgan Phone,1272,40.97955,41.68572057987666
Westpoll,1342,47.10000000000001,47.77355649711699
Morgan Phone,1359,44.9538,45.659970579876656
Newspoll,1378,48.9106,48.39826544051263
Newspoll,1470,49.2909,48.77856544051263
Westpoll,1532,44.9015,45.57505649711698
Newspoll,1552,49.5606,49.04826544051263
Galaxy,1566,51.2409,50.43509363684717
Newspoll,1580,46.5606,46.04826544051263
