Firm,Day,LNP FP,LNP FP adj
Morgan Phone,1,56.5,54.664
Newspoll,173,51.0,52.578
Newspoll,234,49.0,50.578
Newspoll,296,49.0,50.578
Morgan Phone,349,49.0,47.164
Newspoll,356,47.0,48.578
Morgan Phone,425,50.0,48.164
Morgan Phone,461,56.5,54.664
Newspoll,478,47.0,48.578
Morgan Phone,488,53.0,51.164
Galaxy,522,47.0,47.446
Newspoll,539,45.0,46.578
Essential,600,51.0,50.827
Newspoll,600,45.0,46.578
Newspoll,662,46.0,47.578
Essential,704,49.0,48.827
Nielsen,712,52.0,52.594
Newspoll,721,48.0,49.578
Newspoll,782,47.0,48.578
Newspoll,843,49.0,50.578
Newspoll,904,45.0,46.578
Essential,949,49.0,48.827
Essential,979,44.0,43.827
Essential,1010,48.0,47.827
Newspoll,1027,46.0,47.578
Essential,1041,47.0,46.827
Nielsen,1053,40.0,40.594
Essential,1069,46.0,45.827
Essential,1100,46.0,45.827
Essential,1130,43.0,42.827
Galaxy,1142,43.0,43.446
Newspoll,1147,43.0,44.578
Essential,1162,44.0,43.827
Essential,1192,45.0,44.827
Newspoll,1208,40.0,41.571
Essential,1223,45.0,44.89
Galaxy,1229,45.0,45.437
Essential,1254,44.0,43.995
SMS Morgan,1266,46.0,45.937
Newspoll,1269,42.0,43.342
Essential,1284,46.0,46.101
SMS Morgan,1294,46.0,45.89
Galaxy,1319,46.0,46.404
Ipsos,1319,44.0,43.987
SMS Morgan,1322,44.0,43.842
Newspoll,1330,44.0,45.136
Essential,1339,45.0,45.248
Galaxy,1368,44.0,44.402
SMS Morgan,1377,44.5,44.335
Galaxy,1382,45.0,45.402
Ipsos,1397,46.0,45.976
SMS Morgan,1406,45.0,44.835
Galaxy,1410,43.0,43.402
Newspoll,1416,43.0,44.136
ReachTEL,1417,44.6,44.925
ReachTEL,1425,44.0,44.325
Galaxy,1431,44.0,44.402
SMS Morgan,1433,46.5,46.335
Essential,1435,44.0,44.248
Lonergan,1438,46.0,45.924
Galaxy,1429,45.0,45.402
Ipsos,1439,47.0,46.976
Lonergan,1440,47.0,46.924
SMS Morgan,1441,45.5,45.335
Galaxy,1444,45.0,45.402
Newspoll,1444,44.0,45.136
ReachTEL,1445,45.5,45.825
SMS Morgan,1445,49.0,48.835
