Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,49.5,47.082
F2F Morgan,33,44.5,42.082
Newspoll,47,48.0,48.348
Nielsen,50,48.0,45.864
F2F Morgan,58,51.5,49.082
F2F Morgan,96,54.5,52.082
Newspoll,109,49.0,49.348
F2F Morgan,124,48.5,46.082
Nielsen,141,55.0,52.864
F2F Morgan,152,51.0,48.582
Newspoll,169,50.0,50.348
F2F Morgan,184,51.5,49.082
F2F Morgan,215,55.0,52.582
Newspoll,230,56.0,56.348
Nielsen,232,54.0,51.864
F2F Morgan,243,53.0,50.582
F2F Morgan,275,56.0,53.582
Nielsen,288,58.0,55.864
Newspoll,291,55.0,55.348
F2F Morgan,305,53.5,51.082
F2F Morgan,336,57.5,55.082
Newspoll,352,52.0,52.348
F2F Morgan,366,58.0,55.582
F2F Morgan,397,54.0,51.582
Newspoll,413,49.0,49.348
F2F Morgan,427,53.0,50.582
F2F Morgan,458,52.5,50.082
Newspoll,475,52.0,52.348
F2F Morgan,489,54.5,52.082
Nielsen,498,54.0,51.864
F2F Morgan,517,56.0,53.582
Newspoll,534,54.0,54.348
F2F Morgan,548,53.0,50.582
Nielsen,554,55.0,52.864
F2F Morgan,578,57.5,55.082
Quadrant,587,47.0,47.466
Newspoll,595,50.0,50.348
F2F Morgan,609,53.5,51.082
F2F Morgan,639,54.0,51.582
Newspoll,656,46.0,46.348
F2F Morgan,670,53.0,50.582
F2F Morgan,701,55.5,53.082
Newspoll,717,47.0,47.348
F2F Morgan,731,51.0,48.582
F2F Morgan,762,54.5,52.082
Newspoll,778,45.0,45.348
F2F Morgan,792,47.0,44.582
F2F Morgan,823,47.0,44.582
Newspoll,840,45.0,45.348
F2F Morgan,854,47.5,45.082
F2F Morgan,882,48.0,45.582
Newspoll,899,46.0,46.348
F2F Morgan,913,49.0,46.566
F2F Morgan,943,50.0,47.526
Newspoll,960,45.0,45.421
F2F Morgan,974,45.5,42.986
F2F Morgan,1004,46.5,43.946
Newspoll,1021,45.0,45.5
F2F Morgan,1035,49.5,46.921
Nielsen,1057,47.0,46.114
F2F Morgan,1066,49.0,46.421
Newspoll,1082,41.0,41.5
F2F Morgan,1096,47.0,44.421
F2F Morgan,1127,54.5,51.921
Saulwick,1128,48.913,49.084
Newspoll,1125,49.0,49.5
Morgan Phone,1134,47.0,47.289
Newspoll,1140,48.0,48.5
Morgan Phone,1140,48.5,48.789
Saulwick,1141,44.318,44.489
Morgan Phone,1142,46.0,46.289
