Firm,Day,ALP FP,ALP FP adj
Morgan Phone,1,39.0,38.53
Morgan Phone,31,36.5,36.03
Morgan Phone,62,42.5,42.03
AGB McNair,69,36.0,36.425
Newspoll,109,38.0,38.064
Newspoll,170,34.0,34.064
Newspoll,231,35.0,35.064
Newspoll,293,37.0,37.064
Newspoll,352,35.0,35.064
Newspoll,413,40.0,40.064
Newspoll,474,40.0,40.064
Quadrant,514,43.0,42.56
Newspoll,535,35.0,35.064
Newspoll,596,43.0,43.064
Taverner,613,52.0,49.672
Newspoll,658,44.0,44.064
Newspoll,717,46.0,46.064
Newspoll,778,44.0,44.064
Nielsen,797,41.0,42.775
F2F Morgan,822,44.0,43.919
Newspoll,839,44.0,44.064
Nielsen,839,39.0,40.775
F2F Morgan,854,43.5,43.419
F2F Morgan,885,43.0,42.919
Newspoll,900,44.0,44.064
F2F Morgan,913,40.5,40.419
F2F Morgan,945,44.0,43.919
Newspoll,961,42.0,42.064
F2F Morgan,973,38.5,38.419
F2F Morgan,1011,41.0,40.919
Newspoll,1023,40.0,40.053
F2F Morgan,1039,40.0,39.858
Nielsen,1050,38.0,39.882
F2F Morgan,1060,39.0,38.814
F2F Morgan,1078,39.0,38.775
Newspoll,1082,41.0,41.001
F2F Morgan,1099,41.0,40.727
Nielsen,1101,38.0,40.028
F2F Morgan,1126,40.5,40.171
Newspoll,1143,39.0,38.956
F2F Morgan,1158,43.0,42.658
Nielsen,1167,39.0,41.113
F2F Morgan,1186,41.5,41.158
Newspoll,1204,40.0,39.956
F2F Morgan,1214,42.0,41.658
Nielsen,1217,39.0,41.113
Quadrant,1228,42.0,41.771
Nielsen,1230,38.0,40.113
Morgan Phone,1239,43.0,42.643
Nielsen,1249,40.0,42.113
Newspoll,1250,46.0,45.956
Morgan Phone,1250,45.0,44.643
Morgan Phone,1252,45.0,44.643
