Firm,Day,LNP FP,LNP FP adj
Newspoll,1,46.0,46.451
Newspoll,63,40.0,40.451
Newspoll,122,39.0,39.451
Newspoll,183,43.0,43.451
Newspoll,244,46.0,46.451
Newspoll,305,42.0,42.451
Newspoll,366,40.0,40.451
Newspoll,428,41.0,41.451
Newspoll,487,38.0,38.451
Newspoll,578,40.0,40.451
Newspoll,670,40.0,40.451
Newspoll,701,41.0,41.451
Newspoll,793,47.0,47.451
F2F Morgan,836,35.0,36.075
Newspoll,853,43.0,43.312
F2F Morgan,867,37.0,38.122
Newspoll,914,45.0,45.172
Newspoll,975,43.0,43.172
Newspoll,1015,44.0,44.172
F2F Morgan,1022,44.0,45.189
Saulwick,1025,42.0,42.867
Newspoll,1029,45.0,45.172
Newspoll,1034,43.0,43.172
