Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,9.0,9.092
F2F Morgan,22,7.0,7.092
F2F Morgan,36,9.0,9.092
F2F Morgan,53,9.0,9.092
F2F Morgan,67,11.0,11.092
F2F Morgan,90,12.0,12.092
F2F Morgan,111,9.0,9.092
F2F Morgan,121,9.0,9.092
F2F Morgan,151,10.0,10.092
F2F Morgan,182,8.0,8.092
F2F Morgan,203,9.0,9.092
F2F Morgan,213,9.0,9.092
F2F Morgan,223,8.0,8.092
F2F Morgan,236,9.0,9.092
F2F Morgan,250,9.0,9.092
F2F Morgan,264,7.0,7.092
F2F Morgan,274,10.0,10.092
F2F Morgan,284,8.0,8.092
F2F Morgan,304,7.0,7.092
F2F Morgan,366,11.0,11.092
F2F Morgan,387,9.0,9.092
F2F Morgan,401,8.0,8.092
F2F Morgan,415,9.0,9.092
F2F Morgan,425,10.0,10.092
F2F Morgan,435,11.0,11.092
F2F Morgan,445,11.0,11.092
F2F Morgan,455,9.0,9.092
