Firm,Day,GRN FP,GRN FP adj
SMS Morgan,146,12.0,11.824
Redbridge,145,8.0,7.906
SMS Morgan,160,10.0,9.824
SMS Morgan,173,9.0,8.824
YouGov,198,11.0,10.642
SMS Morgan,201,11.0,10.824
ResolvePM,407,9.0,9.323
Redbridge,418,12.0,11.906
ResolvePM,468,10.0,10.323
ResolvePM,529,10.0,10.323
SMS Morgan,567,11.0,10.824
Newspoll2,573,11.0,10.642
SMS Morgan,580,10.5,10.324
ResolvePM,601,11.0,11.323
ResolvePM,710,10.0,10.32
SMS Morgan,799,12.0,11.735
SMS Morgan,841,14.0,13.713
Newspoll2,853,13.0,12.705
Essential,863,11.6,12.005
Morgan multi-mode,844,14.0,13.067
ResolvePM,864,12.0,12.25
Morgan multi-mode,875,14.5,13.567
Morgan multi-mode,905,14.0,13.067
ResolvePM,913,12.0,12.25
Newspoll2,923,13.0,12.705
Freshwater,926,14.0,13.586
SMS Morgan,931,11.5,11.213
Redbridge,924,13.2,12.978
ResolvePM2,939,10.1,10.397
SMS Morgan,944,12.5,12.213
Newspoll2,944,12.0,11.705
