Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,9.0,9.793
F2F Morgan,15,9.0,9.793
F2F Morgan,29,9.0,9.793
F2F Morgan,40,8.0,8.793
F2F Morgan,50,8.0,8.793
F2F Morgan,64,8.0,8.793
F2F Morgan,78,7.0,7.793
F2F Morgan,92,7.0,7.793
F2F Morgan,106,7.0,7.793
F2F Morgan,120,8.0,8.793
F2F Morgan,134,9.0,9.793
F2F Morgan,148,7.0,7.793
F2F Morgan,162,9.0,9.793
F2F Morgan,176,9.0,9.793
F2F Morgan,204,7.0,7.793
F2F Morgan,214,6.0,6.793
F2F Morgan,225,9.0,9.793
F2F Morgan,239,7.0,7.793
F2F Morgan,253,8.0,8.793
F2F Morgan,281,6.0,6.793
F2F Morgan,295,5.0,5.793
F2F Morgan,309,5.0,5.793
F2F Morgan,323,6.0,6.793
F2F Morgan,365,5.0,5.793
F2F Morgan,379,5.0,5.793
F2F Morgan,393,5.0,5.793
F2F Morgan,407,6.0,6.793
F2F Morgan,421,5.0,5.793
F2F Morgan,435,6.0,6.793
F2F Morgan,449,6.0,6.793
F2F Morgan,463,6.0,6.793
F2F Morgan,477,7.0,7.793
F2F Morgan,491,6.0,6.793
F2F Morgan,505,6.0,6.793
F2F Morgan,519,6.0,6.793
F2F Morgan,547,5.0,5.793
F2F Morgan,561,6.0,6.793
F2F Morgan,572,6.0,6.793
F2F Morgan,586,6.0,6.793
F2F Morgan,596,5.0,5.793
F2F Morgan,610,4.0,4.793
F2F Morgan,624,6.0,6.793
F2F Morgan,638,6.0,6.793
F2F Morgan,651,5.0,5.793
F2F Morgan,666,6.0,6.793
F2F Morgan,680,5.0,5.793
F2F Morgan,694,5.0,5.793
F2F Morgan,729,4.0,4.793
F2F Morgan,743,4.0,4.793
F2F Morgan,757,4.0,4.793
F2F Morgan,771,6.0,6.793
F2F Morgan,785,6.0,6.793
F2F Morgan,799,6.0,6.793
F2F Morgan,813,6.0,6.793
F2F Morgan,827,7.0,7.793
F2F Morgan,841,6.0,6.793
F2F Morgan,869,6.0,6.793
F2F Morgan,883,7.0,7.793
F2F Morgan,897,5.0,5.793
F2F Morgan,911,5.0,5.793
F2F Morgan,925,5.0,5.793
F2F Morgan,939,6.0,6.793
F2F Morgan,978,6.0,6.793
F2F Morgan,985,5.0,5.793
F2F Morgan,992,7.0,7.793
F2F Morgan,999,8.5,9.293
