Firm,Day,ALP FP,ALP FP adj
Newspoll,1,34.0,32.848
F2F Morgan,5,36.5,35.031
Newspoll,15,35.0,33.848
F2F Morgan,18,37.0,35.531
Newspoll,29,33.0,31.848
F2F Morgan,33,38.0,36.531
Newspoll,43,35.0,33.848
F2F Morgan,47,33.5,32.031
Nielsen,50,31.0,31.285
Newspoll,57,36.0,34.848
F2F Morgan,61,35.5,34.031
Newspoll,71,36.0,34.848
Nielsen,78,35.0,35.285
Morgan Phone,78,34.5,35.384
F2F Morgan,79,42.5,41.031
Newspoll,92,40.0,38.848
Nielsen,92,36.0,36.285
Morgan Phone,99,38.0,38.884
F2F Morgan,100,36.0,34.531
Newspoll,106,40.0,38.848
Nielsen,106,36.0,36.285
Morgan Phone,108,34.0,34.884
F2F Morgan,110,37.0,35.531
Newspoll,120,37.0,35.848
Nielsen,120,37.0,37.285
Morgan Phone,121,34.0,34.884
F2F Morgan,124,36.0,34.531
Newspoll,134,38.0,36.848
Morgan Phone,135,33.5,34.384
F2F Morgan,138,39.0,37.531
Newspoll,148,38.0,36.848
Nielsen,148,39.0,39.285
Morgan Phone,149,34.0,34.884
F2F Morgan,152,38.0,36.531
Newspoll,162,38.0,36.848
Nielsen,162,36.0,36.285
Morgan Phone,164,33.5,34.384
F2F Morgan,166,38.5,37.031
Newspoll,176,39.0,37.848
Morgan Phone,177,37.5,38.384
F2F Morgan,180,38.0,36.531
Newspoll,190,39.0,37.848
Morgan Phone,191,35.0,35.884
F2F Morgan,191,37.5,36.031
Nielsen,204,35.0,35.285
Morgan Phone,205,34.0,34.884
F2F Morgan,208,39.5,38.031
Newspoll,211,37.0,35.848
Morgan Phone,223,33.0,33.884
Newspoll,225,34.0,32.848
F2F Morgan,226,40.0,38.531
Nielsen,232,34.0,34.285
Morgan Phone,233,34.0,34.884
F2F Morgan,236,38.0,36.531
Newspoll,239,34.0,32.848
Morgan Phone,247,35.0,35.884
F2F Morgan,250,38.5,37.031
Newspoll,253,36.0,34.848
Nielsen,260,37.0,37.285
Morgan Phone,261,35.0,35.884
F2F Morgan,264,38.0,36.531
Newspoll,267,39.0,37.848
Newspoll,274,36.0,34.848
Morgan Phone,275,36.5,37.384
F2F Morgan,278,38.0,36.531
Morgan Phone,303,34.5,35.384
F2F Morgan,306,36.0,34.531
Newspoll,309,38.0,36.848
Nielsen,309,35.0,35.285
Morgan Phone,317,32.5,33.384
F2F Morgan,320,37.5,36.031
Newspoll,323,40.0,38.848
Morgan Phone,331,36.0,36.884
F2F Morgan,334,37.0,35.531
Newspoll,337,38.0,36.848
Nielsen,337,36.0,36.285
Morgan Phone,345,36.0,36.884
F2F Morgan,348,39.0,37.531
Newspoll,351,36.0,34.848
Morgan Phone,359,34.5,35.384
F2F Morgan,362,38.5,37.031
Newspoll,365,37.0,35.848
Morgan Phone,370,35.5,36.384
F2F Morgan,373,39.0,37.531
Morgan Phone,376,35.0,35.884
F2F Morgan,380,38.0,36.531
Newspoll,386,37.0,35.848
Morgan Phone,387,35.5,36.384
F2F Morgan,390,39.0,37.531
Nielsen,393,35.0,35.285
Newspoll,400,37.0,35.848
Morgan Phone,401,34.5,35.384
F2F Morgan,404,36.0,34.531
Nielsen,407,36.0,36.285
Newspoll,414,39.0,37.848
Nielsen,414,34.0,34.285
Morgan Phone,415,30.0,30.884
F2F Morgan,415,34.5,33.031
Newspoll,421,39.0,37.848
Morgan Phone,424,35.5,36.384
