Firm,Day,DEM FP,DEM FP adj
F2F Morgan,5,7.5,6.623
F2F Morgan,18,7.5,6.623
F2F Morgan,33,7.5,6.623
F2F Morgan,47,8.5,7.623
Nielsen,50,8.0,7.487
F2F Morgan,61,7.5,6.623
Nielsen,78,8.0,7.487
Morgan Phone,78,9.5,8.629
F2F Morgan,79,6.5,5.623
Nielsen,92,6.0,5.487
Morgan Phone,99,6.5,5.629
F2F Morgan,100,7.0,6.123
Nielsen,106,7.0,6.487
Morgan Phone,108,7.5,6.629
F2F Morgan,110,7.5,6.623
Nielsen,120,5.0,4.487
Morgan Phone,121,7.5,6.629
F2F Morgan,124,8.5,7.623
Morgan Phone,135,7.5,6.629
F2F Morgan,138,7.5,6.623
Nielsen,148,7.0,6.487
Morgan Phone,149,8.0,7.129
F2F Morgan,152,9.0,8.123
Nielsen,162,9.0,8.487
Morgan Phone,164,9.0,8.129
F2F Morgan,166,8.0,7.123
Morgan Phone,177,9.5,8.629
F2F Morgan,180,8.0,7.123
Morgan Phone,191,7.5,6.629
F2F Morgan,191,8.0,7.123
Nielsen,204,8.0,7.487
Morgan Phone,205,9.0,8.129
F2F Morgan,208,8.0,7.123
Morgan Phone,223,7.0,6.129
F2F Morgan,226,7.5,6.623
Nielsen,232,6.0,5.487
Morgan Phone,233,8.0,7.129
F2F Morgan,236,7.5,6.623
Morgan Phone,247,8.5,7.629
F2F Morgan,250,7.5,6.623
Nielsen,260,6.0,5.487
Morgan Phone,261,8.0,7.129
F2F Morgan,264,7.5,6.623
Morgan Phone,275,7.5,6.629
F2F Morgan,278,7.0,6.123
Morgan Phone,303,6.5,5.629
F2F Morgan,306,8.5,7.623
Nielsen,309,10.0,9.487
Morgan Phone,317,10.5,9.629
F2F Morgan,320,8.0,7.123
Morgan Phone,331,7.0,6.129
F2F Morgan,334,8.0,7.123
Newspoll,337,5.0,6.51
Nielsen,337,8.0,7.487
Morgan Phone,345,7.5,6.629
F2F Morgan,348,7.5,6.623
Newspoll,351,6.0,7.51
Morgan Phone,359,7.5,6.629
F2F Morgan,362,8.0,7.123
Newspoll,365,4.0,5.51
Morgan Phone,370,6.5,5.629
F2F Morgan,373,7.5,6.623
Morgan Phone,376,10.0,9.129
F2F Morgan,380,7.0,6.123
Newspoll,386,5.0,6.51
Morgan Phone,387,7.0,6.129
F2F Morgan,390,8.5,7.623
Nielsen,393,8.0,7.487
Newspoll,400,4.0,5.51
Morgan Phone,401,7.5,6.629
F2F Morgan,404,7.0,6.123
Nielsen,407,8.0,7.487
Newspoll,414,5.0,6.51
Nielsen,414,8.0,7.487
Morgan Phone,415,6.0,5.129
F2F Morgan,415,7.5,6.623
Newspoll,421,4.0,5.51
Morgan Phone,424,6.0,5.129
F2F Morgan,425,8.0,7.123
Newspoll,428,4.0,5.51
Morgan Phone,433,6.0,5.129
Nielsen,435,5.0,4.487
F2F Morgan,436,6.0,5.123
Newspoll,442,5.0,6.51
Morgan Phone,443,8.5,7.629
F2F Morgan,446,7.0,6.123
Newspoll,456,3.0,4.51
Morgan Phone,457,6.5,5.629
F2F Morgan,460,7.5,6.623
Newspoll,470,6.0,7.51
Morgan Phone,471,7.5,6.629
F2F Morgan,474,7.0,6.123
Newspoll,484,4.0,5.51
Morgan Phone,485,6.5,5.629
F2F Morgan,488,6.5,5.623
Newspoll,498,5.0,6.51
Morgan Phone,499,8.0,7.129
F2F Morgan,502,7.5,6.623
Morgan Phone,510,9.0,8.129
Newspoll,512,4.0,5.51
F2F Morgan,513,8.0,7.123
Morgan Phone,518,7.5,6.629
Nielsen,519,7.0,6.487
F2F Morgan,520,7.5,6.623
Newspoll,526,5.0,6.51
Morgan Phone,527,7.0,6.129
F2F Morgan,530,7.5,6.623
Newspoll,540,5.0,6.51
Morgan Phone,541,7.5,6.629
F2F Morgan,544,7.5,6.623
Morgan Phone,552,6.5,5.629
Newspoll,554,6.0,7.51
F2F Morgan,555,6.5,5.623
Morgan Phone,559,6.0,5.129
Newspoll,561,5.0,6.51
F2F Morgan,562,7.0,6.123
Morgan Phone,569,8.5,7.629
F2F Morgan,572,8.5,7.623
Newspoll,575,5.0,6.51
Nielsen,575,7.0,6.487
Morgan Phone,580,6.5,5.629
Quadrant,581,4.0,3.848
Newspoll,582,5.0,6.51
Nielsen,582,6.0,5.487
F2F Morgan,583,5.5,4.623
Newspoll,589,4.0,5.51
Morgan Phone,590,6.0,5.129
F2F Morgan,593,5.5,4.623
Newspoll,603,4.0,5.51
Morgan Phone,604,6.0,5.129
F2F Morgan,607,6.0,5.123
Newspoll,617,3.0,4.51
Nielsen,617,5.0,4.487
Morgan Phone,618,6.0,5.129
F2F Morgan,621,5.5,4.623
Newspoll,631,5.0,6.51
Morgan Phone,632,5.5,4.629
F2F Morgan,635,6.0,5.123
Newspoll,638,5.0,6.51
Morgan Phone,667,5.0,4.129
F2F Morgan,670,5.5,4.623
Newspoll,673,4.0,5.51
Morgan Phone,681,5.0,4.129
F2F Morgan,684,5.5,4.623
Newspoll,322,4.0,5.51
Nielsen,687,5.0,4.487
Morgan Phone,695,6.0,5.136
F2F Morgan,698,6.0,5.128
Quadrant,700,5.0,4.825
Newspoll,701,3.0,4.45
Morgan Phone,709,4.5,3.661
F2F Morgan,712,6.0,5.141
Newspoll,715,3.0,4.366
Nielsen,716,6.0,5.582
Morgan Phone,723,5.0,4.185
F2F Morgan,727,6.0,5.155
Newspoll,729,3.0,4.281
Morgan Phone,737,4.5,3.709
F2F Morgan,740,6.0,5.166
Newspoll,743,2.0,3.197
Nielsen,743,6.0,5.694
Morgan Phone,751,5.5,4.733
F2F Morgan,754,6.5,5.679
Morgan Phone,762,7.5,6.751
Newspoll,764,4.0,5.076
Nielsen,764,4.0,3.773
