Firm,Day,ALP FP,ALP FP adj
TNS,1,43.902,43.608
Galaxy,48,42.0,42.16
F2F Morgan,63,52.5,50.379
Newspoll,228,51.0,50.207
Galaxy,251,46.0,46.16
Newspoll,320,50.0,49.207
Newspoll,332,52.0,51.207
Galaxy,356,48.0,48.16
Newspoll,412,50.0,49.207
Galaxy,468,46.0,46.16
Newspoll,504,50.0,49.207
Galaxy,516,52.0,52.16
Newspoll,594,43.0,42.207
Galaxy,629,43.0,43.16
Galaxy,672,44.0,44.111
Newspoll,686,43.0,42.209
Galaxy,730,43.0,42.824
Newspoll,778,45.0,44.218
Newspoll,856,41.0,40.218
Galaxy,880,42.0,41.567
Galaxy,882,41.0,40.567
Newspoll,887,41.0,40.218
Galaxy,895,40.0,39.567
Newspoll,902,41.7,40.918
