Firm,Day,NAT FP,NAT FP adj
Newspoll,1,4.0,3.452
Newspoll,93,4.0,3.452
Newspoll,185,4.0,3.452
Newspoll,277,4.0,3.452
Newspoll,366,4.0,3.452
F2F Morgan,446,4.0,3.973
Newspoll,458,4.0,3.452
F2F Morgan,505,4.0,3.973
Newspoll,550,4.0,3.452
F2F Morgan,560,4.0,3.973
F2F Morgan,630,4.0,3.973
Newspoll,642,4.0,3.452
F2F Morgan,687,4.0,3.973
Newspoll,731,4.0,3.452
F2F Morgan,746,4.0,3.973
F2F Morgan,809,4.0,3.973
Newspoll,823,4.0,3.452
F2F Morgan,870,4.0,3.973
Newspoll,915,4.0,3.452
F2F Morgan,931,3.0,2.973
F2F Morgan,993,2.0,1.973
Westpoll,997,1.0,1.825
Newspoll,1007,6.0,5.452
Westpoll,1026,2.0,2.825
F2F Morgan,1053,3.5,3.473
Westpoll,1057,2.0,2.825
Westpoll,1091,2.0,2.825
Newspoll,1097,6.0,5.452
F2F Morgan,1114,2.5,2.473
Westpoll,1120,2.0,2.825
Westpoll,1148,2.0,2.807
F2F Morgan,1175,4.0,4.082
Newspoll,1189,6.0,5.366
F2F Morgan,1236,3.5,3.713
Westpoll,1240,3.0,3.733
Westpoll,1274,1.0,1.728
Newspoll,1281,8.0,7.291
F2F Morgan,1297,1.5,1.734
Westpoll,1343,1.19,1.919
Westpoll,1359,2.299,3.027
Newspoll,1366,3.0,2.291
