Firm,Day,ALP FP,ALP FP adj
ResolvePM,1,41.0,41.417
ResolvePM,60,42.0,42.417
SMS Morgan,109,42.0,42.303
ResolvePM,121,41.0,41.417
SMS Morgan,170,33.0,33.303
ResolvePM,182,39.0,39.417
Redbridge,227,37.0,36.33
ResolvePM,243,39.0,39.417
ResolvePM,304,37.0,37.417
Redbridge,318,37.0,36.33
Redbridge,411,36.0,35.33
ResolvePM,402,33.0,33.417
ResolvePM,458,29.0,29.417
Redbridge,426,35.0,34.33
ResolvePM,514,27.0,27.417
Redbridge,544,31.0,30.33
Wolf&Smith,565,28.0,28.452
ResolvePM,567,27.0,27.417
Redbridge,608,30.0,29.33
Redbridge,663,30.0,29.33
ResolvePM,715,22.0,22.417
DemosAU,778,25.0,26.889
ResolvePM,760,24.0,24.417
Redbridge,791,29.0,28.33
Newspoll3,878,35.0,34.479
Redbridge,876,33.0,32.33
ResolvePM,913,32.0,32.417
Redbridge,953,32.0,31.33
DemosAU,949,26.0,27.889
ResolvePM,944,30.0,30.417
DemosAU,997,26.0,27.889
Newspoll3,1023,28.0,27.479
Freshwater,1027,30.0,29.701
ResolvePM,1005,28.0,28.417
Redbridge,1035,31.0,30.33
DemosAU,1102,23.0,24.598
ResolvePM,1093,28.0,28.215
SMS Morgan,1111,25.5,25.67
Freshwater,1117,28.0,27.836
Redbridge,1119,25.0,24.836
Freshwater,1145,27.0,26.891
ResolvePM,1155,27.0,26.93
SMS Morgan,1178,25.5,25.545
Freshwater,1223,23.0,22.939
DemosAU,1225,21.0,22.217
ResolvePM,1217,26.0,25.865
Redbridge,1239,26.0,26.198
ResolvePM,1252,27.0,26.865
Newspoll3,1271,28.0,27.21
Redbridge,1276,23.0,23.198
Freshwater,1279,25.0,24.939
SMS Morgan,1283,26.0,26.045
YouGov2,1244,23.0,23.392
DemosAU,1285,23.0,24.217
ResolvePM,1289,25.0,24.865
