Firm,Day,SAB FP,SAB FP adj
SMS Morgan,477,18.0,16.73948496805815
SMS Morgan,535,20.5,19.23948496805815
Galaxy,174,24.0,23.09569223213918
Essential,550,15.0,15.918050690449977
SMS Morgan,591,24.0,22.73948496805815
Essential,640,20.0,20.918050690449977
SMS Morgan,646,28.0,26.73948496805815
Essential,732,16.0,16.918050690449977
SMS Morgan,738,21.0,19.73948496805815
Galaxy,761,22.0,21.09569223213918
SMS Morgan,779,19.5,18.23948496805815
Essential,824,17.0,17.918050690449977
Essential,916,18.0,18.918050690449977
Essential,1005,19.0,19.918050690449977
Galaxy,1024,21.0,20.09569223213918
Essential,1097,18.0,18.88613214169402
Newspoll2,1189,32.0,30.52475922858507
Essential,1189,22.0,22.78125691006731
SMS Morgan,1247,28.5,27.605976371238974
ReachTEL,1264,17.6,18.137284623954148
Newspoll2,1294,21.0,19.52475922858507
Newspoll2,1308,17.0,15.524759228585069
ReachTEL,1309,16.0,16.537284623954147
