Firm,Day,ALP FP,ALP FP adj
Galaxy,607,39.0,39.03174062320468
Essential,609,39.0,38.46236721275406
Newspoll,610,37.0,39.29361519604177
Ipsos,610,35.0,36.649954177755
Morgan multi-mode,610,35.5,36.84009829493597
Morgan multi-mode,620,37.0,38.34009829493597
Essential,623,40.0,39.46236721275406
Newspoll,626,37.0,39.29361519604177
Ipsos,636,37.0,38.649954177755
Morgan multi-mode,634,37.5,38.84009829493597
Essential,637,39.0,38.46236721275406
Newspoll,640,34.0,36.29361519604177
Morgan multi-mode,648,36.0,37.34009829493597
ReachTEL,649,37.0,36.96826155339877
Essential,651,39.0,38.46236721275406
Ipsos,657,35.0,36.649954177755
Newspoll2,659,37.0,36.05648389113099
Morgan multi-mode,662,34.5,35.84009829493597
Essential,665,38.0,37.46236721275406
Newspoll2,672,39.0,38.05648389113099
Morgan multi-mode,676,35.5,36.84009829493597
Essential,679,38.0,37.46236721275406
ReachTEL,684,38.0,37.96826155339877
ReachTEL,691,38.3,38.268261553398766
Essential,693,38.0,37.46236721275406
Newspoll2,694,39.0,38.05648389113099
Morgan multi-mode,690,37.0,38.34009829493597
Ipsos,699,36.0,37.649954177755
Newspoll2,707,39.0,38.05648389113099
Essential,707,38.0,37.46236721275406
Morgan multi-mode,704,36.0,37.34009829493597
ReachTEL,712,37.5,37.46826155339877
Newspoll2,721,39.0,38.05648389113099
Essential,721,38.0,37.46236721275406
Morgan multi-mode,722,35.5,36.84009829493597
Morgan multi-mode,729,36.5,37.84009829493597
ReachTEL,731,35.9,35.86826155339877
Galaxy,732,36.0,36.03174062320468
Newspoll2,735,35.0,34.05648389113099
Morgan multi-mode,736,29.5,30.84009829493597
Essential,735,37.0,36.46236721275406
Essential,742,35.0,34.46236721275406
Morgan multi-mode,747,27.5,28.84009829493597
Newspoll2,756,35.0,34.05648389113099
Essential,756,36.0,35.46236721275406
Ipsos,762,30.0,31.649954177755
Morgan multi-mode,760,27.5,28.84009829493597
ReachTEL,768,33.0,32.96826155339877
Newspoll2,770,35.0,34.05648389113099
Essential,770,34.0,33.46236721275406
Morgan multi-mode,774,28.5,29.84009829493597
Newspoll2,784,34.0,33.06776459355848
Essential,784,36.0,35.41896679367258
Ipsos,790,29.0,30.618492336552887
Morgan multi-mode,788,28.0,29.45623014624969
Newspoll2,798,33.0,32.107247052054696
Essential,798,35.0,34.2670653268874
ReachTEL,803,31.1,31.102698377219188
Morgan multi-mode,802,28.5,30.15946088604871
Newspoll2,812,33.0,32.146729510550905
Essential,812,35.0,34.115163860102214
Morgan multi-mode,816,27.0,28.862691625847727
Morgan multi-mode,844,29.0,31.26915310544576
Essential,855,35.0,33.64860935497629
ReachTEL,859,31.8,31.886544556955847
Morgan multi-mode,858,28.0,30.472383845244778
Essential,859,35.0,33.60520893589481
Newspoll2,868,34.0,33.30465934453576
Morgan multi-mode,872,29.0,31.675614585043792
Essential,874,33.0,31.442457364339248
ReachTEL,880,32.8,32.91798687435709
Ipsos,881,32.0,33.33218958161363
Morgan multi-mode,886,29.5,32.378845324842814
Newspoll2,889,35.0,34.36388303228007
Essential,888,38.0,36.290555897554064
Morgan multi-mode,901,29.5,32.582076064641825
Essential,902,36.0,34.16035464030962
Newspoll2,903,35.0,34.39490496395567
Ipsos,909,31.0,32.27241208332961
Morgan multi-mode,914,33.0,36.082076064641825
Essential,916,38.0,36.16035464030962
Newspoll2,917,34.0,33.39490496395567
ReachTEL,919,34.4,34.54793193854876
Morgan multi-mode,928,31.0,34.082076064641825
Essential,930,35.0,33.16035464030962
Newspoll2,931,36.0,35.39490496395567
ReachTEL,943,35.8,35.947931938548756
Ipsos,944,33.0,34.27241208332961
Essential,944,39.0,37.16035464030962
Morgan multi-mode,942,32.0,35.082076064641825
Newspoll2,945,36.0,35.39490496395567
Morgan multi-mode,956,32.5,35.582076064641825
Essential,958,38.0,36.16035464030962
ReachTEL,964,35.1,35.24793193854876
Galaxy,964,36.0,35.852058128954575
Ipsos,965,33.0,34.27241208332961
Newspoll2,966,37.0,36.39490496395567
Lonergan,966,35.0,35.128256433421456
Essential,972,37.0,35.16035464030962
Morgan multi-mode,974,33.0,36.082076064641825
Ipsos,977,34.0,35.27241208332961
ReachTEL,978,36.6,36.74793193854876
Newspoll2,980,36.0,35.39490496395567
ReachTEL,985,36.5,36.64793193854876
Essential,986,36.0,34.16035464030962
Morgan multi-mode,984,32.5,35.582076064641825
