Firm,Day,ONP FP,ONP FP adj
Morgan multi-mode,11,6.0,6.988
Morgan multi-mode,35,6.0,6.988
Morgan multi-mode,49,8.5,9.488
Spectre,52,8.0,7.332
DemosAU,59,9.0,7.199
Newspoll3,69,8.0,7.848
ResolvePM,69,8.0,9.12
Morgan multi-mode,67,7.0,7.988
Wolf+Smith,77,8.0,7.841
Newspoll3,98,9.0,8.848
ResolvePM,98,9.0,10.12
Morgan multi-mode,95,9.0,9.988
Redbridge,113,11.0,9.241
ResolvePM,126,12.0,13.12
Newspoll3,123,10.0,9.848
Morgan multi-mode,123,9.5,10.488
YouGov2,143,12.0,10.971
Essential,142,13.83,13.087
Newspoll3,144,11.0,10.848
Redbridge,146,14.0,12.241
ResolvePM,154,12.0,13.12
Morgan multi-mode,151,12.0,12.988
DemosAU,169,17.0,15.199
Essential,170,15.957,15.215
Newspoll3,172,15.0,14.848
YouGov2,172,13.0,11.971
Freshwater,173,10.0,10.698
ResolvePM,182,12.0,13.12
Redbridge,186,18.0,16.241
Morgan multi-mode,179,14.0,14.988
Spectre,187,17.5,16.832
Redbridge,193,18.0,16.241
Newspoll3,193,15.0,14.848
YouGov2,191,18.0,16.971
Essential,198,15.625,14.882
Morgan multi-mode,203,15.0,15.988
ResolvePM,211,14.0,15.12
Essential,212,17.895,17.152
Redbridge,215,17.0,15.241
Morgan multi-mode,217,17.0,17.988
ResolvePM,225,16.0,17.12
DemosAU,243,23.0,21.246
Fox & Hedgehog,243,21.0,20.464
Morgan multi-mode,245,15.0,15.999
Newspoll3,251,22.0,21.617
ResolvePM,251,18.0,19.08
Morgan multi-mode,252,21.0,22.006
Freshwater,254,19.0,19.583
DemosAU,254,24.0,22.324
Morgan multi-mode,259,22.5,23.517
YouGov2,260,25.0,24.094
Essential,263,23.404,22.726
Redbridge,263,26.0,24.02
Morgan multi-mode,266,25.0,26.025
Newspoll3,275,27.0,26.221
Morgan multi-mode,273,24.5,25.535
YouGov2,275,28.0,27.184
Morgan multi-mode,279,25.0,26.043
ResolvePM,279,23.0,23.999
Morgan multi-mode,283,21.5,22.548
Redbridge,277,28.0,25.901
Fox & Hedgehog,286,25.0,24.633
DemosAU,286,28.0,26.576
Morgan multi-mode,287,20.5,21.553
Essential,288,22.917,22.297
YouGov2,289,24.0,23.262
Newspoll3,293,27.0,25.925
Redbridge,293,28.0,25.765
Morgan multi-mode,294,22.0,23.061
Morgan multi-mode,301,23.5,24.572
YouGov2,303,26.0,25.341
ResolvePM,308,24.0,24.919
Morgan multi-mode,308,22.5,23.579
YouGov2,307,26.0,25.363
Morgan multi-mode,315,23.5,24.59
Essential,316,25.532,24.981
YouGov2,317,27.0,26.419
Fox & Hedgehog,321,23.0,22.778
Redbridge,321,29.0,26.527
Newspoll3,321,26.0,24.463
Morgan multi-mode,322,23.5,24.598
Morgan multi-mode,329,21.5,22.608
YouGov2,331,25.0,24.498
Morgan multi-mode,336,24.5,25.616
DemosAU,339,26.0,25.0
Freshwater,324,25.0,25.082
ResolvePM,343,22.0,22.816
Newspoll3,342,24.0,22.133
Spectre,332,26.0,25.458
Morgan multi-mode,343,21.5,22.627
YouGov2,345,27.0,26.576
Morgan multi-mode,350,22.5,23.634
Essential,351,26.316,25.854
Freshwater,356,25.0,24.852
Redbridge,354,27.0,24.256
Morgan multi-mode,357,21.5,22.645
YouGov2,359,24.0,23.644
Morgan multi-mode,364,22.0,23.145
SMS Morgan,371,32.0,30.598
Freshwater,371,26.0,25.838
ResolvePM,373,24.0,24.775
Newspoll3,373,27.0,24.869
Wolf+Smith,370,22.0,22.179
Morgan multi-mode,371,24.5,25.645
YouGov2,373,25.0,24.644
DemosAU,375,28.0,27.141
Redbridge,363,28.0,25.222
Morgan multi-mode,378,25.5,26.645
Essential,379,29.167,28.72
Agenda C Synesis,381,27.273,27.048
Redbridge,384,31.0,28.222
Fox & Hedgehog,383,27.0,26.924
Morgan multi-mode,385,27.0,28.145
YouGov2,387,29.0,28.644
Newspoll3,391,31.0,28.869
Morgan multi-mode,392,29.5,30.645
ResolvePM,399,29.0,29.775
Morgan multi-mode,399,29.5,30.645
YouGov2,401,28.0,27.644
DemosAU,405,30.0,29.141
Morgan multi-mode,406,31.5,32.645
DemosAU,407,30.0,29.141
Redbridge,412,29.0,26.222
Newspoll3,412,29.0,26.869
Morgan multi-mode,413,26.0,27.145
YouGov2,415,30.0,29.644
Essential,415,27.66,27.213
Morgan multi-mode,420,22.5,23.645
ResolvePM,427,26.0,26.775
DemosAU,424,29.0,28.141
Morgan multi-mode,427,28.0,29.145
YouGov2,429,26.0,25.644
Newspoll3,433,30.0,27.869
Morgan multi-mode,434,22.5,23.645
Spectre,435,26.0,25.493
Morgan multi-mode,441,25.5,26.645
YouGov2,443,25.0,24.644
Essential,443,26.042,25.595
Redbridge,447,31.0,28.222
Morgan multi-mode,448,24.0,25.145
Agenda C Synesis,434,26.0,25.775
Newspoll3,454,29.0,26.869
Morgan multi-mode,455,26.0,27.145
YouGov2,456,24.0,23.644
ResolvePM,461,26.0,26.775
Morgan multi-mode,462,25.0,26.145
DemosAU,468,24.0,23.141
Morgan multi-mode,469,27.0,28.145
YouGov2,470,26.0,25.644
Redbridge,475,28.0,25.222
Newspoll3,475,30.0,27.869
Morgan multi-mode,476,23.5,24.645
Essential,478,24.0,23.553
