Firm,Day,LNP FP,LNP FP adj
Newspoll,1,38.0,37.593
Newspoll,62,38.0,37.593
Newspoll,123,39.0,38.593
Newspoll,185,37.0,36.593
F2F Morgan,199,36.0,37.168
F2F Morgan,228,37.5,38.668
Newspoll,245,38.0,37.593
Taverner,253,40.0,39.911
F2F Morgan,259,37.5,38.668
F2F Morgan,289,37.5,38.668
Newspoll,306,39.0,38.593
F2F Morgan,320,41.0,42.168
F2F Morgan,350,38.0,39.168
Newspoll,367,38.0,37.593
F2F Morgan,381,40.0,41.168
F2F Morgan,412,41.0,42.168
Newspoll,428,44.0,43.593
F2F Morgan,442,43.5,44.668
F2F Morgan,473,40.5,41.668
Newspoll,489,46.0,45.593
F2F Morgan,503,44.5,45.668
F2F Morgan,534,41.5,42.668
Newspoll,551,44.0,43.593
F2F Morgan,565,42.0,43.168
F2F Morgan,593,43.5,44.668
Newspoll,610,41.0,40.593
F2F Morgan,624,40.5,41.668
F2F Morgan,654,42.0,43.168
Newspoll,671,43.0,42.593
F2F Morgan,685,39.5,40.668
F2F Morgan,715,39.0,40.168
Newspoll,732,43.0,42.593
F2F Morgan,746,36.5,37.668
F2F Morgan,777,37.0,38.168
Newspoll,793,38.0,37.593
F2F Morgan,807,36.5,37.668
F2F Morgan,838,37.0,38.168
Newspoll,854,43.0,42.593
F2F Morgan,868,36.0,37.168
F2F Morgan,900,36.5,37.668
Newspoll,916,43.0,42.593
F2F Morgan,930,41.0,42.168
F2F Morgan,958,40.5,41.668
Newspoll,975,44.0,43.593
F2F Morgan,989,37.5,38.668
F2F Morgan,1019,38.5,39.668
Newspoll,1036,39.0,38.593
F2F Morgan,1050,35.5,36.668
F2F Morgan,1080,41.0,42.168
Nielsen,1097,42.0,42.143
Newspoll,1097,38.0,37.666
F2F Morgan,1111,34.0,35.125
Galaxy,1128,48.0,47.573
F2F Morgan,1142,34.5,35.566
Newspoll,1158,37.0,37.213
F2F Morgan,1172,40.0,41.007
F2F Morgan,1203,38.0,38.944
Galaxy,1189,39.0,38.531
Nielsen,1206,41.0,40.902
Newspoll,1219,37.0,37.687
F2F Morgan,1233,34.5,35.433
F2F Morgan,1264,35.5,36.433
Newspoll,1281,33.0,33.687
Taverner,1281,38.0,37.791
Nielsen,1304,37.0,36.893
Newspoll,1319,37.0,37.687
Nielsen,1329,36.0,35.893
Galaxy,1329,39.0,38.518
Newspoll,1330,35.0,35.687
