Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,2.0,1.65
F2F Morgan,62,2.5,2.15
F2F Morgan,123,3.5,3.15
Newspoll,137,2.0,2.599
F2F Morgan,184,3.0,2.65
Newspoll,229,4.0,4.599
F2F Morgan,245,4.0,3.65
F2F Morgan,307,4.0,3.65
Newspoll,321,2.0,2.599
F2F Morgan,366,3.5,3.15
Newspoll,410,3.0,3.599
F2F Morgan,427,4.5,4.15
F2F Morgan,488,3.0,2.65
Newspoll,502,3.0,3.599
F2F Morgan,549,5.0,4.65
Newspoll,594,4.0,4.599
F2F Morgan,610,5.5,5.15
F2F Morgan,672,5.0,4.65
Newspoll,686,3.0,3.599
F2F Morgan,731,6.0,5.65
Newspoll,775,3.0,3.599
F2F Morgan,792,4.0,3.65
F2F Morgan,853,3.5,3.227
Newspoll,867,3.0,3.415
F2F Morgan,914,4.5,4.317
F2F Morgan,956,5.0,4.829
Newspoll,959,4.0,4.264
F2F Morgan,1020,4.0,3.829
TNS,1020,7.229,6.325
Newspoll,1027,4.0,4.264
TNS,1028,5.814,4.91
Newspoll,1041,5.0,5.264
