Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,16.5,16.935
F2F Morgan,62,15.5,15.935
Advertiser,108,14.737,15.208
F2F Morgan,123,15.5,15.935
F2F Morgan,184,11.5,11.935
Newspoll,229,15.0,14.678
F2F Morgan,245,13.5,13.935
Newspoll,321,16.0,15.678
Newspoll,410,12.0,11.678
Newspoll,502,12.0,11.678
Newspoll,594,14.0,13.678
Newspoll,686,12.0,11.678
Newspoll,776,11.0,10.678
Newspoll,868,13.0,12.678
Advertiser,901,10.0,10.471
Newspoll,960,12.0,11.678
Newspoll,1052,13.0,12.678
Advertiser,1083,12.791,13.262
Newspoll,1219,14.0,13.674
Advertiser,1265,12.644,13.152
Advertiser,1293,10.227,10.753
Newspoll,1325,15.0,14.64
Advertiser,1348,10.112,10.659
Newspoll,1403,14.0,13.64
Advertiser,1405,14.737,15.284
Galaxy,1442,11.0,11.346
Newspoll,1448,12.3,11.94
