Firm,Day,LNP FP,LNP FP adj
Morgan Phone,1,50.5,51.279
Morgan Phone,31,51.0,51.779
Morgan Phone,62,44.5,45.279
AGB McNair,69,53.0,52.217
Newspoll,109,52.0,51.329
Newspoll,170,56.0,55.329
Newspoll,231,54.0,53.329
Newspoll,293,51.0,50.329
Newspoll,352,53.0,52.329
Newspoll,413,50.0,49.329
Newspoll,474,51.0,50.329
Quadrant,514,47.0,46.914
Newspoll,535,53.0,52.329
Newspoll,596,46.0,45.329
Taverner,613,40.0,40.825
Newspoll,658,45.0,44.329
Newspoll,717,41.0,40.329
Newspoll,778,42.0,41.329
Nielsen,797,45.0,43.925
F2F Morgan,822,40.5,41.036
Newspoll,839,42.0,41.329
Nielsen,839,46.0,44.925
F2F Morgan,854,43.0,43.536
F2F Morgan,885,46.0,46.536
Newspoll,900,47.0,46.329
F2F Morgan,913,48.0,48.536
F2F Morgan,945,43.0,43.536
Newspoll,961,46.0,45.329
F2F Morgan,973,50.0,50.536
F2F Morgan,1011,45.5,46.036
Newspoll,1023,51.0,50.342
F2F Morgan,1039,48.0,48.767
Nielsen,1050,49.0,47.84
F2F Morgan,1060,47.0,47.932
F2F Morgan,1078,51.0,52.08
Newspoll,1082,51.0,50.403
F2F Morgan,1099,47.0,48.261
Nielsen,1101,50.0,48.724
F2F Morgan,1126,47.0,48.475
Newspoll,1143,52.0,51.457
F2F Morgan,1158,46.0,47.525
Nielsen,1167,51.0,49.657
F2F Morgan,1186,47.0,48.525
Newspoll,1204,50.0,49.457
F2F Morgan,1214,46.0,47.525
Nielsen,1217,49.0,47.657
Quadrant,1228,51.0,50.627
Nielsen,1230,54.0,52.657
Morgan Phone,1239,47.0,47.178
Nielsen,1249,50.0,48.657
Newspoll,1250,46.0,45.457
Morgan Phone,1250,48.0,48.178
Morgan Phone,1252,48.0,48.178
