Firm,Day,LIB FP,LIB FP adj
Utting,483,28.0,27.48
Utting,534,37.0,36.48
Redbridge,677,29.0,29.121
Freshwater,894,33.0,32.664
Wolf&Smith,928,29.0,29.312
Freshwater,947,32.0,31.749
DemosAU,1004,34.0,33.802
Newspoll,1093,32.0,32.143
Newspoll,1124,29.0,29.143
DemosAU,1127,30.0,29.792
