Firm,Day,ONP FP,ONP FP adj
Newspoll,386,1.0,3.933
Newspoll,400,4.0,6.933
Morgan Phone,401,10.0,9.933
F2F Morgan,404,4.0,3.388
Newspoll,414,7.0,9.933
Nielsen,414,10.0,9.599
Morgan Phone,415,13.5,13.433
F2F Morgan,415,11.5,10.888
Newspoll,421,9.0,11.933
Morgan Phone,424,12.5,12.433
F2F Morgan,425,12.5,11.888
Newspoll,428,9.0,11.933
Morgan Phone,433,12.0,11.933
Nielsen,435,12.0,11.599
F2F Morgan,436,12.0,11.388
Newspoll,442,7.0,9.933
Morgan Phone,443,9.0,8.933
F2F Morgan,446,10.5,9.888
Newspoll,456,7.0,9.933
Morgan Phone,457,11.0,10.933
F2F Morgan,460,10.0,9.388
Newspoll,470,6.0,8.933
Morgan Phone,471,10.0,9.933
F2F Morgan,474,10.0,9.388
Newspoll,484,6.0,8.933
Morgan Phone,485,8.0,7.933
F2F Morgan,488,10.0,9.388
Newspoll,498,7.0,9.933
Morgan Phone,499,8.0,7.933
F2F Morgan,502,9.5,8.888
Morgan Phone,510,10.0,9.933
Newspoll,512,6.0,8.933
F2F Morgan,513,10.0,9.388
Morgan Phone,518,8.0,7.933
Nielsen,519,9.0,8.599
F2F Morgan,520,10.0,9.388
Newspoll,526,5.0,7.933
Morgan Phone,527,8.0,7.933
F2F Morgan,530,9.0,8.388
Newspoll,540,4.0,6.933
Morgan Phone,541,8.5,8.433
F2F Morgan,544,8.0,7.388
Morgan Phone,552,8.0,7.933
Newspoll,554,4.0,6.933
F2F Morgan,555,8.0,7.388
Morgan Phone,559,8.0,7.933
Newspoll,561,5.0,7.933
F2F Morgan,562,6.5,5.888
Morgan Phone,569,7.5,7.433
F2F Morgan,572,6.5,5.888
Newspoll,575,3.0,5.933
Nielsen,575,7.0,6.599
Morgan Phone,580,6.0,5.933
Newspoll,582,3.0,5.933
Nielsen,582,6.0,5.599
F2F Morgan,583,7.5,6.888
Newspoll,589,2.0,4.933
Morgan Phone,590,6.0,5.933
F2F Morgan,593,7.5,6.888
Newspoll,603,3.0,5.933
Morgan Phone,604,4.5,4.433
F2F Morgan,607,7.5,6.888
Newspoll,617,4.0,6.933
Nielsen,617,7.0,6.599
Morgan Phone,618,4.5,4.433
F2F Morgan,621,6.5,5.888
Newspoll,631,2.0,4.933
Morgan Phone,632,5.0,4.933
F2F Morgan,635,7.0,6.388
Newspoll,638,3.0,5.933
Morgan Phone,667,5.5,5.433
F2F Morgan,670,7.5,6.888
Newspoll,673,3.0,5.933
Morgan Phone,681,5.5,5.433
F2F Morgan,684,6.5,5.888
Newspoll,322,4.0,6.933
Nielsen,687,5.0,4.599
Morgan Phone,695,5.5,5.457
F2F Morgan,698,5.5,4.886
Quadrant,700,3.0,3.437
Newspoll,701,3.0,5.769
Morgan Phone,709,4.5,4.537
F2F Morgan,712,5.5,4.884
Newspoll,715,3.0,5.54
Nielsen,716,6.0,5.674
Morgan Phone,723,4.5,4.618
F2F Morgan,727,6.0,5.381
Newspoll,729,2.0,4.31
Morgan Phone,737,5.0,5.199
F2F Morgan,740,7.0,6.378
Newspoll,743,4.0,6.081
Nielsen,743,6.0,5.761
Morgan Phone,751,6.0,6.28
F2F Morgan,754,7.0,6.376
Morgan Phone,762,4.5,4.838
Newspoll,764,4.0,5.753
Nielsen,764,9.0,8.823
F2F Morgan,765,8.0,7.373
Morgan Phone,769,6.5,6.884
F2F Morgan,772,8.0,7.372
Morgan Phone,776,6.0,6.419
Newspoll,778,4.0,5.524
F2F Morgan,779,7.0,6.371
Morgan Phone,786,4.0,4.477
F2F Morgan,789,7.0,6.369
Newspoll,792,4.0,5.295
Nielsen,799,7.0,6.936
Morgan Phone,800,6.0,6.558
F2F Morgan,803,9.5,8.866
Newspoll,806,7.0,8.065
Morgan Phone,814,9.5,10.127
F2F Morgan,817,10.5,9.864
Newspoll,820,11.0,11.967
Morgan Phone,825,14.5,15.127
Nielsen,827,12.0,11.973
F2F Morgan,828,13.5,12.864
Newspoll,834,13.0,13.967
Morgan Phone,835,12.0,12.627
F2F Morgan,845,14.5,13.864
Newspoll,848,11.0,11.967
Nielsen,855,14.0,13.973
F2F Morgan,859,14.0,13.364
Newspoll,862,12.0,12.967
F2F Morgan,873,13.5,12.864
Newspoll,876,11.0,11.967
Quadrant,882,10.0,10.662
Newspoll,883,7.0,7.967
Nielsen,883,10.0,9.973
F2F Morgan,884,10.0,9.364
F2F Morgan,891,11.0,10.364
Quadrant,896,7.0,7.662
Newspoll,897,10.0,10.967
F2F Morgan,898,9.0,8.364
Nielsen,900,8.0,7.973
Newspoll,904,7.5,8.467
F2F Morgan,905,9.5,8.864
Nielsen,908,8.0,7.973
Newspoll,911,7.0,7.967
F2F Morgan,912,8.5,7.864
Nielsen,915,8.0,7.973
Newspoll,918,6.0,6.967
F2F Morgan,919,7.0,6.364
Quadrant,923,8.0,8.662
Nielsen,922,7.0,6.973
Morgan Phone,923,6.0,6.627
Newspoll,925,7.0,7.967
F2F Morgan,926,7.0,6.364
Quadrant,928,6.0,6.662
Nielsen,928,9.0,8.973
Newspoll,930,7.0,7.967
Nielsen,930,7.0,6.973
ARS,930,7.0,7.411
Morgan Phone,932,6.5,7.127
