Firm,Day,ONP FP,ONP FP adj
Newspoll2,1,8.0,7.349
Newspoll2,126,10.0,9.349
ResolvePM,233,6.0,6.643
Newspoll2,287,11.0,10.349
ResolvePM,373,7.0,7.643
Newspoll2,405,10.0,9.349
ResolvePM,495,8.0,8.643
Redbridge,557,9.0,8.589
YouGov2,606,8.0,7.513
ResolvePM,618,8.0,8.643
uComms,660,7.8,7.547
uComms,669,7.3,7.047
uComms,729,7.7,7.447
Newspoll,748,8.0,7.865
uComms,784,11.111,10.875
YouGov2,782,10.0,9.216
ResolvePM,774,8.0,8.455
uComms,813,6.19,5.965
YouGov2,872,13.0,11.739
Wolf&Smith,909,8.0,7.717
ResolvePM,880,8.0,8.049
Newspoll,937,8.0,7.805
Freshwater,950,8.0,7.668
YouGov2,965,11.0,9.739
ResolvePM,969,9.0,8.517
Newspoll,973,8.0,7.805
uComms,976,7.8,7.59
