Firm,Day,NAT FP,NAT FP adj
Utting,483,5.0,4.921
Utting,534,6.0,5.921
Redbridge,677,4.0,4.063
Freshwater,894,5.0,4.765
Wolf&Smith,928,3.0,3.154
Freshwater,947,6.0,5.782
DemosAU,1004,4.0,3.969
Newspoll,1093,3.0,3.081
Newspoll,1124,5.0,5.081
DemosAU,1127,5.0,4.968
