Firm,Day,LIB FP,LIB FP adj
F2F Morgan,1,28.0,30.084
Westpoll,40,26.667,24.058
F2F Morgan,62,29.0,31.084
Westpoll,94,32.222,29.614
F2F Morgan,123,32.0,34.084
Westpoll,132,30.0,27.392
Newspoll,137,37.0,36.854
F2F Morgan,184,35.0,37.084
Newspoll,229,41.0,40.854
F2F Morgan,245,36.5,38.584
F2F Morgan,307,38.0,40.084
Newspoll,321,37.0,36.854
Westpoll,335,44.0,41.392
F2F Morgan,366,37.5,39.584
Westpoll,407,39.0,36.392
Newspoll,410,36.0,35.854
F2F Morgan,427,35.5,37.584
F2F Morgan,488,37.0,39.084
Westpoll,499,40.0,37.392
Newspoll,502,37.0,36.854
F2F Morgan,549,33.0,35.084
Westpoll,591,44.0,41.392
Newspoll,594,38.0,37.854
F2F Morgan,610,38.0,40.084
Westpoll,643,40.0,37.392
F2F Morgan,672,37.0,39.084
Westpoll,674,40.0,37.392
Newspoll,686,38.0,37.854
Westpoll,713,43.0,40.392
F2F Morgan,731,32.0,34.084
Newspoll,775,36.0,35.854
F2F Morgan,792,32.0,34.084
Westpoll,824,44.0,41.392
F2F Morgan,853,36.5,38.584
Westpoll,855,43.0,40.392
Newspoll,867,40.0,39.854
Westpoll,892,50.0,47.392
F2F Morgan,914,35.0,37.084
Westpoll,927,43.0,40.392
Newspoll,959,39.0,38.854
F2F Morgan,975,34.0,36.084
Westpoll,1020,41.0,38.392
F2F Morgan,1037,34.0,36.084
Westpoll,1046,44.0,41.392
Newspoll,1051,39.0,38.854
Westpoll,1068,41.0,38.392
F2F Morgan,1097,34.5,36.584
Westpoll,1099,40.0,37.392
Westpoll,1129,42.0,39.392
Newspoll,1141,39.0,38.854
Westpoll,1160,43.0,40.392
Westpoll,1190,40.0,37.432
Westpoll,1221,45.783,43.539
Westpoll,1313,47.727,46.334
Newspoll,1325,46.0,46.157
Westpoll,1343,49.425,48.032
Westpoll,1381,45.055,43.662
Newspoll,1400,44.0,44.157
Westpoll,1403,45.055,43.662
