House,Party,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
New house effects
Newspoll,GRN FP,-1.056257575509774,-0.39238620425673376,-0.23892055876485452,-0.13451796329576288,-0.048306258027967536,0.023005082985799202,0.09895772305842142,0.18948892278790314,0.29343938149081683,0.4486217896977727,1.0369028095739188
Nielsen,GRN FP,-1.2960930513574005,-0.5364188369310353,-0.3742120680642554,-0.26312864904242284,-0.17402549684217383,-0.08993536929692489,-0.005908210957519377,0.07452559399209449,0.17585737271610766,0.3270189063214517,0.9815982355192172
Galaxy,GRN FP,-1.1495910287846385,-0.3882481422509054,-0.2269124803867444,-0.10638878394729855,-0.022258629918745568,0.057179374012947495,0.1432936302199026,0.24520735941392446,0.36655204028061295,0.5582873476928263,1.5539136725117955
Morgan Phone,GRN FP,-3.0187211914426393,-1.549738992598082,-1.202511722056238,-0.9675135507302439,-0.7741897814432568,-0.6011859328893722,-0.4418620232456883,-0.2667605510804417,-0.09649835773314028,0.142164117888195,1.1473441153157127
F2F Morgan,GRN FP,-2.8447237600856843,-1.4587003217106327,-1.17468795073448,-0.9879733786327659,-0.813484327708969,-0.6617486126097908,-0.5015422073181468,-0.33342670803661956,-0.1470663206608693,0.06949138889886856,1.000061405768245
Essential,GRN FP,-2.4863332342454427,-1.35599367743742,-1.0691612949213818,-0.8789986386005657,-0.7153692341111437,-0.5564348080746209,-0.40791444561070606,-0.24802388925413313,-0.08143329643758286,0.12291886162398447,1.0667417215385187
Old house effects
Newspoll,GRN FP,-0.5409829458321678,0.01828076204037822,0.15684520481299663,0.2555485636881608,0.3535598178413044,0.44966521852138014,0.540543040993988,0.6415405143148558,0.7593547342990499,0.9161270678076178,1.6534137762239483
Nielsen,GRN FP,-1.397888992087605,-0.7526207629187256,-0.5824777541386237,-0.4604703892975368,-0.357084930056847,-0.2637333521999984,-0.17242693653381902,-0.07557839246386114,0.03019360563254954,0.17682912788683347,1.0665115410200439
Galaxy,GRN FP,-1.8784973669530336,-0.8385665021367257,-0.5701068507674716,-0.41313199387669086,-0.273517112470004,-0.15218827752466435,-0.044130813226272686,0.061326374892431854,0.2053371029194908,0.399733874710917,1.3675668902619849
Morgan Phone,GRN FP,-3.0132082292155733,-1.6542972600150925,-1.3555244150154158,-1.1278982106739288,-0.9545448085598797,-0.7837583511823653,-0.6232551171260226,-0.4676143737499706,-0.2782405100535684,-0.04058484283985242,1.0184269299485185
F2F Morgan,GRN FP,-2.5691253849144697,-1.7080773327709835,-1.487420430921052,-1.343415316566313,-1.2110890629014115,-1.0844703610414856,-0.9648755081874048,-0.8347481899042466,-0.6831700966737781,-0.48169108642268654,0.24426028235260377
Essential,GRN FP,-2.7236382401458124,-1.8186105891890334,-1.6127185836207028,-1.4579136072434906,-1.322446837102309,-1.2034881082072264,-1.0786915047981864,-0.9455931950468836,-0.7942428341154918,-0.5829995005522184,0.19150859034956202
