Firm,Day,GRN FP,GRN FP adj
Essential,1,10.0,10.322
Essential,15,10.0,10.322
Essential,31,10.0,10.322
Newspoll2,47,9.0,9.558
Essential,45,10.0,10.322
Newspoll2,61,9.0,9.558
Essential,58,10.0,10.322
Essential,73,9.0,9.322
Newspoll2,75,10.0,10.558
Essential,86,10.0,10.322
Newspoll2,89,10.0,10.558
Essential,102,10.0,10.322
Newspoll2,103,10.0,10.558
Essential,116,10.0,10.322
Newspoll2,117,10.0,10.558
Essential,129,10.0,10.322
Newspoll2,131,10.0,10.558
Ipsos,137,16.0,13.024
Essential,143,9.0,9.322
Newspoll2,145,10.0,10.558
Essential,157,10.0,10.322
ReachTEL,185,9.8,9.639
Essential,187,9.0,9.322
Essential,198,9.0,9.322
Newspoll2,208,10.0,10.558
Essential,212,9.0,9.322
Essential,226,9.0,9.322
Newspoll2,229,10.0,10.558
Essential,240,9.0,9.322
Newspoll2,250,9.0,9.558
Ipsos,256,16.0,13.024
Essential,254,10.0,10.322
Newspoll2,264,10.0,10.558
Essential,266,10.0,10.322
Essential,280,10.0,10.322
Newspoll2,285,9.0,9.558
Essential,294,10.0,10.322
Ipsos,305,13.0,10.024
ReachTEL,304,10.9,10.739
Newspoll2,306,10.0,10.558
Essential,308,10.0,10.322
Newspoll2,321,10.0,10.558
Essential,322,10.0,10.322
Essential,336,9.0,9.322
Newspoll2,341,9.0,9.558
YouGov,349,12.0,11.194
Essential,350,11.0,11.322
ReachTEL,353,10.2,10.039
Newspoll2,362,10.0,10.558
YouGov,363,12.0,11.194
Essential,364,10.0,10.322
ReachTEL,373,8.8,8.639
Newspoll2,376,9.0,9.558
YouGov,376,10.0,9.194
Essential,378,10.0,10.322
Newspoll2,390,11.0,11.558
YouGov,390,11.0,10.194
Essential,392,9.0,9.322
Newspoll2,404,9.0,9.558
YouGov,404,10.0,9.194
Essential,406,10.0,10.322
ReachTEL,408,10.3,10.139
Essential,414,10.0,10.322
Newspoll2,418,9.0,9.558
YouGov,418,12.0,11.194
Ipsos,424,14.0,11.024
Essential,428,10.0,10.322
YouGov,432,11.0,10.194
Essential,435,10.0,10.322
Newspoll2,439,9.0,9.558
Essential,442,10.0,10.322
ReachTEL,447,9.0,8.839
Essential,453,9.0,9.322
Newspoll2,460,10.0,10.558
Essential,470,10.0,10.322
Newspoll2,474,10.0,10.558
Essential,488,9.0,9.322
Newspoll2,487,9.0,9.558
YouGov,488,11.0,10.194
Essential,498,9.0,9.322
YouGov,502,10.0,9.194
ReachTEL,506,10.0,9.839
Ipsos,509,13.0,10.024
Newspoll2,509,10.0,10.558
YouGov,516,11.0,10.194
Essential,516,9.0,9.322
Newspoll2,523,10.0,10.558
Essential,551,9.0,9.322
ReachTEL,563,10.0,9.839
Essential,565,10.0,10.322
Newspoll2,571,10.0,10.558
Essential,579,10.0,10.322
Newspoll2,586,10.0,10.558
ReachTEL,593,11.0,10.839
Essential,593,10.0,10.322
Newspoll2,600,9.0,9.558
Morgan multi-mode,604,13.5,11.628
Essential,607,9.0,9.322
Morgan multi-mode,618,12.0,10.128
Newspoll2,621,9.0,9.558
Essential,621,9.0,9.322
ReachTEL,625,10.0,9.839
Morgan multi-mode,625,11.0,9.128
Ipsos,632,12.0,9.024
Newspoll2,635,10.0,10.558
Essential,635,10.0,10.322
Newspoll2,649,9.0,9.558
Essential,649,11.0,11.322
ReachTEL,658,11.0,10.839
Essential,663,10.0,10.322
Ipsos,669,11.0,8.024
Newspoll2,670,9.0,9.558
Essential,670,10.0,10.322
Essential,677,10.0,10.322
Newspoll2,684,9.0,9.558
ReachTEL,689,11.0,10.839
Essential,691,10.0,10.322
Essential,705,11.0,11.322
Newspoll2,705,10.0,10.558
Ipsos,712,12.0,9.024
Newspoll2,719,9.0,9.558
Essential,719,11.0,11.322
Newspoll2,733,10.0,10.558
Essential,733,10.0,10.322
Ipsos,739,12.0,9.024
Newspoll2,747,10.0,10.558
Essential,747,10.0,10.322
Newspoll2,761,10.0,10.558
Essential,761,10.0,10.322
Ipsos,767,13.0,10.024
Morgan multi-mode,769,12.0,10.128
Newspoll2,775,10.0,10.558
Essential,775,10.0,10.322
Morgan multi-mode,776,13.0,11.128
Newspoll2,789,10.0,10.558
Essential,789,10.0,10.322
Ipsos,795,15.0,12.024
Newspoll2,803,10.0,10.56
Essential,803,12.0,12.304
Essential,817,10.0,10.241
Ipsos,823,15.0,12.01
Newspoll2,823,11.0,11.571
Essential,831,10.0,10.177
Newspoll2,838,9.0,9.578
Essential,845,10.0,10.114
Newspoll2,852,9.0,9.586
Ipsos,858,13.0,9.989
Essential,859,11.0,11.05
Newspoll2,866,9.0,9.594
Essential,873,10.0,9.987
Newspoll2,880,9.0,9.601
Ipsos,886,13.0,9.973
Essential,887,11.0,10.923
Essential,914,10.0,9.806
Newspoll2,929,9.0,9.623
Essential,930,10.0,9.778
Morgan multi-mode,940,12.5,11.013
Newspoll2,943,9.0,9.623
Essential,943,10.0,9.778
Ipsos,948,13.0,9.953
Morgan multi-mode,951,11.5,10.013
Newspoll2,957,9.0,9.623
Essential,957,9.0,8.778
uComms,961,9.7,9.314
Newspoll2,971,9.0,9.623
Essential,971,8.0,7.778
Essential,985,10.0,9.778
Galaxy,989,10.0,9.87
Morgan multi-mode,982,12.5,11.013
Ipsos,998,13.0,9.953
Newspoll2,999,9.0,9.623
Morgan multi-mode,1000,13.5,12.013
Essential,999,11.0,10.778
Newspoll2,1006,9.0,9.623
Morgan multi-mode,1014,9.5,8.013
Galaxy,1017,9.0,8.87
Newspoll2,1020,9.0,9.623
Morgan multi-mode,1021,9.5,8.013
Essential,1020,9.0,8.778
Ipsos,1026,14.0,10.953
Newspoll2,1027,9.0,9.623
Morgan multi-mode,1028,11.0,9.513
