Firm,Day,LNP FP,LNP FP adj
SMS Morgan,1,35.0,36.336
SMS Morgan,19,39.5,40.836
SMS Morgan,59,38.0,39.336
SMS Morgan,76,40.0,41.336
SMS Morgan,117,38.5,39.836
Newspoll,126,35.0,35.984
SMS Morgan,145,38.5,39.836
SMS Morgan,187,38.0,39.336
SMS Morgan,216,35.5,36.836
SMS Morgan,259,39.0,40.336
Essential,262,41.0,40.908
Essential,293,39.0,38.908
Newspoll2,309,43.0,42.601
SMS Morgan,312,40.5,41.836
Essential,323,40.0,39.908
Essential,354,40.0,39.908
SMS Morgan,370,41.0,42.336
Essential,385,43.0,42.908
Essential,414,41.0,40.908
SMS Morgan,426,39.0,40.336
Essential,445,41.0,40.908
Essential,475,41.0,40.908
Essential,507,42.0,41.908
SMS Morgan,487,38.0,39.336
Essential,567,40.0,39.908
SMS Morgan,573,36.0,37.336
ReachTEL,584,40.1,40.271
SMS Morgan,614,36.0,37.336
Essential,628,41.0,40.908
Newspoll2,645,42.0,41.601
Essential,659,41.0,40.908
Galaxy,663,42.0,41.751
Essential,689,41.0,40.908
Essential,751,40.0,39.908
Galaxy,755,41.0,40.751
ReachTEL,771,39.8,39.971
Essential,840,41.0,40.908
Galaxy,857,44.0,43.751
Essential,901,44.0,43.908
Essential,932,42.0,41.908
Essential,963,39.0,38.908
Essential,993,40.0,39.908
Newspoll2,1024,43.0,42.601
Essential,1024,43.0,42.908
Essential,1054,46.0,45.908
Galaxy,1045,41.0,40.751
Newspoll2,1119,39.0,38.601
Newspoll2,1175,41.0,40.613
ReachTEL,1256,40.8,40.972
Galaxy,1291,42.0,41.722
Galaxy,1328,40.0,39.722
ReachTEL,1346,39.4,39.573
Galaxy,1369,39.0,38.722
Newspoll2,1371,39.0,38.683
uComms,1387,36.8,37.347
Galaxy,1395,40.0,39.722
uComms,1395,37.8,38.347
Newspoll2,1395,40.0,39.683
SMS Morgan,1397,33.5,34.754
