Firm,Day,OTH FP,OTH FP adj
Advertiser,1,24.211,22.829
Advertiser,103,26.437,25.056
Newspoll,93,18.0,22.084
Newspoll,182,20.0,24.084
Advertiser,229,28.261,26.88
F2F Morgan,262,23.5,22.784
Newspoll,274,24.0,28.084
F2F Morgan,321,20.0,19.284
Newspoll,366,16.0,20.084
F2F Morgan,376,23.0,22.284
F2F Morgan,446,21.5,20.784
Newspoll,458,15.0,19.084
F2F Morgan,503,20.5,19.784
Newspoll,547,19.0,23.084
F2F Morgan,562,22.0,21.284
F2F Morgan,625,21.5,20.784
Newspoll,639,19.0,23.084
F2F Morgan,687,23.0,22.284
Newspoll,731,15.0,19.084
F2F Morgan,747,23.5,22.784
Advertiser,789,25.806,24.425
F2F Morgan,809,20.5,19.784
Newspoll,823,15.0,19.084
F2F Morgan,869,22.5,21.784
Newspoll,913,15.0,19.084
F2F Morgan,930,23.5,22.784
Advertiser,936,21.0,19.619
Advertiser,969,22.222,20.841
F2F Morgan,991,24.0,23.284
Newspoll,1005,15.0,19.084
F2F Morgan,1052,21.0,20.284
Advertiser,1088,27.174,25.793
Newspoll,1097,18.0,22.084
F2F Morgan,1113,25.0,24.284
Advertiser,1167,26.136,24.755
F2F Morgan,1175,24.5,23.784
Newspoll,1189,20.0,24.084
Advertiser,1223,26.087,24.706
F2F Morgan,1234,25.0,24.284
Newspoll,1278,23.0,27.084
F2F Morgan,1295,27.0,26.284
F2F Morgan,1356,24.5,24.176
Newspoll,1370,17.0,20.085
F2F Morgan,1417,20.0,20.163
Advertiser,1431,18.889,19.188
Newspoll,1438,13.0,15.212
F2F Morgan,1478,17.0,17.226
Newspoll,1482,16.0,18.212
Advertiser,1517,14.286,14.585
F2F Morgan,1523,13.0,13.226
Morgan Phone,1541,16.5,16.465
Sunday Mail,1542,16.6,17.074
Advertiser,1545,16.667,16.965
Newspoll,1546,18.0,20.212
Morgan Phone,1546,21.0,20.965
