House,Party,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
New house effects
Essential,ALP FP,-2.0570272260805194,-0.8385628473567763,-0.5229949018245833,-0.33965745326664404,-0.22930486229511954,-0.1015414967630541,0.02164527040357215,0.15577066781515134,0.3449462297414951,0.5712682123888565,1.7514304053020124
Newspoll2,ALP FP,-1.2244104269895006,-0.15256622771162348,0.04842250697546112,0.21151527379322835,0.36653247047003445,0.5063509438030226,0.6624158634935176,0.8459695203116191,1.038540314670829,1.3386748115100748,2.755009771265538
ReachTEL,ALP FP,-2.2954838150399364,-1.3050459232745224,-0.9968460151418749,-0.7778352523375419,-0.6109873178789593,-0.45374854550230326,-0.32157151496602515,-0.19640987810031846,-0.045942787931691986,0.13539459639243606,1.326800342355185
Galaxy,ALP FP,-2.7001721368315135,-0.6080377307514566,-0.29337389860304663,-0.0794438398737033,0.10364722564272966,0.2951854386639537,0.5009899156817532,0.7654153664300729,1.0998609410922466,1.5604700228692048,3.9435913112436665
Newspoll,ALP FP,-4.896854975522169,-1.5987657368874202,-0.9867282353341531,-0.6223488624755018,-0.373980048533751,-0.13000956569965544,0.04727304409550756,0.28480163961423405,0.603892099748312,1.0935753789301792,4.974549407817608
SMS Morgan,ALP FP,-4.273854307643342,-1.8051747363042656,-1.193194939810818,-0.8431327215568034,-0.5499319603837991,-0.34724246297911887,-0.1278017127409845,0.05828294436104925,0.3013996376966114,0.7525740369580349,3.2144385557668396
Old house effects
Essential,ALP FP,-2.6609886824284845,-1.268967242886947,-0.9285653912495475,-0.7078791461537142,-0.5040850321991555,-0.3677332484102427,-0.22689216467437712,-0.0997189404336832,0.039338935911389775,0.2368118256054988,1.230048607461529
Newspoll2,ALP FP,-1.0442289687215505,-0.014077511112425846,0.19973104631075664,0.3987373693422848,0.5688119677670553,0.7422290536356759,0.901613209323777,1.1029969587042574,1.3323655620004882,1.7233274459646997,3.4993806957901317
ReachTEL,ALP FP,-3.0033706526004877,-1.1738432608648852,-0.8546258824623294,-0.6304088348554167,-0.43902049195344184,-0.28178437624663516,-0.1270716341371024,-0.01782453198145009,0.1497683008895317,0.38957544234660146,1.5835584877309516
Galaxy,ALP FP,-4.844738014749864,-1.226359352780253,-0.73307256055605,-0.4308272456302127,-0.18394751128399495,0.0002032351312869253,0.16612216303681943,0.35909275684073705,0.6485002171779523,1.1346743043768028,4.8918583200781365
Newspoll,ALP FP,-3.916033278974226,-1.6110340751946408,-1.1678737557866437,-0.8442248859214386,-0.587874035393791,-0.34913816292501443,-0.17393765996784022,0.009617562968297097,0.2034174533801581,0.5337552905053653,2.2774654029902717
SMS Morgan,ALP FP,-4.143017235119112,-2.353269286603462,-1.8799624321175357,-1.57126962445002,-1.3355128963525136,-1.1014095511119772,-0.860733240440581,-0.6201298533896569,-0.36294755831249503,-0.05152764942532237,1.2237376487394986
