Firm,Day,LIB FP,LIB FP adj
Newspoll,1,41.0,41.922
Newspoll,1068,49.0,49.922
Newspoll,1158,42.0,42.998
Newspoll,1250,42.0,43.25
Newspoll,1342,42.0,43.25
F2F Morgan,1369,46.0,46.765
