Firm,Day,LNP FP,LNP FP adj
Newspoll,1,39.0,39.775
Newspoll,90,42.0,42.775
Newspoll,182,47.0,47.775
Newspoll,274,47.0,47.775
Newspoll,366,43.0,43.775
Newspoll,381,48.0,48.775
Newspoll,455,44.0,44.775
Newspoll,547,48.0,48.775
Newspoll,639,43.0,43.775
Newspoll,731,44.0,44.775
Newspoll,852,58.0,58.775
Newspoll,960,52.0,52.775
Newspoll,1035,46.0,46.775
Newspoll,1097,47.0,47.775
Newspoll,1186,51.0,51.775
Newspoll,1278,56.0,56.775
Newspoll,1370,54.0,54.775
Newspoll,1393,54.0,54.775
Newspoll,1396,53.9,54.675
